,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,744621.94684,0.199387,280143510.0,3734563.0,3734563.0,201181282.0,20376845.0,1355822877.0,283878073.0,263501228.0,-11785850.0,11785850.0,198191340.94684,201181282.0,1429207293.0,738000.0,263501228.0,600735000.0,600735000.0,0.33,0.33,201181282.0,201181282.0,201181282.0,-345414.0,201526696.0,201526696.0,50188682.0,251715378.0,3734563.0,,3734563.0,-11785850.0,11785850.0,259766665.0,73384416.0,-5692130.0,79076546.0,23568385.0,55508161.0,55508161.0,333151081.0,1355822877.0,1688973958.0,1688973958.0
2022-12-31,1172266.700524,0.210003,198188793.0,5582151.0,5582151.0,133429002.0,22708191.0,973820487.0,203770944.0,181062753.0,-14337666.0,14337666.0,129019117.700524,133429002.0,1050097395.0,650000.0,181062753.0,610294000.0,600316000.0,0.22,0.22,133429002.0,133429002.0,133429002.0,1716631.0,131712371.0,131712371.0,35012716.0,166725087.0,5582151.0,,5582151.0,-14337666.0,14337666.0,175480602.0,76276908.0,-4036469.0,80313377.0,21093094.0,59220283.0,59220283.0,251757510.0,973820487.0,1225577997.0,1225577997.0
2021-12-31,1433937.027375,0.204881,563858501.0,6998894.0,6998894.0,420331707.0,20348729.0,2298817421.0,570857395.0,550508666.0,-24210421.0,24210421.0,414766750.027375,420331707.0,2377253807.0,720000.0,550508666.0,601796000.0,599965000.0,0.7,0.7,420331707.0,420331707.0,420331707.0,1861719.0,418469988.0,418469988.0,107828257.0,526298245.0,6998894.0,,6998894.0,-24210421.0,24210421.0,543509772.0,78436386.0,-6382602.0,84818988.0,24745375.0,60073613.0,60073613.0,621946158.0,2298817421.0,2920763579.0,2920763579.0
2020-12-31,-6243425.497384,0.378916,107023882.0,-16477067.0,-16477067.0,44402657.0,20512758.0,621893741.0,90546815.0,70034057.0,-22453465.0,22453465.0,54636298.502616,44402657.0,668823578.0,1051000.0,70034057.0,600000000.0,600000000.0,0.074,0.074,44402657.0,44402657.0,44402657.0,14851116.0,29551541.0,29551541.0,18029051.0,47580592.0,-16477067.0,,-16477067.0,-22453465.0,22453465.0,86511124.0,46929837.0,-9794600.0,56724437.0,14071353.0,42653084.0,42653084.0,133440961.0,621893741.0,755334702.0,755334702.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8487302.0,,,,,,,,,,,,,,
