,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-28520.788549,0.1997,81947566.97,-142818.17,-142818.17,44107550.65,22814288.55,564070964.34,81804748.8,58990460.25,-3416787.32,4373657.06,956869.74,44221848.031451,44107550.65,726676326.33,58033590.51,450000000.0,450000000.0,0.1,0.1,44107550.65,44107550.65,44107550.65,396340.53,43711210.12,43711210.12,10905593.07,54616803.19,6028755.26,6171573.43,-142818.17,-3416787.32,4373657.06,956869.74,52004835.25,162605361.99,162605361.99,76434894.55,86170467.44,86170467.44,214610197.24,564070964.34,778681161.58,778681161.58
2022-12-31,0.0,0.1403,66991292.45,,,36025965.1,22722105.26,501210818.71,66991292.45,44269187.19,-2100366.19,2363511.67,263145.48,36025965.1,36025965.1,655797552.31,44006041.71,401561464.0,401561464.0,0.09,0.09,36025965.1,36025965.1,36025965.1,,36025965.1,36025965.1,5879710.42,41905675.52,3047182.8,3047182.8,,-2100366.19,2363511.67,263145.48,40958858.91,154586733.6,154586733.6,67209162.61,87377570.99,87377570.99,195545592.51,501210818.71,696756411.22,696756411.22
2021-12-31,0.0,0.1999,67181717.85,1077209.28,1077209.28,36390937.45,18855218.39,514831622.96,67181717.85,48326499.46,-2755939.35,2843823.55,87884.2,36390937.45,36390937.45,672423720.79,48238615.26,233589041.0,233589041.0,0.16,0.16,36390937.45,36390937.45,36390937.45,,36390937.45,36390937.45,9091738.46,45482675.91,3132723.0,3132723.0,1077209.28,-2755939.35,2843823.55,87884.2,45105892.26,157592097.83,157592097.83,69050210.13,88541887.7,88541887.7,202697990.09,514831622.96,717529613.05,717529613.05
2020-12-31,809238.68196,0.199,107247174.46,4066526.04,4066526.04,70295264.92,18251679.06,616118543.5,111313700.5,93062021.44,-5220550.16,5304452.83,83902.67,67037977.56196,70295264.92,782710131.31,92978118.77,450000000.0,233589041.0,0.156212,0.300936,70295264.92,70295264.92,70295264.92,,70295264.92,70295264.92,17462303.69,87757568.61,14599446.87,10532920.83,4066526.04,-5220550.16,5304452.83,83902.67,78378671.9,166591587.81,166591587.81,75425948.09,91165639.72,91165639.72,244970259.71,616118543.5,861088803.21,861088803.21
