,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Business,Write Off,Impairment Of Capital Assets,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Provision For Doubtful Accounts,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.00758,-62100744.0,,,-147521435.0,46604984.0,159669034.0,-62100744.0,-108705728.0,-39942408.0,39942408.0,,-147521435.0,-147521435.0,432200073.0,59794568.0,894179605.0,877250217.0,-0.665,-0.168,-147521435.0,-147521435.0,-147521435.0,0.0,-147521435.0,0.0,-147521435.0,-1126701.0,-148648136.0,11719460.0,11719460.0,,,,,,-39942408.0,39942408.0,,-120425188.0,272531039.0,,272531039.0,155764663.0,116766376.0,116766376.0,,152105851.0,159669034.0,311774885.0,311774885.0
2022-12-31,0.0,0.016783,-133681711.0,-181311458.0,-181311458.0,-328819595.0,146214405.0,172301732.0,-133681711.0,-279896116.0,-56518481.0,56518481.0,13885.0,-328819595.0,-574041285.0,627714348.0,46145447.0,830842784.0,813913390.0,-0.705,-0.705,-574041285.0,-574041285.0,-574041285.0,1949103.0,-575990388.0,-245221690.0,-330768698.0,-5645899.0,-336414597.0,3331630.0,3331630.0,-181311458.0,-100711458.0,0.0,80600000.0,,-56518481.0,56518481.0,13885.0,-283227746.0,455412616.0,,455412616.0,154744970.0,300667646.0,300667646.0,7406221.0,172184870.0,172301732.0,344486602.0,344486602.0
2021-12-31,0.0,0.053492,28956782.0,0.0,0.0,-99901318.0,120058142.0,126817632.0,28956782.0,-91101360.0,-14438332.0,14445857.0,7525.0,-99901318.0,-276451839.0,354605343.0,39783950.0,825803213.0,813913390.0,-0.34,-0.34,-276451839.0,-276451839.0,-276451839.0,0.0,-276451839.0,-176550521.0,-99901318.0,-5645899.0,-105547217.0,9452814.0,9452814.0,0.0,0.0,0.0,0.0,-319941.0,-14438332.0,14445857.0,7525.0,-100561699.0,227787711.0,0.0,227787711.0,124286190.0,103501521.0,95997183.0,7504338.0,127226012.0,126817632.0,254043644.0,254043644.0
2020-12-31,-18093665.6,0.2,-35527203.0,-90468328.0,-90468328.0,-238811188.0,91834381.0,285991706.0,-125995531.0,-217829912.0,-16438796.0,16583786.0,144990.0,-166436525.6,-238811188.0,547248437.0,,679458535.0,679458535.0,-0.351,-0.351,-238811188.0,-238811188.0,-238811188.0,-1681155.0,-237130033.0,,-237130033.0,2716335.0,-234413698.0,-86341628.0,4126700.0,-97650768.0,-119790528.0,0.0,-22139760.0,7182440.0,-16438796.0,16583786.0,144990.0,-131633274.0,261256731.0,-3067046.0,264323777.0,133147353.0,131176424.0,116296192.0,14880232.0,129623457.0,285991706.0,415615163.0,415615163.0
2019-12-31,,,,54120128.0,54120128.0,,,,,,,,804393.0,,,,38624067.0,,,,,,,,,,,,,,,,60373882.0,174874978.0,0.0,114501096.0,-6253754.0,,,804393.0,,,-10363495.0,,,,,23084104.0,,,,
