,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Gain On Sale Of Business,Other Special Charges,Write Off,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,10168347.822892,0.204362,819665704.0,49756501.0,49756501.0,427544480.0,165500197.0,10892708930.0,869422205.0,703922008.0,-163732673.0,166561317.0,2828644.0,387956326.822892,427544480.0,11589014011.0,1138356164.0,1138356164.0,0.38,0.38,427544480.0,427544480.0,427544480.0,0.0,427544480.0,427544480.0,109816211.0,537360691.0,32915735.0,11971910.0,11376469.0,6964306.0,,-4412163.0,0.0,-28812676.0,38380032.0,-163732673.0,166561317.0,2828644.0,668177629.0,696305081.0,,696305081.0,204942583.0,491362498.0,491362498.0,1364482710.0,10892708930.0,12257191640.0,12257191640.0
2022-12-31,8449324.498063,0.219731,922585247.0,38452996.0,38452996.0,537264375.0,189356330.0,11669482475.0,961038243.0,771681913.0,-70904431.0,71447295.0,542864.0,507260703.498063,537264375.0,12438977186.0,1400000000.0,980000000.0,0.38376,0.548229,537264375.0,537264375.0,537264375.0,-9106822.0,546371197.0,546371197.0,153863421.0,700234618.0,5729540.0,13548890.0,6857231.0,1989726.0,,-4867505.0,0.0,-46272346.0,31595765.0,-70904431.0,71447295.0,542864.0,765409509.0,769494711.0,,769494711.0,271063157.0,498431554.0,498431554.0,1534904220.0,11669482475.0,13204386695.0,13204386695.0
2021-12-31,8784529.30908,0.208423,844118601.0,42147698.0,42147698.0,394352631.0,188816537.0,9421984551.0,886266299.0,697449762.0,-5293244.0,5689793.0,396549.0,360989462.30908,394352631.0,10095299514.0,1400000000.0,980000000.0,0.28168,0.402401,394352631.0,394352631.0,394352631.0,-153228984.0,547581615.0,547581615.0,144178354.0,691759969.0,8662538.0,16187877.0,4012502.0,3085110.0,,-927392.0,0.0,-49673037.0,38135196.0,-5293244.0,5689793.0,396549.0,688390675.0,673314963.0,,673314963.0,175177052.0,498137911.0,498137911.0,1361705638.0,9421984551.0,10783690189.0,10783690189.0
2020-12-31,2731535.333405,0.186473,550710847.0,14648416.0,14648416.0,299561454.0,196137458.0,6064645979.0,565359263.0,369221805.0,-92757.0,996183.0,903426.0,287644573.333405,299561454.0,6639212359.0,1400000000.0,980000000.0,0.213972,0.305675,299561454.0,299561454.0,299561454.0,0.0,299561454.0,299561454.0,68664168.0,368225622.0,21229516.0,16794258.0,5138244.0,1779571.0,0.0,-3358673.0,,-10213158.0,9510172.0,-92757.0,996183.0,903426.0,347088863.0,574566380.0,,574566380.0,129779417.0,444786963.0,444786963.0,921655243.0,6064645979.0,6986301222.0,6986301222.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28371213.0,,,,,,,,,,9197382.0,,,,,,,,
