,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-09-30,-30744353.0,0.2,824233780.0,-153721765.0,-153721765.0,565723124.0,319597911.0,670512015.0,670512015.0,-103141385.0,104788891.0,1647506.0,688700536.0,565723124.0,336463837.0,192989567.0,814800000.0,814800000.0,0.694309,0.694309,565723124.0,565723124.0,565723124.0,565723124.0,565723124.0,565723124.0,-147710295.0,6011470.0,-153721765.0,-103141385.0,104788891.0,1647506.0,816574804.0,16865926.0,,16865926.0,16865926.0,16865926.0,833440730.0,319597911.0,1153038641.0,1153038641.0
2022-09-30,-18844088.0,0.2,842078382.0,-94220440.0,-94220440.0,642743550.0,281301425.0,747857942.0,747857942.0,-104985103.0,105114392.0,129289.0,718119902.0,642743550.0,293101682.0,137689039.0,814800000.0,814800000.0,0.788836,0.788836,642743550.0,642743550.0,642743550.0,642743550.0,642743550.0,642743550.0,-89942379.0,4278061.0,-94220440.0,-104985103.0,105114392.0,129289.0,837671032.0,11800257.0,,11800257.0,11800257.0,11800257.0,849471289.0,281301425.0,1130772714.0,1130772714.0
2021-09-30,-2592161.4,0.2,826094616.0,-12960807.0,-12960807.0,705214890.0,276007501.0,813133809.0,813133809.0,-107775720.0,107918919.0,143199.0,715583535.6,705214890.0,281727527.0,115737062.0,814800000.0,814800000.0,0.865507,0.865507,705214890.0,705214890.0,705214890.0,705214890.0,705214890.0,705214890.0,-17877413.0,-4916606.0,-12960807.0,-107775720.0,107918919.0,143199.0,830868023.0,5720026.0,,5720026.0,5720026.0,5720026.0,836588049.0,276007501.0,1112595550.0,1112595550.0
2020-09-30,5162966.4,0.2,794453503.0,25814832.0,25814832.0,747182124.0,351285475.0,820268335.0,820268335.0,-72755279.0,73086211.0,330932.0,726530258.4,747182124.0,358742700.0,190811869.0,814811477.0,814811477.0,0.917,0.917,747182124.0,747182124.0,747182124.0,747182124.0,747182124.0,747182124.0,-96271.0,-25911103.0,25814832.0,-72755279.0,73086211.0,330932.0,820033674.0,7457225.0,30106666.0,7457225.0,7457225.0,7457225.0,827490899.0,351285475.0,1178776374.0,1178776374.0
