,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Special Income Charges,Write Off,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Salaries And Wages,Total Revenue,Operating Revenue,Loss Adjustment Expense,Net Policyholder Benefits And Claims,Policyholder Benefits Gross,Policyholder Benefits Ceded
2023-12-31,0.0,0.156529,0.0,0.0,120025373.0,143901628.0,-1602330.0,1602330.0,99772053.0,120025373.0,120025373.0,3097876632.0,37999999.0,37999999.0,3.154737,3.154737,120025373.0,120025373.0,120025373.0,120025373.0,120025373.0,22273925.0,142299298.0,,0.0,0.0,-1602330.0,1602330.0,139846171.0,250451034.0,250451034.0,250451034.0,3240175930.0,3240175930.0,1851783186.0,1851783186.0,2141032749.0,289249563.0
2022-12-31,0.0,0.2,0.0,0.0,24842321.0,48076057.0,-1907055.0,1907055.0,80723639.0,24842321.0,24842321.0,2879017194.0,37999999.0,37999999.0,0.652368,0.652368,24842321.0,24842321.0,24842321.0,24842321.0,24842321.0,21326681.0,46169002.0,,0.0,0.0,-1907055.0,1907055.0,128891210.0,229817161.0,229817161.0,229817161.0,2925186196.0,2925186196.0,1711119619.0,1711119619.0,2071275195.0,360155576.0
2021-12-31,0.0,0.175195,,,109345180.0,134878919.0,-2308051.0,2308051.0,68504793.0,109345180.0,109345180.0,2711043134.0,37999999.0,37999999.0,2.88,2.88,109345180.0,109345180.0,109345180.0,109345180.0,109345180.0,23225688.0,132570868.0,,,,-2308051.0,2308051.0,119075959.0,234083693.0,234083693.0,234083693.0,2843614002.0,2843614002.0,1602003721.0,1602003721.0,2043087099.0,441083378.0
2020-12-31,0.0,0.176384,,,71325050.0,89637702.0,-3037773.0,3037773.0,61945218.0,71325050.0,71325050.0,2556096366.0,37960095.0,37960095.0,1.878948,1.878948,71325050.0,71325050.0,71325050.0,71325050.0,71325050.0,15274879.0,86599929.0,,,,-3037773.0,3037773.0,121979902.0,216164199.0,216164199.0,216164199.0,2642696295.0,2642696295.0,1440960743.0,1440960743.0,1694593086.0,253632343.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,8788113.0,,,,,,,,,,,,,,
