,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.201627,1461060735.0,829633615.0,354968176.0,5448859321.0,1461060735.0,1106092559.0,-54552000.0,54552000.0,829633615.0,829633615.0,8378256106.0,1106092540.0,300000000.0,300000000.0,2.765445,2.765445,829633615.0,829633615.0,829633615.0,-9887489.0,839521104.0,839521104.0,212019455.0,1051540559.0,-54552000.0,54552000.0,1106092540.0,2929396785.0,-27715285.0,2957112070.0,1876387537.0,1080724533.0,1080724533.0,4035489325.0,5448859321.0,9484348646.0,9484348646.0
2022-12-31,0.0,0.199338,1069831806.0,564549963.0,323404038.0,5166690104.0,1069831806.0,746427768.0,-36167000.0,36167000.0,564549963.0,564549963.0,7554266725.0,746427887.0,300000000.0,300000000.0,1.881833,1.881833,564549963.0,564549963.0,564549963.0,-4128516.0,568678479.0,568678479.0,141582289.0,710260768.0,-36167000.0,36167000.0,746427887.0,2387576621.0,-22099662.0,2409676283.0,1545977370.0,863698913.0,863698913.0,3134004508.0,5166690104.0,8300694612.0,8300694612.0
2021-12-31,0.0,0.197896,1261403931.0,719500348.0,315166342.0,4309785496.0,1261403931.0,946237589.0,-37341000.0,37341000.0,719500348.0,719500348.0,6498992231.0,946237723.0,300000000.0,300000000.0,2.398334,2.398334,719500348.0,719500348.0,719500348.0,-9528846.0,729029194.0,729029194.0,179867395.0,908896589.0,-37341000.0,37341000.0,946237723.0,2189206735.0,-22450564.0,2211657299.0,1467241110.0,744416189.0,744416189.0,3135444458.0,4309785496.0,7445229954.0,7445229954.0
2020-12-31,0.0,0.198943,1109816254.0,595556645.0,303418582.0,3815021332.0,1109816254.0,806397672.0,-54302000.0,54302000.0,595556645.0,595556645.0,5961139818.0,806397821.0,300000000.0,300000000.0,1.985189,1.985189,595556645.0,595556645.0,595556645.0,-6915095.0,602471740.0,602471740.0,149623932.0,752095672.0,-54302000.0,54302000.0,806397821.0,2146118486.0,-599039.0,2146717525.0,1321697579.0,825019946.0,825019946.0,2952516307.0,3815021332.0,6767537639.0,6767537639.0
