,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-8341437.2,0.2,287703573.0,-41707186.0,-41707186.0,216989319.0,52738022.0,245996387.0,245996387.0,-29007068.0,29007068.0,250355067.8,216989319.0,54193707.0,357890000.0,357890000.0,0.606302,0.606302,216989319.0,216989319.0,216989319.0,216989319.0,216989319.0,216989319.0,-72737664.0,-31030478.0,-41707186.0,-29007068.0,29007068.0,318734051.0,1455685.0,,1455685.0,1455685.0,1455685.0,320189736.0,52738022.0,372927758.0,372927758.0
2022-12-31,-10272125.4,0.2,280176199.0,-51360627.0,-51360627.0,201680367.0,53286176.0,228815572.0,228815572.0,-27135205.0,27135205.0,242768868.6,201680367.0,54749696.0,357890000.0,357890000.0,0.563526,0.563526,201680367.0,201680367.0,201680367.0,201680367.0,201680367.0,201680367.0,-68824163.0,-17463536.0,-51360627.0,-27135205.0,27135205.0,297639735.0,1463520.0,15909447.0,1463520.0,1463520.0,1463520.0,299103255.0,53286176.0,352389431.0,352389431.0
2021-12-31,-11613927.2,0.2,271346662.0,-58069636.0,-58069636.0,186277026.0,51991288.0,213277026.0,213277026.0,-27000000.0,27000000.0,232732734.8,186277026.0,53202923.0,357890000.0,357890000.0,0.520487,0.520487,186277026.0,186277026.0,186277026.0,186277026.0,186277026.0,186277026.0,-74255791.0,-16186155.0,-58069636.0,-27000000.0,27000000.0,287532817.0,1211635.0,18388506.0,1211635.0,1211635.0,1211635.0,288744452.0,51991288.0,340735740.0,340735740.0
2020-12-31,-13208434.2,0.2,299600885.0,-66042171.0,-66042171.0,204531865.0,49829661.0,233558714.0,233558714.0,-29026849.0,29026849.0,257365601.8,204531865.0,62875861.0,357890000.0,357890000.0,0.571494,0.571494,204531865.0,204531865.0,204531865.0,204531865.0,204531865.0,204531865.0,-64735094.0,1307077.0,-66042171.0,-29026849.0,29026849.0,298293808.0,13046200.0,11770397.0,1275803.0,1275803.0,1275803.0,311340008.0,49829661.0,361169669.0,361169669.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36770094.0,,,,,,,
