,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Special Income Charges,Write Off,Impairment Of Capital Assets,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-5353600.192342,0.083726,698384490.0,-63941845.0,-63941845.0,310730662.0,206698288.0,23587692277.0,634442645.0,427744357.0,-64469797.0,67048107.0,2578310.0,369318906.807658,310730662.0,24170677009.0,437634214.0,2750000000.0,2750000000.0,0.112993,0.112993,310730662.0,310730662.0,310730662.0,-19765904.0,330496566.0,330496566.0,30199684.0,360696250.0,-73831702.0,0.0,0.0,0.0,-9889857.0,-63941845.0,-64469797.0,67048107.0,2578310.0,498997749.0,582984732.0,-25780078.0,608764810.0,442879015.0,165885795.0,165885795.0,1081982481.0,23587692277.0,24669674758.0,24669674758.0
2022-12-31,-35146352.0,0.2,670324937.0,-175731760.0,-175731760.0,-154684325.0,226802080.0,31505578293.0,494593177.0,267791097.0,-53196622.0,57994464.0,4797842.0,-14098917.0,-154684325.0,32225869443.0,259631423.0,2750000000.0,2750000000.0,-0.056249,-0.056249,-154684325.0,-154684325.0,-154684325.0,-369087406.0,214403081.0,214403081.0,-4606448.0,209796633.0,-167572086.0,-9075707.0,0.0,9075707.0,8159674.0,-166656053.0,-53196622.0,57994464.0,4797842.0,430565341.0,720291150.0,-28911665.0,749202815.0,560385286.0,188817529.0,188817529.0,1150856491.0,31505578293.0,32656434784.0,32656434784.0
