,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2022-12-31,259337.667612,0.229963,50585684.96,1127737.85,1127737.85,37103524.41,13329322.98,62935795.17,51713422.81,38384099.83,7301877.09,7301877.09,36235124.227612,37103524.41,105158817.21,20499185.0,20499185.0,1.81,1.81,37103524.41,37103524.41,37103524.41,37103524.41,37103524.41,11080538.3,48184062.71,2498085.79,1370347.94,,,1127737.85,7301877.09,7301877.09,38384099.83,42223022.04,,42223022.04,1430788.22,40792233.82,40792233.82,80607121.87,62935795.17,143542917.04,143542917.04
2021-12-31,225682.548791,0.133176,34009448.22,1694620.2,1694620.2,25121125.97,17025822.19,55742147.54,35704068.42,18678246.23,7143988.15,7143988.15,23652188.318791,25121125.97,92019815.46,20423680.0,20423680.0,1.23,1.23,25121125.97,25121125.97,25121125.97,25121125.97,25121125.97,3859523.74,28980649.71,3158415.33,1463795.13,0.0,0.0,1694620.2,7143988.15,7143988.15,18678246.23,36277667.92,-1629000.0,37906667.92,985252.91,36921415.01,36921415.01,54955914.15,55742147.54,110698061.69,110698061.69
2020-12-31,107321.220028,0.202038,40098256.54,531192.67,531192.67,23242237.58,19750711.58,61744287.75,40629449.21,20878737.63,7075387.39,7075387.39,22818366.130028,23242237.58,108051352.29,20568352.0,20568352.0,1.13,1.13,23242237.58,23242237.58,23242237.58,23242237.58,23242237.58,5884768.35,29127005.93,1172880.91,641688.24,17896.71,17896.71,513295.96,7075387.39,7075387.39,20878737.63,46307064.54,,46307064.54,1092284.11,45214780.43,45214780.43,67185802.17,61744287.75,128930089.92,128930089.92
2019-12-31,727626.670388,0.196682,65585702.35,3699505.5,3699505.5,49606438.94,18945378.27,70108057.71,69285207.85,50339829.58,6632752.0,6632752.0,46634560.110388,49606438.94,114966288.27,20498528.0,20498528.0,2.42,2.42,49606438.94,49606438.94,49606438.94,49606438.94,49606438.94,12145504.6,61751943.54,4779361.96,1079856.46,2037105.91,2037105.91,1662399.59,6632752.0,6632752.0,50339829.58,44858230.56,,44858230.56,1262565.12,43595665.44,43595665.44,95198060.14,70108057.71,165306117.85,165306117.85
