,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.14,253073969.0,145392458.0,52842814.0,615070678.0,253073969.0,200231155.0,-25755056.0,25755056.0,145392458.0,145392458.0,1205952917.0,200231155.0,544438000.0,544438000.0,0.27,0.27,145392458.0,145392458.0,145392458.0,-5429741.0,150822199.0,150822199.0,23653900.0,174476099.0,-25755056.0,25755056.0,200231155.0,590882239.0,-10990026.0,601872265.0,348752674.0,253119591.0,253119591.0,791113394.0,615070678.0,1406184072.0,1406184072.0
2022-12-31,0.0,0.1,224056161.0,125720008.0,51190949.0,537539386.0,224056161.0,172865212.0,-28339570.0,28339570.0,125720008.0,125720008.0,1065624282.0,172865212.0,600000000.0,600000000.0,0.209533,0.209533,125720008.0,125720008.0,125720008.0,-3955020.0,129675028.0,129675028.0,14850614.0,144525642.0,-28339570.0,28339570.0,172865212.0,528084896.0,-3482047.0,531566943.0,312276927.0,219290016.0,219290016.0,700950108.0,537539386.0,1238489494.0,1238489494.0
2021-12-31,0.0,0.16,137780076.0,51609415.0,48836812.0,524741649.0,137780076.0,88943264.0,-28404801.0,28404801.0,51609415.0,51609415.0,998509860.0,88943264.0,600000000.0,600000000.0,0.086016,0.086016,51609415.0,51609415.0,51609415.0,480985.0,51128430.0,51128430.0,9410033.0,60538463.0,-28404801.0,28404801.0,88943264.0,473768211.0,-7936493.0,481704704.0,278237509.0,203467195.0,203467195.0,562711475.0,524741649.0,1087453124.0,1087453124.0
