,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.2,112762692.0,17302536.0,56703916.0,1544337476.0,112762692.0,56058776.0,-20637129.0,20637129.0,17302536.0,17302536.0,1753240749.0,,56058776.0,600000000.0,600000000.0,0.03,0.03,17302536.0,17302536.0,17302536.0,-54432.0,17356968.0,17356968.0,18064679.0,35421647.0,,,-20637129.0,20637129.0,56058776.0,208903273.0,-11215350.0,220118623.0,58361537.0,161757086.0,161757086.0,264962049.0,1544337476.0,1809299525.0,1769014132.0
2022-12-31,0.0,0.2,100056675.0,15805992.0,51331708.0,1534621986.0,100056675.0,48724967.0,-17725561.0,17725561.0,15805992.0,15805992.0,1729186496.0,,48724967.0,600000000.0,600000000.0,0.03,0.03,15805992.0,15805992.0,15805992.0,263859.0,15542133.0,15542133.0,15457273.0,30999406.0,,,-17725561.0,17725561.0,48724967.0,194564510.0,-16094004.0,210658514.0,57512820.0,153145694.0,153145694.0,243289477.0,1534621986.0,1777911463.0,1728513025.0
2021-12-31,0.0,0.279,97007582.0,27960051.0,40636509.0,1495415302.0,97007582.0,56371073.0,-17254743.0,17254743.0,27960051.0,27960051.0,1656654790.0,,56371073.0,600000000.0,600000000.0,0.05,0.05,27960051.0,27960051.0,27960051.0,-261524.0,28221575.0,28221575.0,10894755.0,39116330.0,,,-17254743.0,17254743.0,56371073.0,161239488.0,-14917279.0,176156767.0,53356079.0,122800688.0,122800688.0,217610561.0,1495415302.0,1713025863.0,1663534815.0
2020-12-31,0.0,0.221,113490982.0,34826278.0,42596991.0,1822156803.0,113490982.0,70893991.0,-25787261.0,25787261.0,34826278.0,34826278.0,1987487595.0,,70893991.0,600000000.0,600000000.0,0.06,0.06,34826278.0,34826278.0,34826278.0,-341770.0,35168048.0,35168048.0,9938682.0,45106730.0,,,-25787261.0,25787261.0,70893991.0,165330792.0,-17144531.0,182475323.0,56520825.0,125954498.0,125954498.0,236224783.0,1822156803.0,2058381586.0,1997465542.0
2019-12-31,,,,,,,,,,,,,,7962000.0,,,,,,,,,,,,,,18353265.0,18353265.0,,,,,,,,,,,,,
