,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.2146,157649159.51,109155844.5,10522274.98,1444570795.6,157649159.51,147126884.53,-8144781.82,8144781.82,109155844.5,109155844.5,1484771213.39,,147126884.53,766920436.0,766920436.0,0.14,0.14,109155844.5,109155844.5,109155844.5,109155844.5,109155844.5,29826258.21,138982102.71,,,-8144781.82,8144781.82,147126884.53,40200417.79,-26033335.33,66233753.12,8299550.95,57934202.17,57934202.17,187327302.32,1444570795.6,1631898097.92,1631898097.92
2022-12-31,0.0,0.2014,142540809.4,105529667.03,9863531.04,1129103618.21,142540809.4,132677278.36,-528981.78,528981.78,105529667.03,105529667.03,1177976043.2,2100000.0,132677278.36,806784948.0,708079048.0,0.13,0.15,105529667.03,105529667.03,105529667.03,105529667.03,105529667.03,26618629.55,132148296.58,,,-528981.78,528981.78,132677278.36,48872424.99,-4863177.11,53735602.1,5587968.28,48147633.82,48147633.82,181549703.35,1129103618.21,1310653321.56,1310653321.56
2021-12-31,0.0,0.2,225573055.87,170538798.91,11572214.23,1039172555.51,225573055.87,214000841.64,-840546.64,840546.64,170538798.91,170538798.91,1101251585.18,950000.0,214000841.64,826821591.0,615999966.0,0.21,0.28,170538798.91,170538798.91,170538798.91,170538798.91,170538798.91,42621496.09,213160295.0,,,-840546.64,840546.64,214000841.64,62079029.67,-1189786.18,63268815.85,9039397.3,54229418.55,54229418.55,276079871.31,1039172555.51,1315252426.82,1315252426.82
2020-12-31,0.0,0.2001,180776514.43,135490506.12,10343681.14,1267708601.6,180776514.43,170432833.29,-1044442.19,1044442.19,135490506.12,135490506.12,1330517268.78,,170432833.29,615999966.0,615999966.0,0.22,0.22,135490506.12,135490506.12,135490506.12,135490506.12,135490506.12,33897884.98,169388391.1,,,-1044442.19,1044442.19,170432833.29,62808667.18,-3119990.61,65928657.79,9923553.1,56005104.69,56005104.69,233241500.47,1267708601.6,1500950102.07,1500950102.07
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,3353443.42,3353443.42,,,,,,,,,,,,,
