,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Earnings From Equity Interest,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-06-30,0.0,0.055063,42969973.99,22270468.9,15966410.82,684841597.16,42969973.99,27003563.17,-2915661.27,3435358.6,519697.33,22270468.9,22270468.9,691923794.78,28821084.16,,,,,22270468.9,22270468.9,22270468.9,22270468.9,22270468.9,1297735.67,23568204.57,-2337218.32,,-2337218.32,-2915661.27,3435358.6,519697.33,28821084.16,7082197.62,-30081321.32,37163518.94,18649990.42,18513528.52,18513528.52,35903281.78,684841597.16,720744878.94,720744878.94
2023-06-30,0.0,0.019719,-60739126.04,-77368027.71,15386368.86,798007461.25,-60739126.04,-76125494.9,-2529066.8,2798829.68,269762.88,-77368027.71,-77368027.71,810865605.7,-75606695.06,45510605.0,45510605.0,-1.7,-1.7,-77368027.71,-77368027.71,-77368027.71,-77368027.71,-77368027.71,-1556296.87,-78924324.58,-788562.72,,-788562.72,-2529066.8,2798829.68,269762.88,-75606695.06,12858144.45,-27531957.33,40390101.78,21364238.77,19025863.01,19025863.01,-62748550.61,798007461.25,735258910.64,735258910.64
2022-06-30,0.0,0.095939,45591737.18,29672250.6,11369339.44,958027031.65,45591737.18,34222397.74,-1220633.83,1401339.34,180705.51,29672250.6,29672250.6,995480990.88,-35535958.6,45649616.0,45649616.0,0.65,0.65,29672250.6,29672250.6,29672250.6,29672250.6,29672250.6,3148807.8,32821058.4,-1494266.37,22079056.85,-1494266.37,-1220633.83,1401339.34,180705.51,35535958.6,37453959.23,-22079056.85,59533016.08,40612930.92,18920085.16,18920085.16,72989917.83,958027031.65,1031016949.48,1031016949.48
2021-06-30,0.0,0.2,43668224.5,40955428.81,2452602.14,688187968.99,43668224.5,41215622.36,-216494.04,358713.02,142218.98,40955428.81,40955428.81,735921141.53,,45506032.0,45506032.0,0.9,0.9,40955428.81,40955428.81,40955428.81,40955428.81,40955428.81,-98519.47,40856909.34,21929863.29,27312625.23,-5382761.94,-216494.04,358713.02,142218.98,19143540.09,47733172.54,,47733172.54,31352333.02,16380839.52,16380839.52,66876712.63,688187968.99,755064681.62,755064681.62
2020-06-30,,,,,,,,,,,,,,,,45456329.0,45456329.0,-0.94,-0.94,,,,,,,,,11307134.07,,,,,,,,,,,,,,,
