,Tax Effect Of Unusual Items,Tax Rate For Calcs,Net Income From Continuing Operation Net Minority Interest,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Salaries And Wages,Total Revenue,Operating Revenue,Loss Adjustment Expense,Net Policyholder Benefits And Claims,Policyholder Benefits Gross,Policyholder Benefits Ceded
2023-12-31,0.0,0.14815,2548298000.0,2548298000.0,2548298000.0,42442357000.0,1707566000.0,1707566000.0,1.49,1.49,2548298000.0,2548298000.0,2548298000.0,-12000.0,2548310000.0,,2548310000.0,443191000.0,2991501000.0,135510000.0,1170330000.0,962520000.0,962520000.0,962520000.0,45433858000.0,45433858000.0,36955474000.0,36955474000.0,37664618000.0,709144000.0
2022-12-31,0.0,0.150211,3211581000.0,3211581000.0,3211581000.0,44405812000.0,1707566000.0,1707566000.0,1.88,1.88,3211581000.0,3211581000.0,3211581000.0,-18000.0,3211599000.0,,3211599000.0,567690000.0,3779289000.0,116201000.0,868306000.0,908502000.0,908502000.0,908502000.0,48185101000.0,48185101000.0,39291926000.0,39291926000.0,39968340000.0,676414000.0
2021-12-31,0.0,0.150836,3195950000.0,3195950000.0,3195950000.0,44404906000.0,1707566000.0,1707566000.0,1.87,1.87,3195950000.0,3195950000.0,3195950000.0,-34000.0,3195984000.0,0.0,3195984000.0,567701000.0,3763685000.0,120023000.0,1200191000.0,918879000.0,918879000.0,918879000.0,48168591000.0,48168591000.0,39016968000.0,39016968000.0,39883160000.0,866192000.0
2020-12-31,0.0,0.086819,1608613000.0,1608613000.0,1608268000.0,45260086000.0,1707566000.0,1707566000.0,0.941,0.941,1608268000.0,1608268000.0,1608268000.0,131000.0,1608137000.0,-345000.0,1608482000.0,152924000.0,1761406000.0,127891000.0,711986000.0,845280000.0,845280000.0,845280000.0,47021492000.0,47021492000.0,40380146000.0,40380146000.0,41181251000.0,801105000.0
2019-12-31,,,,,,,,,,,,,,,,-3597000.0,,,,,,,,,,,,,,
