,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Write Off,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,1217422.27739,0.219807,136712019.0,5538587.0,5538587.0,56396720.0,57656978.0,1542722122.0,142250606.0,84593628.0,-11318767.0,12307992.0,989225.0,52075555.27739,56396720.0,1753281810.0,83604403.0,800000000.0,800000000.0,0.07,0.07,56396720.0,56396720.0,56396720.0,56396720.0,56396720.0,15888916.0,72285636.0,9787587.0,4249000.0,82000.0,82000.0,0.0,5456587.0,-11318767.0,12307992.0,989225.0,73816965.0,210559688.0,-1803000.0,212362688.0,59305522.0,153057166.0,153057166.0,284376653.0,1542722122.0,1827098775.0,1827098775.0
2022-12-31,4941111.587084,0.204741,175287820.0,24133435.0,24133435.0,103274613.0,54564814.0,1488541034.0,199421255.0,144856441.0,-14843704.0,14993521.0,149817.0,84082289.587084,103274613.0,1716542969.0,144706624.0,688658000.0,688658000.0,0.15,0.15,103274613.0,103274613.0,103274613.0,103274613.0,103274613.0,26588307.0,129862920.0,29897435.0,5764000.0,302000.0,302000.0,0.0,23831435.0,-14843704.0,14993521.0,149817.0,114809042.0,228001935.0,-2982000.0,230983935.0,65564433.0,165419502.0,165419502.0,342810977.0,1488541034.0,1831352011.0,1831352011.0
2021-12-31,8871772.015801,0.223499,110743195.0,39694922.0,39694922.0,67066943.0,49945660.0,1182553795.0,150438117.0,100492457.0,-14073833.0,14121756.0,47923.0,36243793.015801,67066943.0,1389680861.0,100444534.0,640000000.0,640000000.0,0.104792,0.104792,67066943.0,67066943.0,67066943.0,67066943.0,67066943.0,19303758.0,86370701.0,47846922.0,8152000.0,486000.0,486000.0,0.0,39208922.0,-14073833.0,14121756.0,47923.0,52597308.0,207127066.0,-3830000.0,210957066.0,51425111.0,159531955.0,159531955.0,259724374.0,1182553795.0,1442278169.0,1442278169.0
2020-12-31,277115.979157,0.309968,160513592.0,894015.0,894015.0,67288213.0,48234243.0,1309955692.0,161407607.0,113173364.0,-15575960.0,15658747.0,82787.0,66671313.979157,67288213.0,1524205801.0,113090577.0,640000000.0,640000000.0,0.105138,0.105138,67288213.0,67288213.0,67288213.0,67288213.0,67288213.0,30226404.0,97514617.0,2823015.0,1929000.0,209000.0,209000.0,,685015.0,-15575960.0,15658747.0,82787.0,110267080.0,214250109.0,-7445000.0,221695109.0,40047914.0,181647195.0,181647195.0,324517189.0,1309955692.0,1634472881.0,1634472881.0
