,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.2,14354906.84,922700.99,11145143.68,119190447.75,14354906.84,3209763.16,-2287062.17,2287062.17,,922700.99,922700.99,167415134.21,,3209763.16,336000000.0,336000000.0,0.002746,0.002746,922700.99,922700.99,922700.99,922700.99,922700.99,,922700.99,1434106.17,1434106.17,-2287062.17,2287062.17,,3209763.16,48224686.46,-1434106.17,49658792.63,7215768.02,42443024.61,42443024.61,51434449.62,119190447.75,170624897.37,170624897.37
2022-12-31,0.0,0.0,-8357164.46,-23116531.92,12388149.45,76182011.87,-8357164.46,-20745313.91,-2371218.01,2371218.01,52391.22,-23116531.92,-23116531.92,122773678.83,,-20745313.91,336000000.0,336000000.0,-0.07,-0.07,-23116531.92,-23116531.92,-23116531.92,-23116531.92,-23116531.92,,-23116531.92,846111.34,846111.34,-2371218.01,2371218.01,52391.22,-20745313.91,46591666.96,-898501.56,47490168.52,7077334.61,40412833.91,40412833.91,25846353.05,76182011.87,102028364.92,102028364.92
2021-12-31,0.0,0.0,-28202511.08,-43774908.45,12636142.59,43546868.26,-28202511.08,-40838653.67,-2759745.19,2936254.78,176509.59,-43774908.45,-43774908.45,106187086.39,,-40838653.67,336000000.0,336000000.0,-0.13,-0.13,-43774908.45,-43774908.45,-43774908.45,-43774908.45,-43774908.45,0.0,-43774908.45,3024786.9,3024786.9,-2759745.19,2936254.78,176509.59,-44039950.16,62640218.13,,62640218.13,3789893.47,58850324.66,58850324.66,18600267.97,43546868.26,62147136.23,62147136.23
2020-12-31,0.0,0.2,-2114816.34,-18326649.21,12715943.33,59611300.14,-2114816.34,-14830759.67,-2720824.32,3260122.14,539297.82,-18326649.21,-18326649.21,99597069.2,70200.0,-14830759.67,336000000.0,336000000.0,-0.05,-0.05,-18326649.21,-18326649.21,-18326649.21,-18326649.21,-18326649.21,235767.4,-18090881.81,1448974.4,1448974.4,-2720824.32,3260122.14,539297.82,-16819031.89,39985769.06,,39985769.06,3911217.64,36074551.42,36074551.42,23166737.17,59611300.14,82778037.31,82778037.31
2019-12-31,,,,,,,,,,,1375170.59,,,,4343904.0,,,,,,,,,,,195401.35,,,,,,1375170.59,,,,,,,,,,,
