,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Pretax Income,Other Income Expense,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-73909575.6,0.2,3029217876.0,-369547878.0,-369547878.0,2245517595.0,307329742.0,2659669998.0,2659669998.0,-414152403.0,414152403.0,2541155897.4,2245517595.0,368459984.0,77660997.0,3468827441.0,3468827441.0,0.647342,0.647342,2245517595.0,2245517595.0,2245517595.0,2245517595.0,2245517595.0,2245517595.0,-369547878.0,-369547878.0,-414152403.0,414152403.0,3029217876.0,61130242.0,61130242.0,3090348118.0,307329742.0,3397677860.0,3307388287.0
2022-12-31,-34648819.2,0.2,2815921173.0,-173244096.0,-173244096.0,2317703727.0,266653176.0,2642677077.0,2642677077.0,-324973350.0,324973350.0,2456299003.8,2317703727.0,363064891.0,55285766.0,3273885598.0,3273885598.0,0.707937,0.707937,2317703727.0,2317703727.0,2317703727.0,2317703727.0,2317703727.0,2317703727.0,-173244096.0,-173244096.0,-324973350.0,324973350.0,2815921173.0,96411715.0,96411715.0,2912332888.0,266653176.0,3178986064.0,3127589696.0
2021-12-31,49873600.2,0.2,2115830702.0,249368001.0,249368001.0,2060275160.0,246586227.0,2365198703.0,2365198703.0,-304923543.0,304923543.0,1860780759.2,2060275160.0,458673100.0,49908140.0,3068052400.0,3068052400.0,0.671525,0.671525,2060275160.0,2060275160.0,2060275160.0,2060275160.0,2060275160.0,2060275160.0,249368001.0,249368001.0,-304923543.0,304923543.0,2115830702.0,212086873.0,212086873.0,2327917575.0,246586227.0,2574503802.0,2540444171.0
2020-12-31,89515921.2,0.2,2124610570.0,447579606.0,447579606.0,2278297327.0,228611060.0,2572190176.0,2572190176.0,-293892849.0,293892849.0,1920233642.2,2278297327.0,431353819.0,54256461.0,2790654675.0,2790654675.0,0.816402,0.816402,2278297327.0,2278297327.0,2278297327.0,2278297327.0,2278297327.0,2278297327.0,447579606.0,447579606.0,-293892849.0,293892849.0,2124610570.0,202742759.0,202742759.0,2327353329.0,228611060.0,2555964389.0,2513311919.0
