,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,11505285.184,0.2,1637403671.53,57526425.92,57526425.92,26658755.52,1158684714.64,11822251249.6,1694930097.45,536245382.81,-422449262.46,422449262.46,-19362385.216,26658755.52,13669466140.22,536245382.81,1735237480.0,1735237480.0,0.02,0.02,26658755.52,26658755.52,26658755.52,-18283125.07,44941880.59,44941880.59,68854239.76,113796120.35,57526425.92,,57526425.92,-422449262.46,422449262.46,478718956.89,1847214890.62,-36845531.19,1884060421.81,1299554126.68,584506295.13,496101768.33,88404526.8,2325933847.51,11822251249.6,14148185097.11,14148185097.11
2022-12-31,8953723.174829,0.112348,2233878881.4,79696585.25,79696585.25,716689877.58,1147564479.2,10553760233.72,2313575466.65,1166010987.45,-329627728.69,329627728.69,645947015.504829,716689877.58,12051310696.51,1166010987.45,1735237480.0,1735237480.0,0.41,0.41,716689877.58,716689877.58,716689877.58,-25727696.91,742417574.49,742417574.49,93965684.27,836383258.76,79696585.25,,79696585.25,-329627728.69,329627728.69,1086314402.2,1497550462.79,-58264302.9,1555814765.69,1019187749.3,536627016.39,435973330.92,100653685.47,2583864864.99,10553760233.72,13137625098.71,13137625098.71
2021-12-31,-73684.493377,0.01702,2670341518.93,-4329381.44,-4329381.44,1293776725.15,1042922222.68,9746924940.53,2666012137.49,1623089914.81,-291996085.17,291996085.17,1298032422.096623,1293776725.15,11360307626.97,1623089914.81,1735237480.0,1735237480.0,0.75,0.75,1293776725.15,1293776725.15,1293776725.15,-14662372.9,1308439098.05,1308439098.05,22654731.59,1331093829.64,-4329381.44,,-4329381.44,-291996085.17,291996085.17,1627419296.25,1613382686.44,-2616681.51,1615999367.95,1198998635.61,417000732.34,310150324.28,106850408.06,3240801982.69,9746924940.53,12987726923.22,12987726923.22
2020-12-31,8028871.718,0.2,656736138.23,40144358.59,40144358.59,-590479982.24,1021233303.89,7309289357.03,696880496.82,-324352807.07,-269834741.78,269834741.78,-622595469.112,-590479982.24,8685576532.93,-978572370.84,1642134516.0,1642134516.0,-0.36,-0.36,-590479982.24,-590479982.24,-590479982.24,4241792.64,-594721774.88,-594721774.88,534226.03,-594187548.85,40144358.59,,40144358.59,-269834741.78,269834741.78,-364497165.66,1376287175.9,-21417619.44,1397704795.34,947938039.39,449766755.95,366518653.69,83248102.26,1011790010.24,7309289357.03,8321079367.27,8321079367.27
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20431406.12,,,,,,,,,,,,,,,
