,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.2,1659806467.0,891066894.0,498211112.0,3819881773.0,1659806467.0,1161595355.0,-33667888.0,38577040.0,4909152.0,891066894.0,891066894.0,4690334473.0,1161595355.0,2057828649.0,2057828649.0,0.43,0.43,891066894.0,891066894.0,891066894.0,-5899150.0,896966044.0,896966044.0,226052271.0,1123018315.0,27705003.0,27705003.0,-33667888.0,38577040.0,4909152.0,1128981200.0,870452700.0,,870452700.0,870452700.0,870452700.0,1999433900.0,3819881773.0,5819315673.0,5819315673.0
2022-12-31,0.0,0.2,1784282262.0,1011704826.0,455797690.0,3636684419.0,1784282262.0,1328484572.0,-42549563.0,47343428.0,4793865.0,1011704826.0,1011704826.0,4382766590.0,1328484572.0,2057828649.0,2057828649.0,0.49,0.49,1011704826.0,1011704826.0,1011704826.0,-11971876.0,1023676702.0,1023676702.0,257464442.0,1281141144.0,34733451.0,34733451.0,-42549563.0,47343428.0,4793865.0,1288957256.0,746082171.0,,746082171.0,746082171.0,746082171.0,2035039427.0,3636684419.0,5671723846.0,5671723846.0
2021-12-31,0.0,0.2,2285361889.0,1395295770.0,451026583.0,3531726337.0,2285361889.0,1834335306.0,-66095520.0,67128937.0,1033417.0,1395295770.0,1395295770.0,4543004841.0,1834335306.0,2006528793.0,2006528793.0,0.7,0.7,1395295770.0,1395295770.0,1395295770.0,-20309202.0,1415604972.0,1415604972.0,351601397.0,1767206369.0,25443140.0,25443140.0,-66095520.0,67128937.0,1033417.0,1807858749.0,1011278504.0,-17536919.0,1011278504.0,1011278504.0,1011278504.0,2819137253.0,3531726337.0,6350863590.0,6350863590.0
2020-12-31,0.0,0.12,872692402.0,349677906.0,398632496.0,2739856570.0,872692402.0,474059906.0,-72884841.0,73517077.0,632236.0,349677906.0,349677906.0,3433538563.0,474059906.0,1999328649.0,1999328649.0,0.17,0.17,349677906.0,349677906.0,349677906.0,-1026273.0,350704179.0,350704179.0,49838650.0,400542829.0,32099089.0,32099089.0,-72884841.0,73517077.0,632236.0,441328581.0,693681993.0,-25166757.0,693681993.0,693681993.0,693681993.0,1135010574.0,2739856570.0,3874867144.0,3874867144.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40189521.0,,,,,,,
