,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Selling General And Administration,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-3015292.0,0.2,362249783.0,-15076460.0,-15076460.0,294937673.0,30450579.0,347173323.0,347173323.0,-52235650.0,52235650.0,306998841.0,294937673.0,33613235.0,334424310.0,334424310.0,0.881927,0.881927,294937673.0,294937673.0,294937673.0,294937673.0,294937673.0,294937673.0,-18046093.0,-2969633.0,-15076460.0,-52235650.0,52235650.0,365219416.0,3162656.0,3162656.0,3162656.0,3162656.0,368382072.0,30450579.0,398832651.0,398832651.0
2022-12-31,35864727.2,0.2,363616016.0,179323636.0,179323636.0,502389869.0,29735942.0,542939652.0,542939652.0,-40549783.0,40549783.0,358930960.2,502389869.0,32568079.0,334424310.0,334424310.0,1.502253,1.502253,502389869.0,502389869.0,502389869.0,502389869.0,502389869.0,502389869.0,178222115.0,-1101521.0,179323636.0,-40549783.0,40549783.0,364717537.0,2832137.0,2832137.0,2832137.0,2832137.0,367549674.0,29735942.0,397285616.0,397285616.0
2021-12-31,41481016.8,0.2,144549785.0,207405084.0,207405084.0,335516695.0,12187367.0,351954869.0,351954869.0,-16438174.0,16438174.0,169592627.8,335516695.0,18918177.0,334424310.0,334424310.0,1.003266,1.003266,335516695.0,335516695.0,335516695.0,335516695.0,335516695.0,335516695.0,207089886.0,-315198.0,207405084.0,-16438174.0,16438174.0,144864983.0,6730810.0,6730810.0,6730810.0,6730810.0,151595793.0,12187367.0,163783160.0,163783160.0
