,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Other Special Charges,Write Off,Impairment Of Capital Assets,Restructuring And Mergern Acquisition,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Other Taxes,Provision For Doubtful Accounts,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Insurance And Claims,Rent And Landing Fees,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,656526850.4,0.2,50518354425.0,3282634252.0,3282634252.0,28096388393.0,11389087654.0,107783011528.0,53800988677.0,42411901023.0,-14214740247.0,15610608001.0,1395867754.0,25470280991.4,28096388393.0,122000894313.0,2967110628.0,42454492291.0,2182771917.0,2182771917.0,12.87,12.87,28096388393.0,28096388393.0,28096388393.0,-26918509.0,28123306902.0,28123306902.0,-1322013880.0,26801293022.0,5571321961.0,2225000000.0,4348235097.0,469000000.0,-3956035896.0,,76800799.0,,63687709.0,-1065600845.0,-14214740247.0,15610608001.0,1395867754.0,35444675951.0,14217882785.0,6890771719.0,,87000000.0,7240111066.0,7240111066.0,,,,,,49662558736.0,107783011528.0,157445570264.0,148200451675.0
2022-12-31,713920678.8,0.2,17312220985.0,3569603394.0,3569603394.0,-272248251.0,9880894144.0,87345367184.0,20881824379.0,11000930235.0,-12621152811.0,12686734414.0,65581603.0,-3127930966.2,-272248251.0,96977596343.0,5226737469.0,11118183339.0,2182771917.0,2182771917.0,-0.12,-0.12,-272248251.0,-272248251.0,-272248251.0,-20637449.0,-251610802.0,-251610802.0,-1434193377.0,-1685804179.0,4046298501.0,481000000.0,5065262847.0,783000000.0,5238410546.0,,-9520673393.0,,-4304893.0,-1495659453.0,-12621152811.0,12686734414.0,65581603.0,6889318919.0,9632229159.0,4801503883.0,,99000000.0,4731725276.0,4731725276.0,,,,,,16521548078.0,87345367184.0,103866915262.0,97192766726.0
2021-12-31,15725916576.4,0.2,-4262072154.0,78629582882.0,78629582882.0,55118210406.0,12544140777.0,35370239469.0,74367510728.0,61823369951.0,-9468040943.0,9489834715.0,21793772.0,-7785455899.6,55118210406.0,40425439091.0,1265078604.0,61780623274.0,2182771917.0,2182771917.0,25.25,25.25,55118210406.0,55118210406.0,55118210406.0,4907073.0,55113303333.0,55113303333.0,-2779768097.0,52333535236.0,80654379628.0,2152000000.0,83413426687.0,1593000000.0,-61807531743.0,,-20012894944.0,,-127203254.0,-4783843805.0,-9468040943.0,9489834715.0,21793772.0,-18853251881.0,5055199622.0,4388995221.0,,-171000000.0,837204401.0,837204401.0,,,,,,-13798052259.0,35370239469.0,21572187210.0,16456622543.0
2020-12-31,-17764793261.8,0.2,-11375115094.0,-88823966309.0,-88823966309.0,-141170736793.0,27704277826.0,79118002793.0,-100199081403.0,-127903359229.0,-12073706308.0,12193849066.0,120142758.0,-70111563745.8,-141170736793.0,87204664506.0,218838293.0,-121904018550.0,2182771917.0,2182771917.0,-64.67,-64.67,-141170736793.0,-141170736793.0,-141170736793.0,9160705.0,-141179897498.0,-141179897498.0,1082689203.0,-140097208295.0,-88535863023.0,799606044.0,-82702523715.0,,,,82702523715.0,,-511502758.0,-6121442594.0,-12073706308.0,12193849066.0,120142758.0,-39488209198.0,8086661713.0,5861592962.0,,273000000.0,1952068751.0,1952068751.0,,,,,,-31401547485.0,79118002793.0,47716455308.0,41055662887.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-28550000.0,-92000000.0,0.0,,56260000.0,,,,,,,,,224560000.0,,,,4352370490.0,592640000.0,955670490.0,2786760000.0,17300000.0,,,,
