,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Write Off,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Provision For Doubtful Accounts,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,2678642.431904,0.0776,139828573.19,34518588.04,34518588.04,122565105.78,31719485.7,538289227.76,174347161.23,142627675.53,4076188.73,1279687.68,5355876.41,90725160.171904,122565105.78,708132859.74,107772265.26,566764945.0,566764945.0,0.2163,0.2163,122565105.78,122565105.78,122565105.78,-7807499.96,130372605.74,130372605.74,10975382.11,141347987.85,92384107.96,26308390.92,,,31557129.0,34518588.04,4076188.73,1279687.68,5355876.41,44887691.16,169843631.98,1449323.26,,168394308.72,8024258.8,160370049.92,160370049.92,214731323.14,538289227.76,753020550.9,753020550.9
2022-12-31,185040.0,0.2313,125685431.46,800000.0,800000.0,64337691.08,32376713.08,474831561.14,126485431.46,94108718.38,1450721.06,1685007.53,3135728.59,63722731.08,64337691.08,661073543.69,71382176.78,566764945.0,566764945.0,0.1135,0.1135,64337691.08,64337691.08,64337691.08,-6709006.23,71046697.31,71046697.31,21377013.54,92423710.85,49096081.39,28405580.07,0.0,0.0,19890501.32,800000.0,1450721.06,1685007.53,3135728.59,41876908.4,186241982.55,26807370.66,24000000.0,159434611.89,8325014.46,151109597.43,151109597.43,228118890.95,474831561.14,702950452.09,702950452.09
2021-12-31,-12116146.348,0.2,38084866.61,-60580731.74,-60580731.74,-66217752.43,32386418.39,314392512.14,-22495865.13,-54882283.52,105452.66,3049578.17,3155030.83,-17753167.038,-66217752.43,467261424.56,31062685.46,566764945.0,566764945.0,-0.1168,-0.1168,-66217752.43,-66217752.43,-66217752.43,-3375810.85,-62841941.58,-62841941.58,4910079.89,-57931861.69,-124969542.23,24292858.48,-73213995.29,73213995.29,-88681668.97,12633263.55,105452.66,3049578.17,3155030.83,66932227.88,152868912.42,613451.05,0.0,152255461.37,6810800.62,145444660.75,145444660.75,219801140.3,314392512.14,534193652.44,534193652.44
2020-12-31,-28045638.96168,0.202,97507276.3,-138839796.84,-138839796.84,-63416090.93,34666779.15,289758669.08,-41332520.54,-75999299.69,-1057476.98,3646035.24,2588558.26,47378066.94832,-63416090.93,445049285.69,-72598810.92,566764945.0,566764945.0,-0.1119,-0.1119,-63416090.93,-63416090.93,-63416090.93,137959.36,-63554050.29,-63554050.29,-16091284.64,-79645334.93,-123416336.51,21268576.65,-140889972.5,140889972.5,-5845116.32,2050175.66,-1057476.98,3646035.24,2588558.26,44828478.55,155290616.61,,,155290616.61,5831950.01,149458666.6,149458666.6,200119095.16,289758669.08,489877764.24,489877764.24
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,7253464.75,,,,,,,,,
