,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.024576,268151058.0,30996894.0,115682216.0,485984312.0,268151058.0,152468842.0,-117160823.0,117160823.0,30996894.0,30996894.0,555916536.0,152468842.0,2240000000.0,2240000000.0,0.014,0.014,30996894.0,30996894.0,30996894.0,-3443409.0,34440303.0,34440303.0,867716.0,35308019.0,,,-117160823.0,117160823.0,152468842.0,69932224.0,-43184002.0,113116226.0,113116226.0,83534210.0,29582016.0,222401066.0,485984312.0,708385378.0,708385378.0
2022-12-31,0.0,0.015488,317618811.0,131066545.0,116488676.0,467524084.0,317618811.0,201130135.0,-62778655.0,62778655.0,131066545.0,131066545.0,537137348.0,201130135.0,2240000000.0,2240000000.0,0.059,0.059,131066545.0,131066545.0,131066545.0,-5142115.0,136208660.0,136208660.0,2142820.0,138351480.0,44357181.0,44357181.0,-62778655.0,62778655.0,201130135.0,69613264.0,-44357181.0,113970445.0,113970445.0,90486277.0,23484168.0,270743399.0,467524084.0,738267483.0,738267483.0
2021-12-31,0.0,0.2,369852739.0,187361604.0,111142755.0,390877775.0,369852739.0,258709984.0,-68594847.0,68594847.0,187361604.0,187361604.0,490446396.0,258709984.0,2240000000.0,2240000000.0,0.08,0.08,187361604.0,187361604.0,187361604.0,-5670509.0,193032113.0,193032113.0,-2916976.0,190115137.0,18945191.0,18945191.0,-68594847.0,68594847.0,239764793.0,99568621.0,,99568621.0,99568621.0,77279606.0,22289015.0,339333414.0,390877775.0,730211189.0,730211189.0
2020-12-31,0.0,0.003451,387812620.0,194478197.0,105875249.0,312987676.0,387812620.0,281937371.0,-80011636.0,80011636.0,194478197.0,194478197.0,391166754.0,,1871147541.0,1871147541.0,0.1,0.1,194478197.0,194478197.0,194478197.0,-6750608.0,201228805.0,201228805.0,696930.0,201925735.0,2537353.0,2537353.0,-80011636.0,80011636.0,279400018.0,78179078.0,,78179078.0,78179078.0,56972680.0,21206398.0,357579096.0,312987676.0,670566772.0,670566772.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,8052173.0,8052173.0,,,,,,,,,,,,,
