,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Business,Other Special Charges,Write Off,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Provision For Doubtful Accounts,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,6614659.397537,0.271805,596207182.0,24336051.0,24336051.0,71685542.0,461309301.0,3887994276.0,620543233.0,159233932.0,-61607945.0,68352000.0,8574055.0,53964150.397537,71685542.0,4447446710.0,,140078052.0,618000000.0,618000000.0,0.12,0.12,71685542.0,71685542.0,71685542.0,5505770.0,66179772.0,66179772.0,24702160.0,90881932.0,110787051.0,86451000.0,23536051.0,,-11124000.0,-12412051.0,800000.0,-61607945.0,1830000.0,68352000.0,8574055.0,41703512.0,559452434.0,38749484.0,,520702950.0,150359707.0,370343243.0,370343243.0,601155946.0,3887994276.0,4489150222.0,4489150222.0
2022-12-31,55814504.527096,0.222019,562760053.0,251395427.0,251395427.0,260561474.0,417117014.0,4315270399.0,814155480.0,397038466.0,-58125553.0,64797000.0,7729447.0,64980551.527096,260561474.0,4874987378.0,,392084864.0,618000000.0,618000000.0,0.42,0.42,260561474.0,260561474.0,260561474.0,2083851.0,258477623.0,258477623.0,73763843.0,332241466.0,318360427.0,66965000.0,245850427.0,0.0,-247568000.0,1717573.0,5545000.0,-58125553.0,1058000.0,64797000.0,7729447.0,72006474.0,559716979.0,33257006.0,,526459973.0,163113061.0,363346912.0,363346912.0,631723453.0,4315270399.0,4946993852.0,4946993852.0
2021-12-31,-1749586.389763,0.230692,519799229.0,-7584077.0,-7584077.0,61384993.0,385571805.0,4002738166.0,512215152.0,126643347.0,-41658116.0,48230000.0,7248884.0,67219483.610237,61384993.0,4499122950.0,,149404230.0,618000000.0,618000000.0,0.1,0.1,61384993.0,61384993.0,61384993.0,1060983.0,60324010.0,60324010.0,18089337.0,78413347.0,37906923.0,45491000.0,-28717077.0,616000.0,,29333077.0,21133000.0,-41658116.0,677000.0,48230000.0,7248884.0,82163856.0,496384784.0,3591546.0,,492793238.0,139332263.0,353460975.0,353460975.0,578548640.0,4002738166.0,4581286806.0,4581286806.0
2020-12-31,-5728049.588351,0.209196,743382740.0,-27381203.0,-27381203.0,-287504179.0,1007665828.0,5071492542.0,716001537.0,-291664291.0,-61751154.0,71898000.0,12199846.0,-265851025.588351,-287504179.0,5773302090.0,,-263557375.0,618000000.0,618000000.0,-0.47,-0.47,-287504179.0,-287504179.0,-287504179.0,2183.0,-287506362.0,-287506362.0,-76055929.0,-363562291.0,40253797.0,67635000.0,-38254203.0,,,38254203.0,10873000.0,-61751154.0,2053000.0,71898000.0,12199846.0,-342065302.0,701809548.0,153563788.0,,548245760.0,161715467.0,386530293.0,386530293.0,359744246.0,5071492542.0,5431236788.0,5431236788.0
2019-12-31,,,,,,,,,,,,,,,,,122346000.0,,,,,,,,,,,,,,,,,,-272000.0,,,,,,,,,,0.0,,,,,,,,
