,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,8818204.628534,0.19654,613542339.0,44867241.0,44867241.0,417029781.0,89018562.0,7219915589.0,658409580.0,569391018.0,-50348692.0,50348692.0,380980744.628534,417029781.0,7315727506.0,534199969.0,480096000.0,480096000.0,0.87,0.87,417029781.0,417029781.0,417029781.0,,417029781.0,417029781.0,102012545.0,519042326.0,80058290.0,,35191049.0,44867241.0,-50348692.0,50348692.0,489332728.0,95811917.0,-126433644.0,222245561.0,103589971.0,118655590.0,118655590.0,,585144645.0,7219915589.0,7805060234.0,7805060234.0
2022-12-31,-3082516.6,0.2,72054979.0,-15412583.0,-15412583.0,-64196091.0,97049862.0,5395735324.0,56642396.0,-40407466.0,-12783421.0,12783421.0,-51866024.6,-64196091.0,5565001503.0,-57481189.0,480096000.0,480096000.0,-0.13,-0.13,-64196091.0,-64196091.0,-64196091.0,0.0,-64196091.0,-64196091.0,11005204.0,-53190887.0,1661140.0,,17073723.0,-15412583.0,-12783421.0,12783421.0,-42068606.0,169266179.0,-43370684.0,212636863.0,66380522.0,146256341.0,146256341.0,,127197573.0,5395735324.0,5522932897.0,5522932897.0
2021-12-31,-3417422.515,0.169,1282974728.0,-20221435.0,-20221435.0,940345528.0,101889777.0,6633994639.0,1262753293.0,1160863516.0,-15189264.0,15189264.0,957149540.485,940345528.0,6805694088.0,921713532.0,480096000.0,480096000.0,1.96,1.96,940345528.0,940345528.0,940345528.0,-11891271.0,952236799.0,952236799.0,193437453.0,1145674252.0,218928549.0,,239149984.0,-20221435.0,-15189264.0,15189264.0,941934967.0,171699449.0,-54397723.0,226097172.0,68369298.0,157727874.0,157727874.0,,1113634416.0,6633994639.0,7747629055.0,7747629055.0
2020-12-31,-2214699.072,0.272,321895994.0,-8142276.0,-8142276.0,133051167.0,108516563.0,4550472481.0,313753718.0,205237155.0,-18740482.0,18740482.0,138978743.928,133051167.0,4659807656.0,268660768.0,480096000.0,480096000.0,0.28,0.28,133051167.0,133051167.0,133051167.0,-2778279.0,135829446.0,135829446.0,50667227.0,186496673.0,-71565889.0,,-63423613.0,-8142276.0,-18740482.0,18740482.0,276803044.0,109335175.0,-41281771.0,150616946.0,68191150.0,82425796.0,82425796.0,,386138219.0,4550472481.0,4936610700.0,4936610700.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,11421752.0,,,,,,41573012.0,,,,,,,,,,,,19791991.0,,,,
