,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Business,Write Off,Impairment Of Capital Assets,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Other Taxes,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,27717458.6,0.2,1152177046.0,138587293.0,138587293.0,72716084.0,13939911.0,2305493769.0,1290764339.0,1276824428.0,-598016084.0,727546687.0,129530603.0,-38153750.4,72716084.0,3249276693.0,204917072.0,1147293825.0,8266128865.0,8266128865.0,0.009,0.009,72716084.0,72716084.0,72716084.0,-184102918.0,256819002.0,0.0,256819002.0,292458739.0,549277741.0,433312305.0,294725012.0,12000000.0,,-12000000.0,,126587293.0,-598016084.0,727546687.0,129530603.0,713981520.0,943782924.0,-294725012.0,-71218154.0,1015001078.0,281920297.0,733080781.0,677839565.0,55241216.0,1657764444.0,2305493769.0,3963258213.0,3963258213.0
2022-12-31,36508797.4,0.2,1437643677.0,182543987.0,182543987.0,234366667.0,20097724.0,3375631680.0,1620187664.0,1600089940.0,-672182805.0,730356555.0,58173750.0,88331477.4,229946791.0,4645872575.0,160130226.0,1541916190.0,8266128517.0,8266128517.0,0.028,0.028,229946791.0,229946791.0,229946791.0,-155545080.0,385491871.0,-4419876.0,389911747.0,479821638.0,869733385.0,397059342.0,214515355.0,0.0,0.0,0.0,,182543987.0,-672182805.0,730356555.0,58173750.0,1144856848.0,1270240895.0,-214515355.0,0.0,1270240895.0,422894032.0,847346863.0,796620647.0,50726216.0,2415097743.0,3375631680.0,5790729423.0,5790729423.0
2021-12-31,-125572293.8,0.2,1308888292.0,-627861469.0,-627861469.0,-447256930.0,24058893.0,1612533429.0,681026823.0,656967930.0,-1129051426.0,1129448429.0,397003.0,55032245.2,-1057247019.0,1896327256.0,59608462.0,656570927.0,8266128236.0,8266128236.0,-0.128,-0.128,-1057247019.0,-1057247019.0,-1057247019.0,382028948.0,-1439275967.0,-609990089.0,-829285878.0,356805379.0,-472480499.0,-627861469.0,,5934695.0,5934695.0,,,-633796164.0,-1129051426.0,1129448429.0,397003.0,1284432396.0,283793827.0,-333835220.0,,617629047.0,181693103.0,435935944.0,396694956.0,39240988.0,1568226223.0,1612533429.0,3180759652.0,3180759652.0
2020-12-31,32394849.197999,0.154878,1246809752.0,209163129.0,209163129.0,734263668.0,32716951.0,1562585169.0,1455972881.0,1423255930.0,-608542106.0,609146299.0,604193.0,557495388.197999,-360066065.0,2097620976.0,39693561.0,1422651737.0,8266127954.0,8266127954.0,-0.044,-0.044,-360066065.0,-360066065.0,-360066065.0,46242028.0,-406308093.0,-1094329733.0,688021640.0,126087991.0,814109631.0,209163129.0,,-739898310.0,0.0,,739898310.0,209163129.0,-608542106.0,609146299.0,604193.0,1213488608.0,535035807.0,-11012760.0,,546048567.0,198981468.0,347067099.0,306899911.0,40167188.0,1748524415.0,1562585169.0,3311109584.0,3311109584.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13145736.0,,0.0,,0.0,,,,,,,,,,,,,,,,,
