,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-42118308.934391,0.192812,1660407517.0,-218442444.0,-218442444.0,-1229930739.0,2598539972.0,238048677690.0,1441965073.0,-1156574899.0,-367147741.0,367147741.0,-1053606603.934391,-1229930739.0,237918156239.0,,4335902125.0,4335902125.0,-0.28,-0.28,-1229930739.0,-1229930739.0,-1229930739.0,0.0,-1229930739.0,-1229930739.0,-293791901.0,-1523722640.0,-89355413.0,129087031.0,-218442444.0,-367147741.0,367147741.0,-1067219486.0,-130521451.0,-1432682939.0,1302161488.0,1302161488.0,1302161488.0,-1197740937.0,238048677690.0,236850936753.0,236850936753.0
2022-12-31,41530411.232197,0.200181,12305978523.0,207464429.0,207464429.0,7673797244.0,2602644803.0,272832700635.0,12513442952.0,9910798149.0,-316382339.0,316382339.0,7507863226.232197,7673797244.0,271658224082.0,,4335902125.0,4335902125.0,1.77,1.77,7673797244.0,7673797244.0,7673797244.0,,7673797244.0,7673797244.0,1920618566.0,9594415810.0,270407732.0,62943303.0,207464429.0,-316382339.0,316382339.0,9640390417.0,-1174476553.0,-3965749850.0,2791273297.0,2791273297.0,2791273297.0,8465913864.0,272832700635.0,281298614499.0,281298614499.0
2021-12-31,-14625450.760512,0.197271,8842937994.0,-74139004.0,-74139004.0,4746462969.0,2644067236.0,165598311928.0,8768798990.0,6124731754.0,-211825905.0,211825905.0,4805976522.239488,4746462969.0,164193750348.0,,4335902125.0,4335902125.0,1.09,1.09,4746462969.0,4746462969.0,4746462969.0,,4746462969.0,4746462969.0,1166442880.0,5912905849.0,-12375655.0,61763349.0,-74139004.0,-211825905.0,211825905.0,6137107409.0,-1404561580.0,-2153537031.0,748975451.0,748975451.0,748975451.0,4732545829.0,165598311928.0,170330857757.0,170330857757.0
2020-12-31,95371866.529274,0.205696,-5014291671.0,463655549.0,463655549.0,-6004840525.0,2831905328.0,137168953725.0,-4550636122.0,-7382541450.0,-177330906.0,177330906.0,-6373124207.470726,-6004840525.0,137515051702.0,,4335902125.0,4335902125.0,-1.38,-1.38,-6004840525.0,-6004840525.0,-6004840525.0,,-6004840525.0,-6004840525.0,-1555031831.0,-7559872356.0,533817246.0,70161697.0,463655549.0,-177330906.0,177330906.0,-7916358696.0,346097977.0,-564702865.0,910800842.0,910800842.0,910800842.0,-7570260719.0,137168953725.0,129598693006.0,129598693006.0
2019-12-31,,,,,,,,,,,,,,,,3266036.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
