,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,7055949.89,0.202,491465488.0,34930445.0,34930445.0,361779595.0,70847821.0,1808824179.0,526395933.0,455548112.0,-1967979.0,1967979.0,,333905099.89,343716980.0,2310825000.0,345000000.0,345000000.0,1.0,1.0,343716980.0,343716980.0,343716980.0,2270.0,343714710.0,-18062615.0,361777325.0,91802808.0,453580133.0,45936445.0,11006000.0,3064000.0,3064000.0,31866445.0,-1967979.0,1967979.0,,409611262.0,446268000.0,,15115000.0,15115000.0,15115000.0,431153000.0,130530000.0,300623000.0,38108000.0,262515000.0,855879262.0,1864557000.0,2720436262.0,2720436262.0
2022-12-31,2445533.2,0.2,449726110.0,12227666.0,12227666.0,303066354.0,80246566.0,1689440434.0,461953776.0,381707210.0,-1989157.0,1989157.0,,293284221.2,344089634.0,2173858000.0,345000000.0,345000000.0,1.0,1.0,344089634.0,344089634.0,344089634.0,-609439.0,344699073.0,41023280.0,303675793.0,76042260.0,379718053.0,21232666.0,9005000.0,2938000.0,2938000.0,9289666.0,-1989157.0,1989157.0,,360473877.0,425862000.0,,21691000.0,21691000.0,21691000.0,404171000.0,84871000.0,319300000.0,41068000.0,278232000.0,786335877.0,1747996000.0,2534331877.0,2534331877.0
2021-12-31,3471960.096,0.198,644096762.0,17535152.0,17535152.0,460034147.0,83487621.0,1868444379.0,661631914.0,578144293.0,-2204228.0,2204228.0,,445970955.096,460034147.0,2371507000.0,345000000.0,345000000.0,1.33,1.33,460034147.0,460034147.0,460034147.0,-1657569.0,461691716.0,,461691716.0,114248349.0,575940065.0,26109152.0,8574000.0,3218000.0,3218000.0,14317152.0,-2204228.0,2204228.0,,552035752.0,453271000.0,,33696000.0,33696000.0,33696000.0,419575000.0,69864000.0,349711000.0,32668000.0,317043000.0,1005306752.0,1918236000.0,2923542752.0,2923542752.0
2020-12-31,5674294.692,0.198,525141798.0,28658054.0,28658054.0,372858556.0,86806170.0,1662309830.0,553799852.0,466993682.0,-2184829.0,2184829.0,,349874796.692,372858556.0,2169347000.0,345000000.0,345000000.0,1.08,1.08,372858556.0,372858556.0,372858556.0,-22597.0,372881153.0,,372881153.0,91927700.0,464808853.0,35629054.0,6971000.0,1216000.0,1216000.0,27442054.0,-2184829.0,2184829.0,,431365064.0,456600000.0,-7460000.0,36369000.0,36369000.0,36369000.0,420231000.0,74530000.0,345701000.0,26790000.0,318911000.0,887965064.0,1712747000.0,2600712064.0,2600712064.0
2019-12-31,,,,,,,,,,,,,23845000.0,,,,,,,,,,,,,,,,,,,,,,,,23845000.0,,,-7790000.0,,,,,,,,,,,,
