,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.07,3078327167.0,,,1719581960.0,1095566545.0,12940633602.0,3078327167.0,1982760622.0,-103794020.0,103794020.0,1719581960.0,1719581960.0,14375039278.0,1968590960.0,1182064000.0,1182064000.0,1.45,1.45,1719581960.0,1719581960.0,1719581960.0,-27891245.0,1747473205.0,1747473205.0,131493397.0,1878966602.0,14169662.0,,14169662.0,,-103794020.0,103794020.0,1968590960.0,1434405676.0,-339730781.0,1774136457.0,515168029.0,1258968428.0,1258968428.0,3402996636.0,12940633602.0,16343630238.0,16343630238.0
2022-12-31,0.0,0.06,3644204854.0,,,2317230051.0,1081900875.0,14254348417.0,3644204854.0,2562303979.0,-72079285.0,72079285.0,2317230051.0,2317230051.0,15912590039.0,2543750849.0,1182336000.0,1181792000.0,1.96,1.96,2317230051.0,2317230051.0,2317230051.0,-29480126.0,2346710177.0,2346710177.0,143514517.0,2490224694.0,18553130.0,,18553130.0,,-72079285.0,72079285.0,2543750849.0,1658241622.0,-330249085.0,1988490707.0,622977922.0,1365512785.0,1365512785.0,4201992471.0,14254348417.0,18456340888.0,18456340888.0
2021-12-31,0.0,0.08,3750123720.0,,,2426284100.0,1023870917.0,10965203349.0,3750123720.0,2726252803.0,-43702846.0,43702846.0,2426284100.0,2426284100.0,12228941034.0,2708838944.0,1181865000.0,1180286000.0,2.05,2.06,2426284100.0,2426284100.0,2426284100.0,-34778715.0,2461062815.0,2461062815.0,221487142.0,2682549957.0,17413859.0,,17413859.0,,-43702846.0,43702846.0,2708838944.0,1263737685.0,-391988276.0,1655725961.0,541861474.0,1113864487.0,1113864487.0,3972576629.0,10965203349.0,14937779978.0,14937779978.0
2020-12-31,0.0,0.07,2336697583.0,,,1126786742.0,1049297135.0,9015064206.0,2336697583.0,1287400448.0,-57475011.0,57475011.0,1126786742.0,1126786742.0,10249602582.0,1277559794.0,1173607000.0,1173607000.0,0.96,0.96,1126786742.0,1126786742.0,1126786742.0,-16077392.0,1142864134.0,1142864134.0,87061303.0,1229925437.0,9840654.0,,9840654.0,,-57475011.0,57475011.0,1277559794.0,1234538376.0,-214702392.0,1449240768.0,454563053.0,994677715.0,994677715.0,2512098170.0,9015064206.0,11527162376.0,11527162376.0
2019-12-31,,,,99388000.0,99388000.0,,,,,,,,,,,,,,,,,,,,,,,,,91930798.0,,99388000.0,,,,,,,,,,,,,
