,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Earnings From Equity Interest,Gain On Sale Of Security,Operating Income,Operating Expense,Other Operating Expenses,Other Taxes,Provision For Doubtful Accounts,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-56401528.898,0.2,230166377.68,-282007644.49,-282007644.49,-334151986.6,8773041.81,-51841266.81,-51841266.81,-108545871.008,-334151986.6,82010082.32,-334151986.6,-334151986.6,-334151986.6,-334151986.6,-334151986.6,4350.26,-334147636.34,-282306369.53,-298725.04,,-403518.11,-282007644.49,-51841266.81,73237040.51,,,73237040.51,21395773.7,8773041.81,30168815.51,30168815.51
2022-12-31,-8996277.84,0.2,79770068.06,-44981389.2,-44981389.2,-10497599.8,9897666.31,34788678.86,34788678.86,25487511.56,-10497599.8,9897666.31,-10497599.8,-10497599.8,-10497599.8,-10497599.8,-10497599.8,1790.02,-10495809.78,-45284488.64,-303099.44,,-1380448.59,-44981389.2,34788678.86,0.0,,1790.02,0.0,34788678.86,9897666.31,44686345.17,44686345.17
2021-12-31,-7401921.564,0.2,171009410.93,-37009607.82,-37009607.82,96825388.61,9366900.27,133999803.11,133999803.11,126433074.866,96825388.61,9367916.18,96825388.61,96825388.61,96825388.61,96825388.61,96825388.61,,96825388.61,-37174414.5,-164806.68,,-369561.09,-37009607.82,133999803.11,1015.91,,1015.91,,134000819.02,9366900.27,143367719.29,143367719.29
2020-12-31,-15001135.204,0.2,194280395.68,-75005676.02,-75005676.02,44044794.21,10572291.62,119274719.66,119274719.66,104049335.026,44044794.21,10574270.84,44044794.21,44044794.21,44044794.21,44044794.21,44044794.21,,44044794.21,-75229925.45,-224249.43,,-1592477.34,-75005676.02,119274719.66,1979.22,,1979.22,,119276698.88,10572291.62,129848990.5,129848990.5
2019-12-31,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,308521.45,494.67,,,,,
