,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Write Off,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Provision For Doubtful Accounts,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-8888872.314442,0.2839,147931297.21,-31309870.78,-31309870.78,29981522.13,51993905.32,1270045662.29,116621426.43,64627521.11,-22760736.05,22760736.05,52402520.595558,29981522.13,1490505267.65,64627521.11,340813930.0,340813930.0,0.09,0.09,29981522.13,29981522.13,29981522.13,29981522.13,29981522.13,11885262.93,41866785.06,-31309870.78,,-1726758.9,1726758.9,-29583111.88,-22760736.05,22760736.05,95937391.89,220459605.36,-15164013.65,,235623619.01,49797331.37,185826287.64,185826287.64,316396997.25,1270045662.29,1586442659.54,1586442659.54
2022-12-31,-1343620.052,0.2,80973106.48,-6718100.26,-6718100.26,-6229429.99,54210469.31,1154566497.29,74255006.22,20044536.91,-16736408.1,16736408.1,-854949.782,-6229429.99,1386336590.82,20044536.91,340813930.0,340813930.0,-0.02,-0.02,-6229429.99,-6229429.99,-6229429.99,-6229429.99,-6229429.99,9537558.8,3308128.81,-6718100.26,,2075135.02,-2075135.02,-8793235.28,-16736408.1,16736408.1,26762637.17,231770093.53,-6069014.45,-2075135.02,237839107.98,54549848.42,183289259.56,183289259.56,258532730.7,1154566497.29,1413099227.99,1413099227.99
2021-12-31,609969.079877,0.0739,154643721.29,8253979.43,8253979.43,86348306.39,54182334.98,765506602.35,162897700.72,108715365.74,-15479466.35,15479466.35,78704296.039877,86348306.39,950767723.57,108715365.74,340813930.0,340813930.0,0.25,0.25,86348306.39,86348306.39,86348306.39,86348306.39,86348306.39,6887593.0,93235899.39,8253979.43,,-2157744.99,2157744.99,10411724.42,-15479466.35,15479466.35,100461386.31,185261121.22,-9952744.59,2157744.99,195213865.81,50630659.95,144583205.86,144583205.86,285722507.53,765506602.35,1051229109.88,1051229109.88
2020-12-31,1528000.026,0.2,65862740.41,7640000.13,7640000.13,2319110.79,52022986.55,559312127.16,73502740.54,21479753.99,-15803261.17,15803261.17,-3792889.314,2319110.79,708947526.53,21479753.99,340818051.0,340818051.0,0.009375,0.009375,2319110.79,2319110.79,2319110.79,2319110.79,2319110.79,3357382.03,5676492.82,7640000.13,,2682766.64,-2682766.64,4957233.49,-15803261.17,15803261.17,13839753.86,149635399.37,-13388413.73,-2682766.64,163023813.1,27593365.16,135430447.94,135430447.94,163475153.23,559312127.16,722787280.39,722787280.39
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10106940.67,,,,,,,,,0.0,,,,,,,,
