,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Impairment Of Capital Assets,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Provision For Doubtful Accounts,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-6082974.799,0.187,251096916.0,-32529277.0,-32529277.0,90859956.0,88309741.0,750793381.0,218567639.0,130257898.0,-18504031.0,18504031.0,117306258.201,90859956.0,751312007.0,502448570.0,502448570.0,0.18,0.18,90859956.0,90859956.0,90859956.0,90859956.0,90859956.0,20893911.0,111753867.0,-241554557.0,-209025280.0,-32529277.0,32529277.0,,-18504031.0,18504031.0,371812455.0,518626.0,142629312.0,518626.0,372331081.0,750793381.0,1123124462.0,1123124462.0
2022-12-31,-3508780.566,0.223,393226723.0,-15734442.0,-15734442.0,217211672.0,87754845.0,840690045.0,377492281.0,289737436.0,-10182658.0,10182658.0,229437333.434,217211672.0,840694383.0,502448570.0,502448570.0,0.43,0.43,217211672.0,217211672.0,217211672.0,217211672.0,217211672.0,62343106.0,279554778.0,-221949296.0,-206214854.0,-15734442.0,15734442.0,40778906.0,-10182658.0,10182658.0,511686732.0,4338.0,139255177.0,4338.0,511691070.0,840690045.0,1352381115.0,1352381115.0
2021-12-31,-1225963.4476,0.2131,601636612.0,-5752996.0,-5752996.0,381045224.0,102208392.0,919493719.0,595883616.0,493675224.0,-9453046.0,9453046.0,385572256.5524,381045224.0,919493719.0,502448570.0,502448570.0,0.76,0.76,381045224.0,381045224.0,381045224.0,381045224.0,381045224.0,103176954.0,484222178.0,-225686049.0,-219933053.0,-5752996.0,5752996.0,-5272537.0,-9453046.0,9453046.0,719361273.0,0.0,152787108.0,0.0,719361273.0,919493719.0,1638854992.0,1638854992.0
2020-12-31,-3557488.4645,0.2047,444793497.0,-17379035.0,-17379035.0,239646211.0,112191149.0,812418136.0,427414462.0,315223313.0,-13899010.0,13899010.0,253467757.5355,239646211.0,812312777.0,502448570.0,502448570.0,0.48,0.48,239646211.0,239646211.0,239646211.0,239646211.0,239646211.0,61678092.0,301324303.0,-225131803.0,-207752768.0,-17379035.0,17379035.0,-85545348.0,-13899010.0,13899010.0,540355116.0,-105359.0,169861190.0,-105359.0,540249757.0,812418136.0,1352667893.0,1352667893.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,847733.0,,,,,,,,,,
