,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,367355.174805,0.2655,658093746.19,1383635.31,1383635.31,352655825.42,114045855.66,5777112706.56,659477381.5,545431525.84,-34254414.77,53059925.59,18805510.82,351639545.284805,352655825.42,6897599900.44,222679587.74,1454198768.0,1454198768.0,0.24,0.24,352655825.42,352655825.42,352655825.42,-8982189.13,361638014.55,361638014.55,130733585.7,492371600.25,17718827.62,17222591.04,1383635.31,1383635.31,-887398.73,,-34254414.77,53059925.59,18805510.82,508907187.4,1120487193.88,,1120487193.88,393350611.82,727136582.06,727136582.06,,1629394381.28,5777112706.56,7406507087.84,7406507087.84
2022-12-31,141508.100028,0.2516,1116480990.13,562432.83,562432.83,612139869.75,108194971.13,8023160301.64,1117043422.96,1008848451.83,-177217940.56,190878046.23,13660105.67,611718945.020028,612139869.75,9290734636.27,203777645.09,1454198768.0,1454198768.0,0.42,0.42,612139869.75,612139869.75,612139869.75,-22980.37,612162850.12,612162850.12,205807555.48,817970405.6,10178133.79,11354573.61,562432.83,562432.83,-1738872.65,,-177217940.56,190878046.23,13660105.67,985010212.37,1267574334.63,,1267574334.63,624986228.19,642588106.44,642588106.44,,2252584547.0,8023160301.64,10275744848.64,10275744848.64
2021-12-31,686759.063,0.215,678439300.42,3194228.2,3194228.2,302337113.48,107162918.76,4189275194.13,681633528.62,574470609.86,-178526718.99,189307998.31,10781279.32,299829644.343,302337113.48,5018829953.02,174381416.09,1454198768.0,1454198768.0,0.21,0.21,302337113.48,302337113.48,302337113.48,-24020.88,302361134.36,302361134.36,82801477.19,385162611.55,12548608.64,14099517.23,3194228.2,3194228.2,-4745136.79,,-178526718.99,189307998.31,10781279.32,551140721.9,829554758.89,71298774.62,829554758.89,266663046.87,562891712.02,562891712.02,10786043.11,1380695480.79,4189275194.13,5569970674.92,5569970674.92
2020-12-31,1711707.884625,0.2325,1118463734.02,7362184.45,7362184.45,716345353.79,93126414.64,5158154048.9,1125825918.47,1032699503.83,-88702646.31,97542295.56,8839649.25,710694877.224625,716345353.79,6417231269.86,130615478.53,1454198768.0,1454198768.0,0.49,0.49,716345353.79,716345353.79,716345353.79,-1410348.4,717755702.19,717755702.19,217401506.08,935157208.27,78260730.23,78705749.73,7362184.45,7362184.45,-7807203.95,,-88702646.31,97542295.56,8839649.25,945599124.35,1259077220.96,65803341.93,1193273879.03,371986382.53,821287496.5,815041496.5,6246000.0,2204676345.31,5158154048.9,7362830394.21,7362830394.21
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000.0,,,,,,78261614.47,,,,,13090564.68,,,,
