,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Special Income Charges,Gain On Sale Of Ppe,Write Off,Operating Income,Operating Expense,Other Operating Expenses,Other Taxes,Provision For Doubtful Accounts,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-4529800.0,0.2,-2763109067.0,-22649000.0,-22649000.0,-2275276215.0,26181151.0,845328654.0,-2785758067.0,-2811939218.0,-2257157015.0,-2275276215.0,4901319391.0,1528950736.0,3282528735.0,3282528735.0,-0.697328,-0.697328,-2275276215.0,-2275276215.0,-2275276215.0,-2275276215.0,-2275276215.0,-559312373.0,-2834588588.0,-22649000.0,-22649000.0,,22649000.0,-2811939218.0,4055990586.0,-80108933.0,42744000.0,3770817519.0,26181000.0,26181000.0,26181000.0,296357000.0,296357000.0,296357000.0,,1244051368.0,845328805.0,2089380173.0,2089380173.0
2022-12-31,-1053830.0,0.17,834551140.0,-6199000.0,-6199000.0,667241940.0,20424218.0,894581891.0,828352140.0,807927922.0,672387110.0,667241940.0,1591149538.0,1797154673.0,2518021770.0,2518021770.0,0.268969,0.268969,667241940.0,667241940.0,667241940.0,667241940.0,667241940.0,134486528.0,801728468.0,-6199000.0,-6199000.0,,6199000.0,807927922.0,696567429.0,-39679667.0,32193000.0,395211096.0,20424000.0,20424000.0,20424000.0,288419000.0,288419000.0,288419000.0,,1504495351.0,894582109.0,2399077460.0,2399077460.0
2021-12-31,0.0,0.18,744174371.0,-2100000.0,-2100000.0,593033579.0,18660385.0,579947288.0,744174371.0,725513986.0,593033579.0,593033579.0,1010420238.0,1290182243.0,3282528735.0,3282528735.0,0.180664,0.180664,593033579.0,593033579.0,593033579.0,593033579.0,593033579.0,132480501.0,725514080.0,-2100000.0,-2100000.0,-2100000.0,,725513986.0,430472565.0,-45882925.0,18743000.0,211373490.0,18660000.0,18660000.0,18660000.0,227579000.0,227579000.0,227579000.0,46978000.0,1155986551.0,579947673.0,1735934224.0,1735934224.0
2020-12-31,-2638080.0,0.18,547311672.0,-14656000.0,-14656000.0,416584469.0,10455856.0,342850467.0,532655672.0,522199816.0,428602389.0,416584469.0,775566099.0,893216062.0,3282528735.0,3282528735.0,0.12691,0.12691,416584469.0,416584469.0,416584469.0,416584469.0,416584469.0,90959833.0,507544302.0,-14656000.0,-14656000.0,-14656000.0,,522199816.0,432599776.0,-65195661.0,8964000.0,191038437.0,10340000.0,10340000.0,10340000.0,287453000.0,287453000.0,217870000.0,69583000.0,954799592.0,342966323.0,1297765915.0,1297765915.0
