,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Impairment Of Capital Assets,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Selling General And Administration,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.0,-27879583.0,-297613261.0,-297613261.0,-363523744.0,14844271.0,-325492844.0,-325492844.0,-38030900.0,38030900.0,-65910483.0,-363523744.0,14844271.0,97500000.0,97500000.0,-3.728449,-3.728449,-363523744.0,-363523744.0,-363523744.0,-363523744.0,-363523744.0,0.0,-363523744.0,-321089616.0,-23476355.0,0.0,0.0,-297613261.0,-38030900.0,38030900.0,-4403228.0,,,,,-4403228.0,14844271.0,10441043.0,10441043.0
2022-12-31,-95055837.2,0.2,74168995.0,-475279186.0,-475279186.0,-434278108.0,14999928.0,-401110191.0,-401110191.0,-21259475.0,21259475.0,-54054759.2,-434278108.0,14999928.0,97500000.0,97500000.0,-4.454134,-4.454134,-434278108.0,-434278108.0,-434278108.0,-434278108.0,-434278108.0,11908442.0,-422369666.0,-476892265.0,-1613079.0,-47554732.0,47554732.0,-427724454.0,-21259475.0,21259475.0,75782074.0,,,,,75782074.0,14999928.0,90782002.0,90782002.0
2021-12-31,7459984.105526,0.088477,77556651.0,84315287.0,84315287.0,127745386.0,13452836.0,161871938.0,161871938.0,-21726906.0,21726906.0,50890083.105526,127745386.0,13452836.0,97500000.0,97500000.0,1.310209,1.310209,127745386.0,127745386.0,127745386.0,127745386.0,127745386.0,12399646.0,140145032.0,82959889.0,-1355398.0,0.0,0.0,84315287.0,-21726906.0,21726906.0,78912049.0,2583083.0,2583083.0,2583083.0,2583083.0,78912049.0,13452836.0,92364885.0,92364885.0
2020-12-31,-8574479.0,0.2,70252091.0,-42872395.0,-42872395.0,-3760247.0,12727291.0,27379696.0,27379696.0,-19751359.0,19751359.0,30537669.0,-3760247.0,12727291.0,97500000.0,97500000.0,-0.038567,-0.038567,-3760247.0,-3760247.0,-3760247.0,-3760247.0,-3760247.0,11388584.0,7628337.0,-44180104.0,-1307709.0,,,-42872395.0,-19751359.0,19751359.0,71559800.0,2568000.0,2568000.0,2568000.0,2568000.0,71559800.0,12727291.0,84287091.0,84287091.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2568000.0,2568000.0,2568000.0,2568000.0,,,,
