,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Write Off,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,1329869.445806,0.168476,1296955280.0,7893545.0,7893545.0,485234147.0,656180839.0,2728593660.0,1304848825.0,648667986.0,-62733773.0,62733773.0,,478670471.445806,485234147.0,5679671341.0,,,514674000.0,513999000.0,0.94,0.94,485234147.0,485234147.0,485234147.0,-1984469.0,487218616.0,487218616.0,98715597.0,585934213.0,104205706.0,66263223.0,,,,30048938.0,7893545.0,-62733773.0,62733773.0,,544462280.0,2951077681.0,,2951077681.0,2516112688.0,434964993.0,434964993.0,3495539961.0,2728593660.0,6224133621.0,6224133621.0
2022-12-31,-1528560.395773,0.172698,1270643179.0,-8851049.0,-8851049.0,460357387.0,634454941.0,2526458842.0,1261792130.0,627337189.0,-66770579.0,66770579.0,,467679875.604227,460357387.0,5185624549.0,,,513947000.0,511960000.0,0.9,0.9,460357387.0,460357387.0,460357387.0,-3400368.0,463757755.0,463757755.0,96808855.0,560566610.0,101455988.0,86723516.0,,,,23583521.0,-8851049.0,-66770579.0,66770579.0,,525881201.0,2659165707.0,,2659165707.0,2241368944.0,417796763.0,417796763.0,3185046908.0,2526458842.0,5711505750.0,5711505750.0
2021-12-31,2081569.288064,0.146548,1159764381.0,14203995.0,14203995.0,340019932.0,706877865.0,2163372179.0,1173968376.0,467090511.0,-67223899.0,67223899.0,,327897506.288064,340019932.0,4462760114.0,,,492499000.0,490524000.0,0.69,0.69,340019932.0,340019932.0,340019932.0,-1246965.0,341266897.0,341266897.0,58599715.0,399866612.0,112726951.0,96250323.0,,,,2272633.0,14203995.0,-67223899.0,67223899.0,,354363560.0,2299387935.0,,2299387935.0,1855264406.0,444123529.0,444123529.0,2653751495.0,2163372179.0,4817123674.0,4817123674.0
2020-12-31,413111.283323,0.166233,986747579.0,2485141.0,2485141.0,183024792.0,698292155.0,2458954476.0,989232720.0,290940565.0,-72955852.0,72955852.0,1036738.0,180952762.283323,183024792.0,4951205142.0,341802000.0,289903827.0,490408000.0,490408000.0,0.37,0.37,183024792.0,183024792.0,183024792.0,1276230.0,181748562.0,181748562.0,36236151.0,217984713.0,43493536.0,86946932.0,0.0,,0.0,-45938537.0,2485141.0,-72955852.0,72955852.0,1036738.0,247447029.0,2492250666.0,-38784370.0,2492250666.0,1992380711.0,499869955.0,499869955.0,2739697695.0,2458954476.0,5198652171.0,5198652171.0
2019-12-31,,,,,,,,,,,,,2566959.0,,,,445157000.0,346192259.0,,,,,,,,,,,,,,,0.0,1404000.0,0.0,,,,,2566959.0,,,-13375178.0,,,,,,,,
