,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Pretax Income,Other Income Expense,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-30975772.2,0.2,742635753.0,-154878861.0,-154878861.0,406217046.0,117663172.0,587756892.0,587756892.0,-181539846.0,181539846.0,530120134.8,406217046.0,129295092.0,949616116.0,949616116.0,0.42777,0.42777,406217046.0,406217046.0,406217046.0,406217046.0,406217046.0,406217046.0,-154878861.0,-154878861.0,-181539846.0,181539846.0,742635753.0,11631920.0,10697288.0,934632.0,934632.0,934632.0,754267673.0,117663172.0,871930845.0,871930845.0
2022-12-31,13611859.0,0.2,622564225.0,68059295.0,68059295.0,583386755.0,103467190.0,690623520.0,690623520.0,-107236765.0,107236765.0,528939319.0,583386755.0,124672042.0,949616116.0,949616116.0,0.61434,0.61434,583386755.0,583386755.0,583386755.0,583386755.0,583386755.0,583386755.0,68059295.0,68059295.0,-107236765.0,107236765.0,622564225.0,21204852.0,20260334.0,944518.0,944518.0,944518.0,643769077.0,103467190.0,747236267.0,747236267.0
2021-12-31,65431825.2,0.2,682163117.0,327159126.0,327159126.0,892581149.0,77304522.0,1009322243.0,1009322243.0,-116741094.0,116741094.0,630853848.2,892581149.0,82138784.0,844026457.0,844026457.0,1.057527,1.057527,892581149.0,892581149.0,892581149.0,892581149.0,892581149.0,892581149.0,327159126.0,327159126.0,-116741094.0,116741094.0,682163117.0,4834262.0,3708834.0,1125428.0,1125428.0,1125428.0,686997379.0,77304522.0,764301901.0,764301901.0
2020-12-31,28350011.4,0.2,585032027.0,141750057.0,141750057.0,609074908.0,69033755.0,726782084.0,726782084.0,-117707176.0,117707176.0,495674862.4,609074908.0,101462454.0,844026457.0,844026457.0,0.72163,0.72163,609074908.0,609074908.0,609074908.0,609074908.0,609074908.0,609074908.0,141750057.0,141750057.0,-117707176.0,117707176.0,585032027.0,32428699.0,29896240.0,2532459.0,2532459.0,2532459.0,617460726.0,69033755.0,686494481.0,686494481.0
