,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Business,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,1066642.53675,0.229204,213128545.0,4653687.0,4653687.0,129600402.0,40121142.0,1180654973.0,217782232.0,177661090.0,15124077.0,9951700.0,25075777.0,126013357.53675,129600402.0,1532196980.0,153118900.0,817047000.0,817047000.0,0.16,0.16,129600402.0,129600402.0,129600402.0,330634.0,129269768.0,129269768.0,38439622.0,167709390.0,11112159.0,6992059.0,1033687.0,1033687.0,-533587.0,3620000.0,15124077.0,9951700.0,25075777.0,141473154.0,351542007.0,-6992059.0,351542007.0,351542007.0,351542007.0,493015161.0,1180654973.0,1673670134.0,1673670134.0
2022-12-31,0.0,0.195339,174384790.0,0.0,0.0,103085431.0,38423678.0,1201952255.0,174384790.0,135961112.0,6772466.0,7879084.0,14651550.0,103085431.0,103085431.0,1518074757.0,121418905.0,815902000.0,815902000.0,0.13,0.13,103085431.0,103085431.0,103085431.0,22761.0,103062670.0,103062670.0,25019358.0,128082028.0,15716838.0,15826181.0,0.0,0.0,-109343.0,,6772466.0,7879084.0,14651550.0,105592724.0,316122502.0,-15826181.0,316122502.0,316122502.0,316122502.0,421715226.0,1201952255.0,1623667481.0,1623667481.0
2021-12-31,0.0,0.209771,188948421.0,,,111542819.0,43634507.0,1318258397.0,188948421.0,145313914.0,3105666.0,3766581.0,6872247.0,111542819.0,111542819.0,1640847207.0,139771470.0,816000000.0,816000000.0,0.133333,0.133333,111542819.0,111542819.0,111542819.0,-311959.0,111854778.0,111854778.0,29692555.0,141547333.0,19982340.0,21312143.0,,,-1329803.0,,3105666.0,3766581.0,6872247.0,118459327.0,322588810.0,-21312143.0,322588810.0,322588810.0,322588810.0,441048137.0,1318258397.0,1759306534.0,1759306534.0
2020-12-31,0.0,0.195283,197761376.0,,,119372250.0,46566110.0,1249760318.0,197761376.0,151195266.0,5519135.0,2878074.0,8397209.0,119372250.0,119372250.0,1570298653.0,142623382.0,816000000.0,816000000.0,0.15,0.15,119372250.0,119372250.0,119372250.0,18931.0,119353319.0,119353319.0,28963873.0,148317192.0,8146520.0,7971845.0,,,174675.0,,5519135.0,2878074.0,8397209.0,134651537.0,320538335.0,-7971845.0,320538335.0,320538335.0,320538335.0,455189872.0,1249760318.0,1704950190.0,1704950190.0
