,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Provision For Doubtful Accounts,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,4597784.421311,0.138655,54347563.0,33160000.0,33160000.0,-192327622.0,105196085.0,984205363.0,87507563.0,-17688522.0,-205921475.0,207193475.0,1272000.0,-220889837.578689,-192327622.0,1342849279.0,1067006195.0,1067006195.0,-0.179942,-0.179942,-192327622.0,-192327622.0,-192327622.0,1373466.0,-193701088.0,-193701088.0,-31180909.0,-224881997.0,61468000.0,28308000.0,67000.0,-67000.0,33093000.0,-205921475.0,207193475.0,1272000.0,-80428232.0,358643916.0,,,358643916.0,156170714.0,202473202.0,202473202.0,278215684.0,984205363.0,1262421047.0,1262421047.0
2022-12-31,349195.010326,0.207237,98052482.0,1685000.0,1685000.0,-79172031.0,49411834.0,878252720.0,99737482.0,50325648.0,-150579276.0,151090276.0,511000.0,-80507835.989674,-79172031.0,1207958370.0,1067006195.0,1067006195.0,-0.073976,-0.073976,-79172031.0,-79172031.0,-79172031.0,710398.0,-79882429.0,-79882429.0,-20882199.0,-100764628.0,7911000.0,6226000.0,1685000.0,-1685000.0,,-150579276.0,151090276.0,511000.0,41903243.0,329705650.0,,0.0,329705650.0,155852148.0,173853502.0,173853502.0,371608893.0,878252720.0,1249861613.0,1249861613.0
2021-12-31,12400.0,0.2,170343614.0,62000.0,62000.0,44213878.0,35868000.0,765898616.0,170405614.0,134537614.0,-90113613.0,90365613.0,252000.0,44164278.0,44213878.0,1060100996.0,1102221762.0,1102221762.0,0.040113,0.040127,44213878.0,44213878.0,44213878.0,0.0,44213878.0,44213878.0,-41877.0,44172001.0,8604390.0,8542390.0,62000.0,-62000.0,,-90113613.0,90365613.0,252000.0,125680758.0,294202380.0,,-5204818.0,299407198.0,125596403.0,173810795.0,173810795.0,419883138.0,765898616.0,1185781754.0,1185781754.0
2020-12-31,697057.52364,0.314557,138609341.0,2216000.0,2216000.0,59568753.0,30073275.0,753358769.0,140825341.0,110752066.0,-23423631.0,23846631.0,423000.0,58049810.52364,59568753.0,1088742214.0,1102221762.0,1102221762.0,0.054124,0.054124,59568753.0,59568753.0,59568753.0,0.0,59568753.0,59568753.0,27336682.0,86905435.0,6063530.0,3847530.0,2216000.0,-2216000.0,,-23423631.0,23846631.0,423000.0,104265516.0,335383445.0,,6587058.0,328796387.0,170972942.0,157823445.0,157823445.0,439648961.0,753358769.0,1193007730.0,1193007730.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22021522.0,0.0,,,,,,,,
