,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Earnings From Equity Interest,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.2045,548122804.0,333477185.0,119881681.0,3910070766.0,548122804.0,428241123.0,-10640196.0,10640196.0,333477185.0,333477185.0,4355702471.0,437107471.0,300000000.0,300000000.0,1.11,1.11,333477185.0,333477185.0,333477185.0,1259119.0,332218066.0,332218066.0,85382861.0,417600927.0,-8866348.0,-8866348.0,-10640196.0,10640196.0,437107471.0,445631705.0,-16515486.0,462147191.0,334811966.0,127335225.0,127335225.0,882739176.0,3910070766.0,4792809942.0,4792809942.0
2022-12-31,0.0,0.1992,484123255.0,297597284.0,102203090.0,3259347644.0,484123255.0,381920165.0,-10281445.0,10281445.0,297597284.0,297597284.0,3619552467.0,381920165.0,300000000.0,300000000.0,0.99,0.99,297597284.0,297597284.0,297597284.0,,297597284.0,297597284.0,74041436.0,371638720.0,,,-10281445.0,10281445.0,381920165.0,360204823.0,-8298692.0,368503515.0,267125341.0,101378174.0,101378174.0,742124988.0,3259347644.0,4001472632.0,4001472632.0
2021-12-31,0.0,0.1776,345835426.0,191111486.0,96648201.0,2496658959.0,345835426.0,249187225.0,-16796033.0,16796033.0,191111486.0,191111486.0,2789105957.0,249187225.0,272671233.0,272671233.0,0.7,0.7,191111486.0,191111486.0,191111486.0,,191111486.0,191111486.0,41279706.0,232391192.0,,,-16796033.0,16796033.0,249187225.0,292446998.0,-4590697.0,297037695.0,203792770.0,93244925.0,93244925.0,541634223.0,2496658959.0,3038293182.0,3038293182.0
2020-12-31,0.0,0.2065,320325698.0,151414019.0,105239076.0,2448257223.0,320325698.0,215086622.0,-24258187.0,24258187.0,151414019.0,151414019.0,2708129107.0,215086622.0,300000000.0,300000000.0,0.504713,0.504713,151414019.0,151414019.0,151414019.0,,151414019.0,151414019.0,39414416.0,190828435.0,,,-24258187.0,24258187.0,215086622.0,259871884.0,-4361028.0,264232912.0,175350212.0,88882700.0,88882700.0,474958506.0,2448257223.0,2923215729.0,2923215729.0
