,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Other Special Charges,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,1939269.020412,0.190535,300554023.0,10178000.0,10178000.0,93918611.0,189362611.0,4519157730.0,310732023.0,121369412.0,-720627.0,5343822.0,4623195.0,85679880.020412,93918611.0,4797631507.0,11635549.0,116746217.0,700000000.0,700000000.0,0.13,0.13,93918611.0,93918611.0,93918611.0,93918611.0,93918611.0,22106979.0,116025590.0,21725000.0,11547000.0,10178000.0,10178000.0,,,,-720627.0,5343822.0,4623195.0,95020931.0,278473777.0,-20327000.0,298800777.0,298800777.0,298800777.0,373494708.0,4519157730.0,4892652438.0,4892652438.0
2022-12-31,2387262.9491,0.237657,344781293.0,10045000.0,10045000.0,64483583.0,265904749.0,5691439075.0,354826293.0,88921544.0,-2398463.0,4335512.0,1937049.0,56825845.9491,64483583.0,5996209162.0,10055657.0,86984495.0,685753000.0,685753000.0,0.09,0.09,64483583.0,64483583.0,64483583.0,64483583.0,64483583.0,20102449.0,84586032.0,19281000.0,9236000.0,10045000.0,10045000.0,,,,-2398463.0,4335512.0,1937049.0,67703098.0,304770087.0,-11541000.0,316311087.0,316311087.0,316311087.0,372473185.0,5691439075.0,6063912260.0,6063912260.0
2021-12-31,1230741.743298,0.165467,493754659.0,7438000.0,7438000.0,192666141.0,263963076.0,4540589386.0,501192659.0,237229583.0,-5066830.0,6362637.0,1295807.0,186458882.743298,192666141.0,4817393682.0,10593042.0,235933776.0,700000000.0,700000000.0,0.275237,0.275237,192666141.0,192666141.0,192666141.0,192666141.0,192666141.0,38200805.0,230866946.0,7438000.0,,7438000.0,7438000.0,,,,-5066830.0,6362637.0,1295807.0,228495991.0,276804296.0,-9510000.0,286314296.0,286314296.0,286314296.0,505300287.0,4540589386.0,5045889673.0,5045889673.0
2020-12-31,2072667.399728,0.183682,327326000.0,11284000.0,11284000.0,86891480.0,223185401.0,3723242481.0,338610000.0,115424599.0,-7181293.0,8981427.0,1800134.0,77680147.399728,86891480.0,4015957777.0,9270344.0,113624465.0,700000000.0,700000000.0,0.124131,0.124131,86891480.0,86891480.0,86891480.0,86891480.0,86891480.0,19551692.0,106443172.0,34872000.0,4462000.0,11106000.0,11106000.0,,19126000.0,178000.0,-7181293.0,8981427.0,1800134.0,78752061.0,292715296.0,,292715296.0,292715296.0,292715296.0,371467357.0,3723242481.0,4094709838.0,4094709838.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10849000.0,,,-24271000.0,,3265000.0,,,,,,,,,,,,,
