,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Gain On Sale Of Business,Other Special Charges,Write Off,Impairment Of Capital Assets,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-13405260.305502,0.317985,354342059.0,-42156941.0,-42156941.0,27795100.0,186105486.0,9275044820.0,312185118.0,126079632.0,-45327049.0,50390448.0,5063399.0,56546780.694498,27795100.0,10082667196.0,28991486.0,120431933.0,1304664125.0,1304664125.0,0.0213,0.0213,27795100.0,27795100.0,27795100.0,-23826085.0,51621185.0,,51621185.0,24067999.0,75689184.0,-41572641.0,,-49868976.0,,,,0.0,49868976.0,584300.0,7712035.0,-45327049.0,50390448.0,5063399.0,162588874.0,807622376.0,-27377309.0,834999685.0,319354042.0,515645643.0,515645643.0,970211250.0,9275044820.0,10245256070.0,10245256070.0
2022-12-31,-1030708.47572,0.13886,237390212.0,-7422621.0,-7422621.0,63992515.0,121103973.0,7402432466.0,229967591.0,108863618.0,-30320941.0,34552184.0,4231243.0,70384427.52428,63992515.0,7781406445.0,2534186.0,48998951.0,1304664125.0,1304664125.0,0.049,0.049,63992515.0,63992515.0,63992515.0,0.0,63992515.0,0.0,63992515.0,10318919.0,74311434.0,48210803.0,30837000.0,-7422621.0,,,,0.0,7422621.0,55633424.0,,-30320941.0,34552184.0,4231243.0,56421572.0,378973979.0,-15570853.0,394544832.0,109364204.0,285180628.0,285180628.0,435395551.0,7402432466.0,7837828017.0,7837828017.0
2021-12-31,169791544.211244,0.187825,134474186.0,903985712.0,903985712.0,719427321.0,119535880.0,5149022798.0,1038459898.0,918924018.0,-23554511.0,33120170.0,9565659.0,-14766846.788756,724290305.0,5512372338.0,,898579237.0,1304664125.0,1304664125.0,0.5551,0.5551,724290305.0,724290305.0,724290305.0,0.0,724290305.0,4862984.0,719427321.0,166376527.0,885803848.0,941639493.0,17309000.0,903985712.0,,,-899874040.0,0.0,-4111672.0,20344781.0,,-23554511.0,33120170.0,9565659.0,-32281204.0,363349540.0,,363349540.0,93909978.0,269439562.0,269439562.0,331068336.0,5149022798.0,5480091134.0,5480091134.0
2020-12-31,0.0,0.034654,227571817.0,0.0,0.0,52458228.0,146527576.0,3812770088.0,227571817.0,81044241.0,50689629.0,33149627.0,83839256.0,52458228.0,44333029.0,4202333679.0,,62117778.0,1304664125.0,1304664125.0,0.034,0.034,44333029.0,44333029.0,44333029.0,6223337.0,38109692.0,-8125199.0,46234891.0,1659723.0,47894614.0,44317463.0,25391000.0,0.0,,,,,0.0,18926463.0,,50689629.0,33149627.0,83839256.0,-47111984.0,389563591.0,,389563591.0,90415870.0,299147721.0,299147721.0,342451607.0,3812770088.0,4155221695.0,4155221695.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4712316.0,,,,,30486000.0,,1521000.0,367856000.0,,0.0,,,,,,,,,,,,,,,,,
