,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Write Off,Impairment Of Capital Assets,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Other Taxes,Provision For Doubtful Accounts,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,21473328.933782,0.182283,-107267379.0,117802248.0,117802248.0,-367018048.0,343542519.0,7485209936.0,10534869.0,-333007650.0,-169764697.0,158968070.0,29586.0,-463346967.066218,-367018048.0,8067488720.0,-322846092.0,465179824.0,465179824.0,-0.785073,-0.785073,-367018048.0,-367018048.0,-367018048.0,35278938.0,-402296986.0,-402296986.0,-89678734.0,-491975720.0,117802248.0,,0.0,0.0,,,117802248.0,-169764697.0,10826213.0,158968070.0,29586.0,-440013271.0,582278784.0,-75490756.0,,-635069.0,658404609.0,285395691.0,373008918.0,366678918.0,6330000.0,142265513.0,7485209936.0,7627475449.0,7627475449.0
2022-12-31,0.0,0.0,354190197.0,50717741.0,50717741.0,29609128.0,307442942.0,8380131779.0,404907938.0,97464996.0,-85894975.0,73741177.0,427.0,-21108613.0,29609128.0,9002757105.0,110290257.0,465179824.0,465179824.0,0.066211,0.066211,29609128.0,29609128.0,29609128.0,5885309.0,23723819.0,23723819.0,0.0,23723819.0,50717741.0,,-512708.0,-512708.0,671463.0,,51230449.0,-85894975.0,12154225.0,73741177.0,427.0,58901053.0,622625326.0,-70325630.0,,671463.0,692279493.0,379566180.0,312713313.0,306493313.0,6220000.0,681526379.0,8380131779.0,9061658158.0,9061658158.0
2021-12-31,-35525051.6,0.2,972938389.0,-177625258.0,-177625258.0,428621847.0,310306956.0,8165194859.0,795313131.0,485006175.0,-78953804.0,67541795.0,461.0,570722053.4,428621847.0,8660689560.0,499014934.0,465179824.0,465179824.0,0.917495,0.917495,428621847.0,428621847.0,428621847.0,11157467.0,417464380.0,417464380.0,,417464380.0,-177625258.0,,-2596940.0,-190.0,2596750.0,,-175028318.0,-78953804.0,11412470.0,67541795.0,461.0,674043442.0,495494701.0,-109728367.0,,,605223068.0,337184672.0,268038396.0,262328396.0,5710000.0,1169538143.0,8165194859.0,9334733002.0,9334733002.0
2020-12-31,9482832.8,0.2,870102965.0,47414164.0,47414164.0,532252423.0,305364823.0,6288862005.0,917517129.0,612152306.0,-79899883.0,79899883.0,,494321091.8,532252423.0,6705056295.0,612152306.0,423586685.0,423586685.0,1.258008,1.258008,532252423.0,532252423.0,532252423.0,,532252423.0,532252423.0,,532252423.0,47414164.0,,9626481.0,9626481.0,,,37787683.0,-79899883.0,,79899883.0,,564738142.0,416194290.0,-60740687.0,,,476934977.0,219929772.0,257005205.0,252245205.0,4760000.0,980932432.0,6288862005.0,7269794437.0,7269794437.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64513918.0,,,,0.0,,,,,,,,,-13936713.0,,,,,,,,,,
