,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.2,61254611.0,-16541583.0,74904651.0,448738236.0,61254611.0,-13650040.0,-1228240.0,1228240.0,-16541583.0,-16541583.0,542567890.0,,1200000000.0,1200000000.0,-0.014,-0.014,-16541583.0,-16541583.0,-16541583.0,-16541583.0,-16541583.0,1663303.0,-14878280.0,5103382.0,5103382.0,-1228240.0,1228240.0,-18753422.0,93829654.0,,93829654.0,21540598.0,72289056.0,72289056.0,75076232.0,448738236.0,523814468.0,523814468.0
2022-12-31,0.0,0.016532,41721844.0,-42552989.0,82816981.0,465880493.0,41721844.0,-41095137.0,-2173181.0,2173181.0,-42552989.0,-42552989.0,562807144.0,,1200000000.0,1200000000.0,-0.035,-0.035,-42552989.0,-42552989.0,-42552989.0,-42552989.0,-42552989.0,-715329.0,-43268318.0,4084182.0,4084182.0,-2173181.0,2173181.0,-45179319.0,96926651.0,,96926651.0,24013205.0,72913446.0,72913446.0,51747332.0,465880493.0,517627825.0,517627825.0
2021-12-31,0.0,0.2,46983793.0,-37840519.0,70885751.0,379844905.0,46983793.0,-23901958.0,-3100922.0,3100922.0,-37840519.0,-37840519.0,474197099.0,,1200000000.0,1200000000.0,-0.032,-0.032,-37840519.0,-37840519.0,-37840519.0,-37840519.0,-37840519.0,10837639.0,-27002880.0,4523966.0,4523966.0,-3100922.0,3100922.0,-28425924.0,94352194.0,,94352194.0,21835474.0,72516720.0,72516720.0,65926270.0,379844905.0,445771175.0,445771175.0
2020-12-31,0.0,0.2,53256089.0,-21756177.0,69226923.0,343946866.0,53256089.0,-15970834.0,-3966252.0,3966252.0,-21756177.0,-21756177.0,437856152.0,0.0,1200000000.0,1200000000.0,-0.018,-0.018,-21756177.0,-21756177.0,-21756177.0,-21756177.0,-21756177.0,1819091.0,-19937086.0,10694256.0,10694256.0,-3966252.0,3966252.0,-26665090.0,93909286.0,,93909286.0,23169564.0,70739722.0,70739722.0,67244196.0,343946866.0,411191062.0,411191062.0
2019-12-31,,,,,,,,,,,,,,21748000.0,,,,,,,,,,,,,,,,,,-11104856.0,,,,,,,,
