,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Write Off,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-84206.1,0.22,138672514.0,-382755.0,-382755.0,48485146.0,26759438.0,366052668.0,138289759.0,111530321.0,67923513.0,28209786.0,96133299.0,48783694.9,48485146.0,454253106.0,15779777.0,1089076000.0,1089076000.0,0.045,0.045,48485146.0,48485146.0,48485146.0,-16313102.0,64798248.0,,64798248.0,18522287.0,83320535.0,1747975.0,2130730.0,-382755.0,382755.0,,67923513.0,28209786.0,96133299.0,13647865.0,87808000.0,61441000.0,26367000.0,26367000.0,101455865.0,366445106.0,467900971.0,453021971.0
2022-12-31,161728.16,0.22,145924352.0,735128.0,735128.0,70512829.0,24751381.0,452550848.0,146659480.0,121908099.0,48659221.0,16158572.0,64817793.0,69939429.16,70512829.0,542328229.0,56355178.0,1089076000.0,1089076000.0,0.065,0.065,70512829.0,70512829.0,70512829.0,-11740690.0,82253519.0,0.0,82253519.0,23496008.0,105749527.0,5676209.0,4941081.0,735128.0,-735128.0,9371000.0,48659221.0,16158572.0,64817793.0,51414195.0,89368000.0,65026000.0,24342000.0,24342000.0,140782195.0,452960229.0,593742424.0,568414424.0
2021-12-31,-503967.4,0.2,255685461.0,-2519837.0,-2519837.0,151765826.0,26132983.0,607211819.0,253165624.0,227032641.0,37841205.0,20386583.0,58227788.0,153781695.6,137827413.0,697257802.0,171324690.0,1089076000.0,1089076000.0,0.127,0.127,137827413.0,137827413.0,137827413.0,-13144154.0,150971567.0,-13938413.0,164909980.0,41736078.0,206646058.0,2924799.0,5444636.0,-2519837.0,2519837.0,-15083000.0,37841205.0,20386583.0,58227788.0,165879660.0,85862000.0,63913000.0,21949000.0,21949000.0,251741660.0,611395802.0,863137462.0,840154462.0
2020-12-31,-58798.56,0.24,102772915.0,-244994.0,-244994.0,41178721.0,30125790.0,414172867.0,102527921.0,72402131.0,38571797.0,21204115.0,59775912.0,41364916.44,43205627.0,508759657.0,12871213.0,1089076000.0,1089076000.0,0.04,0.04,43205627.0,43205627.0,43205627.0,2462715.0,40742912.0,2026906.0,38716006.0,12482010.0,51198016.0,135664.0,380658.0,-244994.0,244994.0,40422000.0,38571797.0,21204115.0,59775912.0,12490403.0,89891000.0,64461000.0,25430000.0,25430000.0,102381403.0,418868657.0,521250060.0,513358060.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26171000.0,,,,,,,,,,,,
