,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Write Off,Gain On Sale Of Security,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Rent And Landing Fees,Salaries And Wages,Total Revenue,Operating Revenue,Professional Expense And Contract Services Expense,Other Non Interest Expense
2023-12-31,-59609279.428733,0.207425,-287378000.0,-287378000.0,5000803000.0,926468000.0,13477596000.0,2266118000.0,15743714000.0,5228571720.571267,5000803000.0,48569000.0,1510467200.0,1510467200.0,3.309091,3.309091,5000803000.0,5000803000.0,5000803000.0,-253332000.0,5254135000.0,5254135000.0,1375058000.0,6629193000.0,-287378000.0,287378000.0,0.0,869231000.0,869231000.0,6592375000.0,1552657000.0,5039718000.0,2442873000.0,48569000.0,2548276000.0,16648412000.0,16648412000.0,90558000.0,442323000.0
2022-12-31,-5152438.005313,0.185233,-27816000.0,-27816000.0,4476163000.0,816963000.0,7917948000.0,861624000.0,8779572000.0,4498826561.994687,4476163000.0,57533000.0,1510467200.0,1510467200.0,2.963636,2.963636,4476163000.0,4476163000.0,4476163000.0,-350563000.0,4826726000.0,4826726000.0,1097330000.0,5924056000.0,-27816000.0,27816000.0,184442000.0,816061000.0,816061000.0,4214437000.0,543644000.0,3670793000.0,1285177000.0,57533000.0,2328083000.0,11413691000.0,11413691000.0,79599000.0,304585000.0
2021-12-31,-7157549.695748,0.211643,-33819000.0,-33819000.0,4722143000.0,846927000.0,6064644000.0,790684000.0,6855328000.0,4748804450.304252,4722143000.0,38078000.0,1510467200.0,1510467200.0,3.127273,3.127273,4722143000.0,4722143000.0,4722143000.0,-315795000.0,5037938000.0,5037938000.0,1352488000.0,6390426000.0,-33819000.0,33819000.0,0.0,846927000.0,846927000.0,2268449000.0,190434000.0,2078015000.0,561263000.0,38078000.0,1478674000.0,9440150000.0,9440150000.0,47559000.0,279135000.0
2020-12-31,256589.048132,0.199215,1288000.0,1288000.0,4508329000.0,874177000.0,7263479000.0,902612000.0,8166091000.0,4507297589.048132,4508329000.0,5802000.0,1493275300.0,1493275300.0,3.018182,3.018182,4508329000.0,4508329000.0,4508329000.0,-282502000.0,4790831000.0,4790831000.0,1191838000.0,5982669000.0,1288000.0,-1288000.0,0.0,874197000.0,874197000.0,2582255000.0,161472000.0,2420783000.0,546107000.0,5802000.0,1868874000.0,10090416000.0,10090416000.0,26232000.0,305338000.0
