,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Write Off,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Other Taxes,Provision For Doubtful Accounts,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Selling General And Administration,General And Administrative Expense,Other Gand A,Rent And Landing Fees,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.206995,1066744404.0,,,364906941.0,133534046.0,1381600296.0,1066744404.0,933210358.0,-226017000.0,473053000.0,247036000.0,364906941.0,364906941.0,1804637387.0,6395000.0,570167095.0,570167095.0,0.64,0.64,364906941.0,364906941.0,364906941.0,364906941.0,364906941.0,95250417.0,460157358.0,123989701.0,123989701.0,,,,-226017000.0,473053000.0,247036000.0,562184226.0,423037045.0,156930000.0,30260000.0,48099045.0,133534000.0,133534000.0,54214000.0,54214000.0,47819000.0,6395000.0,985221271.0,1381600342.0,2366821613.0,2366821613.0
2022-12-31,0.0,0.199223,1184153757.0,193356000.0,193356000.0,628232886.0,133512689.0,1502179175.0,1184153757.0,1050640757.0,-165067000.0,266112000.0,101045000.0,628232886.0,628232886.0,1876843327.0,9260000.0,571120805.0,571120805.0,1.1,1.1,628232886.0,628232886.0,628232886.0,628232886.0,628232886.0,156295871.0,784528757.0,95336318.0,95336318.0,,,193356000.0,-165067000.0,266112000.0,101045000.0,854260269.0,374664463.0,156263000.0,23684000.0,-1188537.0,133513000.0,133513000.0,62393000.0,62393000.0,53133000.0,9260000.0,1228924732.0,1502178864.0,2731103596.0,2731103596.0
2021-12-31,0.0,0.198921,1334111936.0,105162000.0,105162000.0,760793923.0,131078583.0,1840885046.0,1334111936.0,1203032936.0,-179765000.0,253321000.0,73556000.0,760793923.0,760793923.0,2389488511.0,8226000.0,572025506.0,572025506.0,1.33,1.33,760793923.0,760793923.0,760793923.0,760793923.0,760793923.0,188918013.0,949711936.0,52023101.0,52023101.0,,,105162000.0,-179765000.0,253321000.0,73556000.0,1077453489.0,548603882.0,209274000.0,21373000.0,134319882.0,131079000.0,131079000.0,52558000.0,52558000.0,44332000.0,8226000.0,1626057371.0,1840884629.0,3466942000.0,3466942000.0
2020-12-31,4361963.825182,0.192692,951254156.0,22637000.0,22637000.0,484450906.0,135227925.0,1628725847.0,973891156.0,838663156.0,-117041435.0,238581435.0,121540000.0,466175869.825182,484450906.0,1979148002.0,7767000.0,569942242.0,569942242.0,0.85,0.85,484450906.0,484450906.0,484450906.0,484450906.0,484450906.0,115630815.0,600081721.0,74821197.0,52184197.0,1131770.0,-1131770.0,22637000.0,-117041435.0,238581435.0,121540000.0,642301998.0,350422230.0,147955000.0,16694000.0,-1131770.0,135228000.0,135228000.0,51677000.0,51677000.0,43910000.0,7767000.0,992724228.0,1628725772.0,2621450000.0,2621450000.0
2019-12-31,,,,163628690.0,163628690.0,,,,,,,,,,,,,,,,,,,,,,,,,,817690.0,-817690.0,162811000.0,,,,,,,,,,,,,,,,,,
