,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Special Income Charges,Impairment Of Capital Assets,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,2623798.632409,0.208002,634828160.0,12614277.0,12614277.0,305902130.0,181262295.0,5010223658.0,647442437.0,466180142.0,-79939000.0,79939000.0,295911651.632409,305902130.0,6703389988.0,5759000.0,466179963.0,457521000.0,457521000.0,0.67,0.67,305902130.0,305902130.0,305902130.0,34.0,305902096.0,305902096.0,80339046.0,386241142.0,12614277.0,,,12614277.0,-79939000.0,79939000.0,453565686.0,1693166330.0,-35127070.0,1728293400.0,1136832738.0,591460662.0,591460662.0,2146732016.0,5010223658.0,7156955674.0,7156955674.0
2022-12-31,9797809.607615,0.233922,510014333.0,41884860.0,41884860.0,241059603.0,184696170.0,4390856641.0,551899193.0,367203023.0,-52536000.0,52536000.0,208972552.607615,241059603.0,5831576204.0,6126000.0,367202662.0,545000000.0,545000000.0,0.442311,0.442311,241059603.0,241059603.0,241059603.0,265.0,241059338.0,241059338.0,73607685.0,314667023.0,41884860.0,0.0,0.0,41884860.0,-52536000.0,52536000.0,325317802.0,1440719563.0,-33897639.0,1474617202.0,975605209.0,499011993.0,499011993.0,1766037365.0,4390856641.0,6156894006.0,6156894006.0
2021-12-31,95737.400451,0.216359,605110752.0,442494.0,442494.0,303354090.0,175928233.0,3375000185.0,605553246.0,429625013.0,-42516693.0,42516693.0,303007333.400451,303354090.0,4813561703.0,6221000.0,429625013.0,545000000.0,545000000.0,0.556613,0.556613,303354090.0,303354090.0,303354090.0,,303354090.0,303354090.0,83754230.0,387108320.0,442494.0,-8303478.0,8303478.0,8745972.0,-42516693.0,42516693.0,429182519.0,1438561518.0,-13543431.0,1452104949.0,892273646.0,559831303.0,559831303.0,1867744037.0,3375000185.0,5242744222.0,5242744222.0
2020-12-31,-7220454.405005,0.205036,568397807.0,-35215511.0,-35215511.0,244231583.0,167366550.0,3172901193.0,533182296.0,365815746.0,-58592220.0,58592220.0,272226639.594995,244231583.0,4529435268.0,12764000.0,365815746.0,545000000.0,545000000.0,0.448131,0.448131,244231583.0,244231583.0,244231583.0,,244231583.0,244231583.0,62991943.0,307223526.0,-35215511.0,-41666227.0,41666227.0,6450716.0,-58592220.0,58592220.0,401031257.0,1356534075.0,-13085132.0,1369619207.0,867559132.0,502060075.0,502060075.0,1757565332.0,3172901193.0,4930466525.0,4930466525.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
