,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Other Special Charges,Impairment Of Capital Assets,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Provision For Doubtful Accounts,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-03-31,1147078.518364,0.016891,2357722271.0,67912274.0,67912274.0,1187072004.0,987943576.0,8998886929.0,2425634545.0,1437690969.0,-191590644.0,206168185.0,21544900.0,1120306808.518364,1187072004.0,12387871324.0,2800000000.0,2800000000.0,0.424,0.424,1187072004.0,1187072004.0,1187072004.0,-23649631.0,1210721635.0,1210721635.0,20801149.0,1231522784.0,583882038.0,52588481.0,8271162.0,7618181.0,-785840.0,132859.0,463381283.0,59641112.0,-191590644.0,6967359.0,206168185.0,21544900.0,839231390.0,3388984395.0,-6095046.0,292607331.0,3102472110.0,1494356280.0,1608115830.0,1608115830.0,4228215785.0,8998886929.0,13227102714.0,13227102714.0
2023-03-31,-3899959.268184,0.078196,2268120579.0,-49873966.0,-49873966.0,1075910767.0,916154523.0,8133916090.0,2218246613.0,1302092090.0,-120693667.0,128742699.0,14741878.0,1121884773.731816,1075910767.0,11057659772.0,2800000000.0,2800000000.0,0.384,0.384,1075910767.0,1075910767.0,1075910767.0,-5687051.0,1081597818.0,1081597818.0,91751573.0,1173349391.0,226383119.0,33415071.0,12239440.0,9867337.0,-4167710.0,1795607.0,242842014.0,-62113406.0,-120693667.0,6692846.0,128742699.0,14741878.0,1067659939.0,2923743682.0,-6486600.0,58266479.0,2871963803.0,1482184480.0,1389779323.0,1389779323.0,3991403621.0,8133916090.0,12125319711.0,12125319711.0
2022-03-31,2870525.970755,0.044305,2501860371.0,64790740.0,64790740.0,1596959612.0,833595464.0,8028025359.0,2566651111.0,1733055647.0,-51809503.0,56410765.0,11319921.0,1535039397.970755,1596959612.0,10353994240.0,2800000000.0,2800000000.0,0.57,0.57,1596959612.0,1596959612.0,1596959612.0,-5402237.0,1602361849.0,1602361849.0,74283033.0,1676644882.0,312854185.0,21858125.0,16357586.0,11817917.0,-4755815.0,216146.0,226205320.0,48433154.0,-51809503.0,6718659.0,56410765.0,11319921.0,1415600200.0,2325968881.0,-6085939.0,-7316487.0,2339371307.0,1167892869.0,1171478438.0,1171478438.0,3741569081.0,8028025359.0,11769594440.0,11769594440.0
2021-03-31,4241048.36968,0.028138,1971544154.0,150725817.0,150725817.0,1218890244.0,805553537.0,6594118364.0,2122269971.0,1316716434.0,-49911475.0,60115449.0,13703450.0,1072405475.36968,1218890244.0,8528627227.0,2800000000.0,2800000000.0,0.435,0.435,1218890244.0,1218890244.0,1218890244.0,-2353125.0,1221243369.0,1221243369.0,35357616.0,1256600985.0,253451761.0,10165390.0,129553086.0,15721831.0,-113957320.0,126065.0,92560554.0,21172731.0,-49911475.0,3499476.0,60115449.0,13703450.0,1053060699.0,1934508863.0,-4611942.0,11990298.0,1927130507.0,890513574.0,1036616933.0,1036616933.0,2987569562.0,6594118364.0,9581687926.0,9581687926.0
