,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Other Special Charges,Impairment Of Capital Assets,Restructuring And Mergern Acquisition,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Provision For Doubtful Accounts,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-1941814.31557,0.099852,366773000.0,-19447000.0,-19447000.0,202005000.0,104515000.0,1413522000.0,347326000.0,242811000.0,-18398000.0,18398000.0,,219510185.68443,202005000.0,1703094000.0,300000000.0,300000000.0,0.67,0.67,202005000.0,202005000.0,202005000.0,0.0,202005000.0,202005000.0,22408000.0,224413000.0,-11341000.0,8106000.0,-4576000.0,-5148000.0,-572000.0,0.0,,-14871000.0,-18398000.0,18398000.0,,254152000.0,289572000.0,,-3619000.0,293191000.0,78380000.0,214811000.0,214811000.0,543724000.0,1413522000.0,1957246000.0,1957246000.0
2022-12-31,-516519.104965,0.110438,414352000.0,-4677000.0,-4677000.0,262306000.0,100809000.0,1422730000.0,409675000.0,308866000.0,-13995000.0,13995000.0,,266466480.895035,262306000.0,1677126000.0,300000000.0,300000000.0,0.87,0.87,262306000.0,262306000.0,262306000.0,0.0,262306000.0,262306000.0,32565000.0,294871000.0,1680000.0,6357000.0,224000.0,290000.0,,66000.0,,-4901000.0,-13995000.0,13995000.0,,307186000.0,254396000.0,,13719000.0,240677000.0,60776000.0,179901000.0,179901000.0,561582000.0,1422730000.0,1984312000.0,1984312000.0
2021-12-31,11622531.516486,0.191355,-489555000.0,60738000.0,60738000.0,-464843000.0,133656000.0,1700539000.0,-428817000.0,-562473000.0,-12369000.0,12369000.0,50357.0,-513958468.483514,-464843000.0,2282542000.0,300000000.0,300000000.0,-1.55,-1.55,-464843000.0,-464843000.0,-464843000.0,0.0,-464843000.0,-464843000.0,-109999000.0,-574842000.0,66263000.0,5525000.0,378000.0,1882000.0,,1504000.0,,60360000.0,-12369000.0,12369000.0,50357.0,-628736000.0,582003000.0,-1855300.0,280645000.0,301358000.0,161003000.0,140355000.0,140355000.0,-46733000.0,1700539000.0,1653806000.0,1653806000.0
2020-12-31,-4618978.8,0.2,290240710.0,-23094894.0,-23094894.0,111430681.0,143086423.0,1293231305.0,267145816.0,124059393.0,-16443234.0,16528265.0,85031.0,129906596.2,111430681.0,1611562447.0,300000000.0,300000000.0,0.37,0.37,111430681.0,111430681.0,111430681.0,0.0,111430681.0,111430681.0,-3899553.0,107531128.0,-18575831.0,4519063.0,-2863261.0,-2841625.0,,21636.0,,-20231633.0,-16443234.0,16528265.0,85031.0,142550193.0,318331142.0,-1715240.0,59960561.0,260085821.0,147456063.0,112629758.0,112629758.0,460881335.0,1293231305.0,1754112640.0,1754112640.0
2019-12-31,,,,,,,,,,,,,112802.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,112802.0,,,-2747630.0,,,,,,,,,
