,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Write Off,Impairment Of Capital Assets,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Provision For Doubtful Accounts,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,46955165.095065,0.193216,1001643841.0,243018846.0,243018846.0,729556990.0,296257164.0,32765038433.0,1244662687.0,948405523.0,-17056377.0,19718052.0,2661675.0,533493309.095065,729556990.0,33491884845.0,945743848.0,889703646.0,889703646.0,0.82,0.82,729556990.0,729556990.0,729556990.0,-19693066.0,749250056.0,749250056.0,179437415.0,928687471.0,243018846.0,,-766018.0,,766018.0,243784864.0,-17056377.0,19718052.0,2661675.0,702725002.0,726846412.0,-73375281.0,-17328594.0,817550287.0,556941236.0,260609051.0,260609051.0,1429571414.0,32765038433.0,34194609847.0,34194609847.0
2022-12-31,-7797729.12703,0.197931,2404416141.0,-39396229.0,-39396229.0,1604167611.0,324652040.0,36225818941.0,2365019912.0,2040367872.0,-5111372.0,5811378.0,700006.0,1635766110.87297,1604167611.0,37028294439.0,2039667866.0,891204228.0,891204228.0,1.8,1.8,1604167611.0,1604167611.0,1604167611.0,-27687385.0,1631854996.0,1631854996.0,402701498.0,2034556494.0,-39396229.0,,-167067214.0,-5476560.0,167067214.0,127670985.0,-5111372.0,5811378.0,700006.0,2079064095.0,802475498.0,-86443718.0,-5476560.0,894395776.0,613744473.0,280651303.0,280651303.0,2881539593.0,36225818941.0,39107358534.0,39107358534.0
2021-12-31,47302755.521703,0.198078,2734208961.0,238808725.0,238808725.0,2067610942.0,343562664.0,28365812081.0,2973017686.0,2629455022.0,-3478074.0,4189363.0,711289.0,1876104972.521703,2067610942.0,28917512572.0,2628743733.0,889471000.0,889471000.0,2.32,2.32,2067610942.0,2067610942.0,2067610942.0,-37647336.0,2105258278.0,2105258278.0,520007381.0,2625265659.0,238808725.0,,-9002085.0,9002085.0,0.0,247810810.0,-3478074.0,4189363.0,711289.0,2389935008.0,551700491.0,-244070254.0,,795770745.0,532234311.0,263536434.0,263536434.0,2941635499.0,28365812081.0,31307447580.0,31307447580.0
2020-12-31,4598669.622029,0.193261,2468799927.0,23795110.0,23795110.0,1655800293.0,353709389.0,22117228912.0,2492595037.0,2138885648.0,-987794.0,3422877.0,2435083.0,1636603852.622029,1655800293.0,22849978972.0,2136450565.0,888478206.0,888478206.0,1.863636,1.863636,1655800293.0,1655800293.0,1655800293.0,-66960550.0,1722760843.0,1722760843.0,412701928.0,2135462771.0,23795110.0,,-10162131.0,10162131.0,,33957241.0,-987794.0,3422877.0,2435083.0,2112655455.0,732750060.0,-65729711.0,,798479771.0,549444390.0,249035381.0,249035381.0,2845405515.0,22117228912.0,24962634427.0,24962634427.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131487936.0,,0.0,,,,,,,,,,,,,,,,,
