,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Write Off,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Provision For Doubtful Accounts,Selling General And Administration,Total Revenue,Operating Revenue
2023-12-31,-30245344.028289,0.195113,386660917.0,-155014602.0,-155014602.0,49452572.0,8591712.0,231646315.0,223054603.0,-161479434.0,161479434.0,174221829.971711,49452572.0,1117696346.0,618157150.0,618157150.0,0.08,0.08,49452572.0,49452572.0,49452572.0,-108489.0,49561061.0,49561061.0,12014108.0,61575169.0,-106910923.0,48103679.0,-155012543.0,-150886582.0,4125961.0,,-2059.0,-161479434.0,161479434.0,329965526.0,1117696346.0,809197313.0,308499033.0,1447661872.0,1447661872.0
2022-12-31,-17883844.746631,0.200369,629856596.0,-89254701.0,-89254701.0,351733213.0,9381621.0,540601895.0,531220274.0,-91437139.0,91437139.0,423104069.253369,351733213.0,997459670.0,617075812.0,617075812.0,0.57,0.57,351733213.0,351733213.0,351733213.0,68835.0,351664378.0,351664378.0,88118757.0,439783135.0,-44934751.0,44319950.0,-90062247.0,-85368008.0,4694239.0,,807546.0,-91437139.0,91437139.0,576155025.0,997459670.0,692639391.0,304820279.0,1573614695.0,1573614695.0
2021-12-31,-28238162.219353,0.199473,765109746.0,-141564007.0,-141564007.0,399977870.0,10307097.0,623545739.0,613238642.0,-113563421.0,113563421.0,513303714.780647,399977870.0,1068374677.0,615350569.0,615350569.0,0.65,0.65,399977870.0,399977870.0,399977870.0,-25759.0,400003629.0,400003629.0,99671592.0,499675221.0,-105056214.0,36507793.0,-135961297.0,-143197512.0,-7236215.0,0.0,-5602710.0,-113563421.0,113563421.0,718294856.0,1068374677.0,741192670.0,327182007.0,1786669533.0,1786669533.0
2020-12-31,-47853461.6,0.2,1005930040.0,-239267308.0,-239267308.0,491263834.0,8643678.0,766662732.0,758019054.0,-144144167.0,144144167.0,682677680.4,491263834.0,1030167497.0,614079792.0,614079792.0,0.8,0.8,491263834.0,491263834.0,491263834.0,-38096.0,491301930.0,491301930.0,122572957.0,613874887.0,-211533763.0,27623114.0,-225413084.0,-231048866.0,-5635782.0,110431.0,-13854224.0,-144144167.0,144144167.0,969552817.0,1030167497.0,682611261.0,347556236.0,1999720314.0,1999720314.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110352.0,,,,,,,,,
