,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,4776937.8815,0.1655,1403253213.0,28863673.0,28863673.0,541818232.0,474727575.0,3064210726.0,1432116886.0,957389311.0,-303387857.0,303387857.0,517731496.8815,541818232.0,3585413425.0,672747084.0,672747084.0,0.81,0.81,541818232.0,541818232.0,541818232.0,-3971685.0,545789917.0,545789917.0,108211537.0,654001454.0,423775673.0,5608905.0,389303095.0,28863673.0,-303387857.0,303387857.0,533613638.0,521202699.0,521202699.0,138007907.0,383194792.0,383194792.0,1054816337.0,3064210726.0,4119027063.0,4119027063.0
2022-12-31,16164622.6878,0.1954,791403726.0,82725807.0,82725807.0,213453662.0,398951932.0,2349836814.0,874129533.0,475177601.0,-215359779.0,215359779.0,146892477.6878,213453662.0,2765659736.0,620978904.0,620978904.0,0.34,0.34,213453662.0,213453662.0,213453662.0,4400811.0,209052851.0,209052851.0,50764971.0,259817822.0,446173415.0,4790024.0,358657584.0,82725807.0,-215359779.0,215359779.0,29004186.0,415822922.0,415822922.0,125224534.0,290598388.0,290598388.0,444827108.0,2349836814.0,2794663922.0,2794663922.0
2021-12-31,-7205298.0357,0.1381,709881272.0,-52174497.0,-52174497.0,40610233.0,416950569.0,2397619402.0,657706775.0,240756206.0,-176718749.0,176718749.0,85579431.9643,40610233.0,2751892542.0,630016944.0,630016944.0,0.068472,0.068472,40610233.0,40610233.0,40610233.0,-14585160.0,55195393.0,55195393.0,8842064.0,64037457.0,-8373122.0,6820005.0,36981370.0,-52174497.0,-176718749.0,176718749.0,249129328.0,354273140.0,354273140.0,106615282.0,247657858.0,247657858.0,603402468.0,2397619402.0,3001021870.0,3001021870.0
2020-12-31,0.0,0.109682,382529559.0,-20765443.0,-20765443.0,149778775.0,118088419.0,2967624571.0,382529559.0,264441140.0,-87432597.0,87432597.0,149778775.0,149778775.0,3337395672.0,570607915.0,570607915.0,0.264107,0.264107,149778775.0,149778775.0,149778775.0,-7815060.0,157593835.0,157593835.0,19414708.0,177008543.0,59618218.0,-12815975.0,72434193.0,-20765443.0,-87432597.0,87432597.0,204822922.0,369771101.0,369771101.0,89702689.0,280068412.0,280068412.0,574594023.0,2967624571.0,3542218594.0,3542218594.0
