,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Write Off,Earnings From Equity Interest,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-150785.614245,0.14185,196572599.0,-1062990.0,-1062990.0,-15646990.0,158365077.0,2102495070.0,195509609.0,37144532.0,-75822540.0,75822540.0,-14734785.614245,-15646990.0,2708348827.0,836504741.0,836504741.0,-0.019,-0.019,-15646990.0,-15646990.0,-15646990.0,17544525.0,-33191515.0,-33191515.0,-5486493.0,-38678008.0,19346950.0,22608270.0,-1062990.0,1062990.0,-2198330.0,-75822540.0,75822540.0,17797582.0,605853757.0,605853757.0,342515042.0,263338715.0,234181715.0,29157000.0,623651339.0,2102495070.0,2726146409.0,2726146409.0
2022-12-31,-606022.089802,0.31598,490220104.0,-1917915.0,-1917915.0,119115498.0,168819729.0,2161836673.0,488302189.0,319482460.0,-108363376.0,108363376.0,120427390.910198,119115498.0,2724629313.0,836504741.0,836504741.0,0.142,0.142,119115498.0,119115498.0,119115498.0,-25294254.0,144409752.0,144409752.0,66709332.0,211119084.0,385887374.0,389999590.0,-1917915.0,1917915.0,-2194301.0,-108363376.0,108363376.0,-66404914.0,562792640.0,562792640.0,329219235.0,233573405.0,204416405.0,29157000.0,496387726.0,2161836673.0,2658224399.0,2658224399.0
2021-12-31,0.0,0.010136,229502931.0,,,-74866362.0,201268125.0,1869710084.0,229502931.0,28234806.0,-147900541.0,147900541.0,-74866362.0,-74866362.0,2457678094.0,836504741.0,836504741.0,-0.089,-0.089,-74866362.0,-74866362.0,-74866362.0,43586477.0,-118452839.0,-118452839.0,-1212896.0,-119665735.0,33571288.0,33571288.0,,,0.0,-147900541.0,147900541.0,-5336482.0,587968010.0,587968010.0,301806222.0,286161788.0,252933148.0,33228640.0,582631528.0,1869710084.0,2452341612.0,2452341612.0
2020-12-31,0.0,0.095104,156847115.0,,,-98224408.0,209594976.0,1774527738.0,156847115.0,-52747861.0,-83146427.0,83146427.0,-98224408.0,-98224408.0,2393331863.0,836504741.0,836504741.0,-0.089,-0.089,-98224408.0,-98224408.0,-98224408.0,24745857.0,-122970265.0,-122970265.0,-12924023.0,-135894288.0,18235162.0,18235162.0,,,,-83146427.0,83146427.0,-70983023.0,618804125.0,618804125.0,297151594.0,321652531.0,290073891.0,31578640.0,547821102.0,1774527738.0,2322348840.0,2322348840.0
