,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.198694,273133772.0,59140491.0,197682629.0,1532604594.0,273133772.0,75451143.0,-1646058.0,1646058.0,59140491.0,59140491.0,2283068465.0,739256138.0,739256138.0,0.08,0.08,59140491.0,59140491.0,59140491.0,59140491.0,,59140491.0,14664594.0,73805085.0,36317566.0,36317566.0,-1646058.0,1646058.0,39133577.0,750463871.0,750463871.0,687835591.0,62628280.0,62628280.0,789597448.0,1532604594.0,2322202042.0,2322202042.0
2022-12-31,0.0,0.19696,275492529.0,85266438.0,168946620.0,1473235385.0,275492529.0,106545909.0,-366351.0,366351.0,85266438.0,85266438.0,2137978093.0,710553650.0,710553650.0,0.12,0.12,85266438.0,85266438.0,85266438.0,85266438.0,,85266438.0,20913120.0,106179558.0,28172429.0,28172429.0,-366351.0,366351.0,78373480.0,664742708.0,664742708.0,607889918.0,56852790.0,56852790.0,743116188.0,1473235385.0,2216351573.0,2216351573.0
2021-12-31,0.0,0.198602,234697802.0,66686968.0,144488088.0,1302360194.0,234697802.0,90209714.0,-6996419.0,6996419.0,66686968.0,66686968.0,1872891431.0,539863000.0,539863000.0,0.12,0.12,66686968.0,66686968.0,66686968.0,66686968.0,0.0,66686968.0,16526327.0,83213295.0,21953326.0,21953326.0,-6996419.0,6996419.0,68256388.0,570531237.0,570531237.0,509062010.0,61469227.0,61469227.0,638787625.0,1302360194.0,1941147819.0,1941147819.0
2020-12-31,0.0,0.113766,232533558.0,55538981.0,162784501.0,1160837081.0,232533558.0,69749057.0,-7080558.0,7080558.0,55538981.0,65146376.0,1697530271.0,700000000.0,700000000.0,0.093066,0.093066,65146376.0,65146376.0,65146376.0,65146376.0,9607395.0,55538981.0,7129518.0,62668499.0,24876662.0,24876662.0,-7080558.0,7080558.0,44872395.0,536693190.0,536693190.0,479956344.0,56736846.0,56736846.0,581565585.0,1160837081.0,1742402666.0,1742402666.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,11805806.0,,,,,,,,,,,,,,,,,
