,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Gain On Sale Of Security,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Selling General And Administration,General And Administrative Expense,Other Gand A,Rent And Landing Fees,Salaries And Wages,Total Revenue,Operating Revenue,Other Non Interest Expense
2023-12-31,0.0,0.1991,,,4906468019.0,1442814590.0,19643661317.0,3856806649.0,23500467966.0,4906468019.0,4906468019.0,37022000.0,2120000000.0,2120000000.0,2.31,2.31,4906468019.0,4906468019.0,4906468019.0,0.0,4906468019.0,4906468019.0,1219773677.0,6126241696.0,-906744503.0,1442815000.0,1442815000.0,7494117000.0,7494117000.0,1371691000.0,37022000.0,6085404000.0,19762625182.0,19762625182.0,765131000.0
2022-12-31,0.0,0.1992,,,5093092196.0,1356958234.0,16386016524.0,2813045700.0,19199062224.0,5093092196.0,5093092196.0,25192000.0,2120000000.0,2120000000.0,2.4,2.4,5093092196.0,5093092196.0,5093092196.0,0.0,5093092196.0,5093092196.0,1266645971.0,6359738167.0,-393680878.0,1356959000.0,1356959000.0,6094026000.0,6094026000.0,1319719000.0,25192000.0,4749115000.0,16861761967.0,16861761967.0,617807000.0
2021-12-31,0.0,0.2027,,,4944547078.0,1258283589.0,13067842766.0,2127366229.0,15195208995.0,4944547078.0,4944547078.0,18312000.0,2120000000.0,2120000000.0,2.33,2.33,4944547078.0,4944547078.0,4944547078.0,0.0,4944547078.0,4944547078.0,1256935106.0,6201482184.0,19506160.0,1258283000.0,1258283000.0,5193740000.0,5193740000.0,903414000.0,18312000.0,4272014000.0,13910881421.0,13910881421.0,509388000.0
2020-12-31,0.0,0.1999,,,5213923809.0,1169326364.0,12144544965.0,1816964173.0,13961509138.0,5213923809.0,5213923809.0,12623000.0,2120000000.0,2120000000.0,2.46,2.46,5213923809.0,5213923809.0,5213923809.0,0.0,5213923809.0,5213923809.0,1302575881.0,6516499690.0,36140399.0,1169326000.0,1169326000.0,4480822000.0,4480822000.0,792620000.0,12623000.0,3675579000.0,12951765694.0,12951765694.0,494000000.0
2019-12-31,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
