,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,4355003.8,0.2,92823484.0,21775019.0,21775019.0,-56151254.0,115347847.0,8356477510.0,114598503.0,-749344.0,-53322146.0,53999877.0,677731.0,-73571269.2,-56151254.0,8666226643.0,-1427075.0,623902822.0,623902822.0,-0.09,-0.09,-56151254.0,-56151254.0,-56151254.0,-56151254.0,-56151254.0,1402033.0,-54749221.0,21775019.0,,0.0,21775019.0,-53322146.0,53999877.0,677731.0,-23202094.0,309749133.0,-83962539.0,393711672.0,139935674.0,253775998.0,253775998.0,286547039.0,8356477510.0,8643024549.0,8643024549.0
2022-12-31,1605237.8,0.2,-168772809.0,8026189.0,8026189.0,-325305555.0,126964791.0,9775817206.0,-160746620.0,-287711411.0,-36728532.0,37116005.0,387473.0,-331726506.2,-325305555.0,10097204675.0,-288098884.0,663888888.0,663888888.0,-0.49,-0.49,-325305555.0,-325305555.0,-325305555.0,-325305555.0,-325305555.0,478139.0,-324827416.0,20040455.0,81933366.0,12014266.0,8026189.0,-36728532.0,37116005.0,387473.0,-308139339.0,321387469.0,-81933366.0,403320835.0,143725136.0,259595699.0,259595699.0,13248130.0,9775817206.0,9789065336.0,9789065336.0
2021-12-31,-1900042.71793,0.201819,871631896.0,-9414587.0,-9414587.0,554689095.0,131059681.0,8542629794.0,862217309.0,731157628.0,-35781043.0,36216119.0,435076.0,562203639.28207,554689095.0,8976036424.0,730722552.0,660344161.0,660344161.0,0.84,0.84,554689095.0,554689095.0,554689095.0,554689095.0,554689095.0,140252414.0,694941509.0,93393650.0,102808237.0,0.0,-9414587.0,-35781043.0,36216119.0,435076.0,637328902.0,433406630.0,-102808237.0,433406630.0,150031331.0,283375299.0,283375299.0,1070735532.0,8542629794.0,9613365326.0,9613365326.0
2020-12-31,786741.651845,0.199578,425619898.0,3942027.0,3942027.0,203013418.0,137874776.0,6660524913.0,429561925.0,291687149.0,-37296287.0,38054185.0,757898.0,199858132.651845,203013418.0,7094750971.0,290929251.0,654881994.0,654881994.0,0.31,0.31,203013418.0,203013418.0,203013418.0,203013418.0,203013418.0,50619546.0,253632964.0,86137437.0,82195410.0,,3942027.0,-37296287.0,38054185.0,757898.0,204791814.0,434226058.0,-82195410.0,434226058.0,155716123.0,278509935.0,278509935.0,639017872.0,6660524913.0,7299542785.0,7299542785.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89221646.0,,,,,,,,,,,,,,,,
