,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,2049047.152,0.2,269853128.66,10245235.76,10245235.76,216205348.48,54133315.87,280098364.42,280098364.42,-63893015.94,63893015.94,208009159.872,216205348.48,95960738.1,301500000.0,301500000.0,0.717099,0.717099,216205348.48,216205348.48,216205348.48,216205348.48,216205348.48,216205348.48,11508035.56,1262799.8,10245235.76,-63893015.94,63893015.94,268590328.86,41827422.23,41827422.23,,,,310417751.09,54133315.87,364551066.96,364551066.96
2022-12-31,1700309.872,0.2,280603669.27,8501549.36,8501549.36,241831035.55,43480552.21,289105218.63,289105218.63,-47274183.08,47274183.08,235029796.062,241831035.55,73663370.9,301500000.0,301500000.0,0.802093,0.802093,241831035.55,241831035.55,241831035.55,241831035.55,241831035.55,241831035.55,25432441.47,16930892.11,8501549.36,-47274183.08,47274183.08,263672777.16,30182818.69,30182818.69,600000.0,600000.0,600000.0,293855595.85,43480552.21,337336148.06,337336148.06
2021-12-31,0.0,0.2,35665823.77,,,32171915.98,6039742.74,35665823.77,35665823.77,-3493907.79,3493907.79,32171915.98,32171915.98,9332838.36,301500000.0,301500000.0,0.106706,0.106706,32171915.98,32171915.98,32171915.98,32171915.98,32171915.98,32171915.98,5102709.69,5102709.69,,-3493907.79,3493907.79,30563114.08,3293095.62,3293095.62,240000.0,240000.0,240000.0,33856209.7,6039742.74,39895952.44,39895952.44
