Stock,Date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Write Off,Impairment Of Capital Assets,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Total Operating Income As Reported,Otherunder Preferred Stock Dividend,Net Income From Tax Loss Carryforward,Gain On Sale Of Ppe,Earnings From Equity Interest,Other Operating Expenses,Other Taxes,Total Other Finance Cost,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Salaries And Wages,Gain On Sale Of Business,Provision For Doubtful Accounts,Net Income Discontinuous Operations,Rent Expense Supplemental,Other Special Charges,Restructuring And Mergern Acquisition,Other Non Interest Expense,Average Dilution Earnings,Amortization,Amortization Of Intangibles Income Statement,Rent And Landing Fees,Loss Adjustment Expense,Net Policyholder Benefits And Claims,Policyholder Benefits Gross,Policyholder Benefits Ceded,Depreciation Income Statement,Insurance And Claims,Occupancy And Equipment,Preferred Stock Dividends,Research And Development,Professional Expense And Contract Services Expense,Net Income Extraordinary,Earnings From Equity Interest Net Of Tax
2S,2023-12-31,-1027414.928141,0.037799,248561000.0,-27181000.0,-27181000.0,160083000.0,55027000.0,6351661000.0,221380000.0,166353000.0,3354000.0,264000.0,3618000.0,186236585.071859,160083000.0,6625824000.0,549996000.0,549996000.0,0.29,0.29,160083000.0,160083000.0,160083000.0,272000.0,159811000.0,159811000.0,6278000.0,166089000.0,13214000.0,40395000.0,-15086000.0,,15086000.0,-12095000.0,3354000.0,264000.0,3618000.0,149521000.0,274163000.0,274163000.0,163066000.0,111097000.0,111097000.0,423684000.0,6351661000.0,6775345000.0,6775345000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2S,2022-12-31,-102844.248446,0.005085,-52386000.0,-20225000.0,-20225000.0,-122177000.0,50507000.0,6601387000.0,-72611000.0,-123118000.0,1449000.0,579000.0,2028000.0,-102054844.248446,-122177000.0,6856163000.0,549996000.0,549996000.0,-0.23,-0.23,-122177000.0,-122177000.0,-122177000.0,891000.0,-123068000.0,-123068000.0,-629000.0,-123697000.0,22052000.0,42277000.0,0.0,,0.0,-20225000.0,1449000.0,579000.0,2028000.0,-147198000.0,254776000.0,254776000.0,147414000.0,107362000.0,107362000.0,107578000.0,6601387000.0,6708965000.0,6708965000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2S,2021-12-31,-4380462.499784,0.201837,997117000.0,-21703000.0,-21703000.0,737515000.0,49010000.0,5371701000.0,975414000.0,926404000.0,85000.0,1716000.0,1801000.0,754837537.500216,737515000.0,5607020000.0,549996000.0,549996000.0,1.34,1.34,737515000.0,737515000.0,737515000.0,-537000.0,738052000.0,738052000.0,186636000.0,924688000.0,10810000.0,32513000.0,,,,-21703000.0,85000.0,1716000.0,1801000.0,913793000.0,235319000.0,235319000.0,127474000.0,107845000.0,107845000.0,1149112000.0,5371701000.0,6520813000.0,6520813000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2S,2020-12-31,-3169616.39746,0.15251,560029000.0,-20783000.0,-20783000.0,410165000.0,47275000.0,4865660000.0,539246000.0,491971000.0,-5898000.0,7957000.0,2059000.0,427778383.60254,410165000.0,5113167000.0,549997800.0,549997800.0,0.745455,0.745455,410165000.0,410165000.0,410165000.0,-32000.0,410197000.0,410197000.0,73817000.0,484014000.0,54000.0,20837000.0,,,,-20783000.0,-5898000.0,7957000.0,2059000.0,489858000.0,247507000.0,247507000.0,137563000.0,109944000.0,109944000.0,737365000.0,4865660000.0,5603025000.0,5603025000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2S,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3K-BAT,2024-03-31,30812781.577281,0.228086,288030444.0,135092842.0,135092842.0,145261597.0,217677403.0,4098751548.0,423123286.0,205445883.0,-15585337.0,16376413.0,791076.0,40981536.577281,145261597.0,4904292653.0,78519782.0,78519782.0,1.85,1.85,145261597.0,145261597.0,145261597.0,-683780.0,145945377.0,145945377.0,43124093.0,189069470.0,177543497.0,42450655.0,59829148.0,,,75263694.0,-15585337.0,16376413.0,791076.0,27111310.0,805541105.0,805541105.0,439266029.0,366275076.0,366275076.0,832652415.0,4098751548.0,4931403963.0,4931403963.0,204654807.0,,,59829148.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3K-BAT,2023-03-31,16645183.296288,0.273165,337264013.0,60934646.0,60934646.0,124520868.0,208414799.0,4333720027.0,398198659.0,189783860.0,-16588595.0,16633463.0,44868.0,80231405.296288,124520868.0,5142051349.0,78315011.0,78315011.0,1.59,1.59,124520868.0,124520868.0,124520868.0,-1330984.0,125851852.0,125851852.0,47298545.0,173150397.0,82505413.0,21570767.0,0.0,,,60934646.0,-16588595.0,16633463.0,44868.0,107233579.0,808331322.0,808331322.0,446923108.0,361408214.0,361408214.0,915564901.0,4333720027.0,5249284928.0,5249284928.0,189738992.0,,,0.0,0.0,7308064.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3K-BAT,2021-12-31,12210878.678426,0.2177,364863336.0,56090495.0,56090495.0,153497275.0,209412567.0,4376077238.0,420953831.0,211541264.0,-10094481.0,10685237.0,590756.0,109617658.678426,153497275.0,5243241365.0,78314936.0,78314936.0,1.96,1.96,153497275.0,153497275.0,153497275.0,-3632474.0,157129749.0,157129749.0,43726278.0,200856027.0,56090495.0,,,,,56090495.0,-10094481.0,10685237.0,590756.0,154860013.0,867164127.0,880461777.0,410744345.0,469717432.0,469717432.0,1022024140.0,4376077238.0,5398101378.0,5398101378.0,210950508.0,,,,,-13297650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3K-BAT,2020-12-31,-630074.4,0.2,48006126.0,-3150372.0,-3150372.0,-229001875.0,243336270.0,3770595527.0,44855754.0,-198480516.0,-12918813.0,13215895.0,297082.0,-226481577.4,-229001875.0,4957816193.0,78676104.0,78676104.0,0.54,0.54,42485096.0,42485096.0,-229001875.0,-490849.0,-228511026.0,-228511026.0,16814615.0,-211696411.0,-3150372.0,,,,,-3150372.0,-12918813.0,13215895.0,297082.0,-195627226.0,1187220666.0,1190495169.0,409031837.0,781463332.0,781463332.0,991593440.0,3770595527.0,4762188967.0,4762188967.0,-198777598.0,-271486971.0,271486971.0,,,-3274503.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3K-BAT,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115452973.0,,,,,,,,,,,,,,,,,,,-110152817.0,110152817.0,,,-113381565.0,298352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,2023-12-31,-4659220.222724,0.091933,-94985730.0,-50680675.0,-50680675.0,-374288056.0,23039640.0,2022948528.0,-145666405.0,-168706045.0,-300578000.0,243475000.0,5235000.0,-328266601.222724,-374288056.0,2754796452.0,980000000.0,980000000.0,-0.4,-0.4,-387488000.0,-387488000.0,-374288056.0,0.0,-374288056.0,-374288056.0,-37892989.0,-412181045.0,4083325.0,54764000.0,-50680675.0,,,,-300578000.0,243475000.0,5235000.0,-115685748.0,731847924.0,731847924.0,365773246.0,366074678.0,366074678.0,616162176.0,2022948528.0,2639110704.0,2639110704.0,-106367705.0,13200000.0,,-50680675.0,,,,62338000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
A,2022-12-31,22710764.97878,0.131779,273806023.0,172339625.0,172339625.0,134272337.0,27496369.0,2290731181.0,446145648.0,418649279.0,-325025000.0,263997000.0,1825000.0,-15356523.02122,134272337.0,3018499677.0,980000000.0,980000000.0,0.12,0.12,121023000.0,121023000.0,134272337.0,0.0,134272337.0,134272337.0,20379942.0,154652279.0,256792625.0,84453000.0,0.0,,,172339625.0,-325025000.0,263997000.0,1825000.0,222884252.0,727768496.0,727768496.0,335147181.0,392621315.0,392621315.0,950652748.0,2290731181.0,3241383929.0,3241383929.0,309162487.0,13249000.0,,0.0,,,,62853000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
A,2021-12-31,-2410000.0,0.2,-7690765.0,-12050000.0,-12050000.0,-345562551.0,40421207.0,2599874656.0,-19740765.0,-60161972.0,-350355000.0,269493000.0,3146000.0,-335922551.0,-345562551.0,3247302847.0,980000000.0,980000000.0,-0.37,-0.37,-362669000.0,-362669000.0,-345562551.0,0.0,-345562551.0,-345562551.0,15907579.0,-329654972.0,99883000.0,111933000.0,,,,-12050000.0,-350355000.0,269493000.0,3146000.0,-79183152.0,647428191.0,647428191.0,247867797.0,399560394.0,399560394.0,568245039.0,2599874656.0,3168119695.0,3168119695.0,35896189.0,17106000.0,,,,2792000.0,105641000.0,84008000.0,38626000.0,38626000.0,256719000.0,,,,,,,,,,,,,,,,,,,,,,,
A,2020-12-31,-7356480.0,0.291,623242507.0,-25280000.0,-25280000.0,194865060.0,50254251.0,4297563025.0,597962507.0,547708256.0,-330467000.0,272875000.0,3924000.0,212788580.0,194865060.0,5106356276.0,980000000.0,980000000.0,0.18,0.18,194865060.0,194865060.0,194865060.0,0.0,194865060.0,194865060.0,79968196.0,274833256.0,70917000.0,96197000.0,,,,-25280000.0,-330467000.0,272875000.0,3924000.0,534383266.0,804984000.0,563269000.0,103925000.0,459344000.0,191249000.0,1339367266.0,4301372276.0,5640739542.0,5640739542.0,634504706.0,,,,,5837000.0,189433000.0,61516000.0,46445000.0,46445000.0,268095000.0,,,,,,,,,,,,,,,,,,,,,,,
A,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-31770000.0,,,,,,,,,,,,,,,,,,,6247000.0,113273000.0,,45515000.0,45515000.0,316008000.0,,,,,,,,,,,,,,,,,,,,,,,
A5,2023-12-31,0.0,0.1639,630381116.0,,,506433996.0,4077877.0,842653796.0,630381116.0,626303239.0,-17984916.0,20568225.0,2583309.0,506433996.0,506433996.0,1005578882.0,1209384615.0,1209384615.0,0.4188,0.4188,506433996.0,506433996.0,506433996.0,0.0,506433996.0,506433996.0,99301018.0,605735014.0,140631686.0,3261825.0,,,,,-17984916.0,20568225.0,2583309.0,483088244.0,162925086.0,166702086.0,93230608.0,73471478.0,73471478.0,646013330.0,842653796.0,1488667126.0,1488667126.0,486350069.0,,,,137369861.0,-3777000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5,2022-12-31,0.0,0.2,109969938.0,0.0,0.0,97787455.0,3561679.0,445871155.0,109969938.0,106408259.0,-13412935.0,13817335.0,404400.0,97787455.0,97787455.0,551151121.0,1209384615.0,1209384615.0,0.0809,0.0809,97787455.0,97787455.0,97787455.0,-3616915.0,101404370.0,101404370.0,-8813446.0,92590924.0,7734822.0,6196382.0,0.0,,,,-13412935.0,13817335.0,404400.0,98269037.0,105279966.0,113693489.0,59700063.0,53993426.0,53993426.0,203549003.0,445871155.0,649420158.0,649420158.0,104465419.0,,,0.0,1538440.0,-8413523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5,2021-12-31,23101591.1655,0.2195,86778091.0,105246429.0,105246429.0,130692766.0,4042318.0,547308820.0,192024520.0,187982202.0,-14108266.0,14168751.0,60485.0,48547928.1655,130692766.0,645072584.0,1209384615.0,1209384615.0,0.108,0.108,130692766.0,130692766.0,130692766.0,-4972967.0,135665733.0,135665733.0,38147718.0,173813451.0,99642937.0,,105246429.0,,,,-14108266.0,14168751.0,60485.0,88278780.0,97763764.0,115041970.0,63417081.0,51624889.0,51624889.0,186042544.0,547308820.0,733351364.0,733351364.0,193525209.0,,,105246429.0,-5603492.0,-17278206.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5,2020-12-31,2147594.2709,0.1951,88787565.0,11007659.0,11007659.0,57239210.0,4741973.0,609410664.0,99795224.0,95053251.0,-20599764.0,21517197.0,917433.0,48379145.2709,57239210.0,724236610.0,1177907481.0,1177907481.0,0.049,0.049,57239210.0,57239210.0,57239210.0,-1951579.0,59190789.0,59190789.0,14345265.0,73536054.0,7952514.0,5453025.0,11007659.0,,,,-20599764.0,21517197.0,917433.0,86183304.0,114825946.0,120278971.0,61502734.0,58776237.0,58776237.0,201009250.0,609410664.0,810419914.0,810419914.0,97190963.0,,,11007659.0,-3055145.0,-5453025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5,2019-12-31,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2616070.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
AAI,2023-12-31,-1908637.882755,0.034868,674597406.0,-54738945.0,-54738945.0,382921280.0,207574954.0,4719971383.0,619858461.0,412283507.0,15279032.0,15528159.0,30807191.0,435751587.117245,382921280.0,5002478768.0,2125000000.0,2125000000.0,0.18,0.18,382921280.0,382921280.0,382921280.0,,382921280.0,382921280.0,13834068.0,396755348.0,-55443406.0,,,,,-54738945.0,15279032.0,15528159.0,30807191.0,436919386.0,282507385.0,336291385.0,169946601.0,166344784.0,166344784.0,719426771.0,4719971383.0,5439398154.0,5439398154.0,382180777.0,,,,-704461.0,-53784000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAI,2022-12-31,-5672461.293279,0.127753,1239214904.0,-44401668.0,-44401668.0,859113887.0,173627748.0,5709149860.0,1194813236.0,1021185488.0,-32552130.0,36241751.0,3689621.0,897843093.706721,859113887.0,6062138914.0,1776849000.0,1776849000.0,0.48,0.48,859113887.0,859113887.0,859113887.0,0.0,859113887.0,859113887.0,125829850.0,984943737.0,-43876910.0,22773000.0,,,,-44401668.0,-32552130.0,36241751.0,3689621.0,1061373073.0,352989054.0,424853054.0,230457498.0,194395556.0,194395556.0,1414362127.0,5709149860.0,7123511987.0,7123511987.0,1016971109.0,,,,524758.0,-71864000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAI,2021-12-31,0.0,0.108085,890792497.0,,,652996789.0,153591912.0,3931837475.0,890792497.0,737200585.0,-6715525.0,20752000.0,14036475.0,652996789.0,652996789.0,4260469730.0,170000000.0,170000000.0,3.841158,3.841158,652996789.0,652996789.0,652996789.0,13985433.0,639011356.0,639011356.0,77437229.0,716448585.0,-1856699.0,16304000.0,,,,,-6715525.0,20752000.0,14036475.0,725020694.0,328632255.0,379574255.0,182065510.0,197508745.0,197508745.0,1053652949.0,3931837475.0,4985490424.0,4985490424.0,725020606.0,,,,-1856699.0,-50942000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAI,2020-12-31,2759113.658068,0.042891,689346090.0,64329000.0,64329000.0,599469402.0,146563220.0,3728541092.0,753675090.0,607111870.0,-3231780.0,27012462.0,23780682.0,537899515.658068,599469402.0,3990141114.0,170000000.0,170000000.0,3.526291,3.526291,599469402.0,599469402.0,599469402.0,44250844.0,555218558.0,555218558.0,24880850.0,580099408.0,61385328.0,19784000.0,,,,64329000.0,-3231780.0,27012462.0,23780682.0,521945412.0,261600022.0,313637022.0,134193026.0,179443996.0,179443996.0,783545434.0,3728541092.0,4512086526.0,4512086526.0,586274860.0,,,,-2943672.0,-52037000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAI,2019-12-31,,,,34330000.0,34330000.0,,,,,,,,,,,,,,,,,,,,,,,,,13755000.0,,,,34330000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAV,2023-12-31,85832151.504046,0.115499,6939942000.0,743143000.0,743143000.0,465819000.0,4992375000.0,36811642000.0,7683085000.0,2690710000.0,-2258356000.0,2164064000.0,32871000.0,-191491848.495954,465819000.0,40165134000.0,12290626000.0,12290626000.0,0.0379,0.0379,465819000.0,465819000.0,465819000.0,0.0,465819000.0,465819000.0,60827000.0,526646000.0,1708676000.0,965533000.0,0.0,,,743143000.0,-2258356000.0,2164064000.0,32871000.0,1076326000.0,3353492000.0,2966518000.0,1932821000.0,1033697000.0,1033697000.0,4429818000.0,36811642000.0,41241460000.0,41241460000.0,2785002000.0,,,0.0,,,,127163000.0,,,,,386974000.0,,,,,,,,,,,,,,,,,,,,,
AAV,2022-12-31,-249079260.204603,0.22985,-1354438000.0,-1083661000.0,-1083661000.0,-8029997000.0,6114053000.0,23533471000.0,-2438099000.0,-8552152000.0,-2190313000.0,2113770000.0,29186000.0,-7195415260.204603,-8029997000.0,25259792000.0,11602838000.0,11602838000.0,-0.6921,-0.6921,-8029997000.0,-8029997000.0,-8029997000.0,184365000.0,-8214362000.0,-8214362000.0,-2451560000.0,-10665922000.0,-769104000.0,314557000.0,376327000.0,,,-1459988000.0,-2190313000.0,2113770000.0,29186000.0,-7706505000.0,1726321000.0,1711032000.0,678426000.0,1032606000.0,1032606000.0,-5980184000.0,23533471000.0,17553287000.0,17553287000.0,-8475609000.0,,,376327000.0,,,,105729000.0,,,,,15289000.0,,,,,,,,,,,,,,,,,,,,,
AAV,2021-12-31,-420257227.414469,0.127094,-3224686000.0,-3306656000.0,-3306656000.0,-6647484000.0,5434314000.0,11223275000.0,-6531342000.0,-11965656000.0,-1848416000.0,1733358000.0,50397000.0,-3761085227.414469,-6647484000.0,12660986000.0,5119513000.0,5119513000.0,-1.2985,-1.2985,-6647484000.0,-6647484000.0,-6647484000.0,5310463000.0,-11957947000.0,-11957947000.0,-1741067000.0,-13699014000.0,-3018081000.0,288575000.0,-43459000.0,,,-3263197000.0,-1848416000.0,1733358000.0,50397000.0,-8832517000.0,1437711000.0,1235567000.0,240087000.0,995480000.0,995480000.0,-7394806000.0,11223275000.0,3828469000.0,3828469000.0,-11850598000.0,,,-43459000.0,,,,165455000.0,,,,,202144000.0,,,,,,,,,,,,,,,,,,,,,
AAV,2020-12-31,30019717.559173,0.070761,-1793117267.0,424243132.0,424243132.0,-4764092099.0,6355024847.0,20484162770.0,-1368874135.0,-7723898982.0,-1776163139.0,1603007622.0,23618808.0,-5158315513.440827,-4764092099.0,22334929944.0,4850000000.0,4850000000.0,-0.9823,-0.9823,-4764092099.0,-4764092099.0,-4764092099.0,3902836580.0,-8666928679.0,-8666928679.0,-659977925.0,-9326906604.0,1150318360.0,726075228.0,-84200587.0,,1415961457.0,508443719.0,-1776163139.0,1603007622.0,23618808.0,-8701061825.0,1850767174.0,1665363187.0,797203450.0,868159737.0,868159737.0,-6850294651.0,20484162770.0,13633868119.0,13633868119.0,-7550743465.0,,,1331760870.0,,,,196774325.0,,,,,185403987.0,,,,,,,,,,,,,,,,,,,,,
ACC,2023-12-31,310400.0,0.2,-61808000.0,1552000.0,1552000.0,-71470000.0,17376000.0,120914000.0,-60256000.0,-77632000.0,-615000.0,1718000.0,1103000.0,-72711600.0,-71470000.0,224764000.0,1343056000.0,1343056000.0,-0.05,-0.05,-71470000.0,-71470000.0,-71470000.0,10294000.0,-81764000.0,-81764000.0,2414000.0,-79350000.0,2597000.0,,1552000.0,0.0,,,-615000.0,1718000.0,1103000.0,-81332000.0,103850000.0,106991000.0,735000.0,106256000.0,106256000.0,22518000.0,120914000.0,143432000.0,143432000.0,-76639000.0,,,,1045000.0,-7834000.0,,,,,,1552000.0,4693000.0,0.0,,,,,,,,,,,,,,,,,,,,
ACC,2022-12-31,947434.587866,0.003839,-66620000.0,246778000.0,246778000.0,161805000.0,21124000.0,38576000.0,180158000.0,159034000.0,-3594000.0,4315000.0,721000.0,-84025565.412134,169517000.0,126856000.0,1343056000.0,1343056000.0,0.13,0.13,169517000.0,169517000.0,169517000.0,7680000.0,161837000.0,154125000.0,594000.0,154719000.0,245533000.0,3039000.0,246778000.0,0.0,,246778000.0,-3594000.0,4315000.0,721000.0,-87220000.0,88280000.0,89118000.0,-137000.0,89255000.0,89255000.0,1060000.0,38576000.0,39636000.0,39636000.0,-85019000.0,,,,-1245000.0,-3039000.0,,,,,,246778000.0,2201000.0,7712000.0,,,,,,,,,,,,,,,,,,,,
ACC,2021-12-31,0.0,0.2,-6014000.0,0.0,0.0,-68640000.0,47887000.0,19676000.0,-6014000.0,-53901000.0,-15477000.0,15633000.0,156000.0,-68640000.0,-76235000.0,81969000.0,1343056000.0,1343056000.0,-0.06,-0.06,-76235000.0,-76235000.0,-76235000.0,1994000.0,-78228000.0,-70633000.0,1099000.0,-69534000.0,1085000.0,3435583.0,0.0,0.0,,,-15477000.0,15633000.0,156000.0,-55142000.0,62293000.0,62293000.0,4042000.0,58251000.0,58251000.0,7151000.0,19676000.0,26827000.0,26827000.0,-55142000.0,,,,1085000.0,,,,,,,0.0,,-7595000.0,,,,,,,,,,,,,,,,,,,,
ACC,2020-12-31,-2922036.8,0.2,50027777.0,-14610184.0,-14610184.0,-39073071.0,46668382.0,51746049.0,35417593.0,-11250789.0,-19378446.0,19606181.0,227735.0,-27384923.8,-66924823.0,134332453.0,1343055623.0,1343055623.0,-0.05,-0.05,-66924823.0,-66924823.0,-66924823.0,1139602.0,-68064425.0,-40212673.0,9355703.0,-30856970.0,-11161271.0,4495054.0,-14610184.0,14610184.0,,,-19378446.0,19606181.0,227735.0,-317253.0,82586404.0,82586404.0,6039919.0,76546485.0,76546485.0,82269151.0,51746049.0,134015200.0,134015200.0,3677135.0,,,,-1046141.0,,,,,,,,,-27851752.0,,,,,,,,,,,,,,,,,,,,
ACC,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67477552.0,,,,,,,,,,,,,,,,,,,,,9646311.0,,,,7753453.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACE,2023-12-31,-1917200.395,0.055,2104690616.0,-34858189.0,-34858189.0,1072511099.0,758916647.0,4800411041.0,2069832427.0,1310915780.0,-190236924.0,177902077.0,4297721.0,1105452087.605,1072511099.0,5245202151.0,10075634360.0,10075634360.0,0.11,0.11,1072511099.0,1072511099.0,1072511099.0,299121.0,1072211978.0,1072211978.0,60801725.0,1133013703.0,-14253230.0,20604959.0,0.0,,,-34858189.0,-190236924.0,177902077.0,4297721.0,1337503857.0,444791110.0,444791110.0,,444791110.0,444791110.0,1782294967.0,4800411041.0,6582706008.0,6471914943.0,,,,0.0,,,,16632568.0,,,,,,,71222674.0,,,,,,,,,,,,,,,,,,,
ACE,2022-12-31,3763443.748,0.068,2165341966.0,55344761.0,55344761.0,1281979746.0,729545880.0,5044330280.0,2220686727.0,1491140847.0,-129986664.0,116945983.0,2105813.0,1230398428.748,1281979746.0,5482490482.0,10168631105.0,10168631105.0,0.13,0.13,1281979746.0,1281979746.0,1281979746.0,548992.0,1281430754.0,1281430754.0,92764110.0,1374194864.0,69658205.0,14313444.0,132269.0,,,55212492.0,-129986664.0,116945983.0,2105813.0,1434523323.0,438160202.0,438160202.0,,438160202.0,438160202.0,1872683525.0,5044330280.0,6917013805.0,6793393105.0,,,,132269.0,,,,15146494.0,,,,,,,64688147.0,,,,,,,,,,,,,,,,,,,
ACE,2021-12-31,10755478.72,0.064,2234612796.0,168054355.0,168054355.0,1505680618.0,667204810.0,3807969251.0,2402667151.0,1735462341.0,-139712151.0,127527579.0,1661311.0,1348381741.72,1505680618.0,4158318883.0,10175999960.0,10175999960.0,0.15,0.15,1505680618.0,1505680618.0,1505680618.0,262974.0,1505417644.0,1505417644.0,102517118.0,1607934762.0,179044999.0,10990644.0,0.0,,,168054355.0,-139712151.0,127527579.0,1661311.0,1568601914.0,350349632.0,350349632.0,,350349632.0,350349632.0,1918951546.0,3807969251.0,5726920797.0,5594937789.0,,,,0.0,,,,13845883.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
ACE,2020-12-31,4979430.673243,0.027483,2005294318.0,181180464.0,181180464.0,1507640732.0,541390434.0,4066812246.0,2186474782.0,1645084348.0,-104789149.0,94837779.0,1530609.0,1331439698.673243,1507640732.0,4388283424.0,10175999960.0,10175999960.0,0.15,0.15,1507640732.0,1507640732.0,1507640732.0,0.0,1507640732.0,1507640732.0,42605837.0,1550246569.0,185175846.0,3995382.0,174206849.0,,,6973615.0,-104789149.0,94837779.0,1530609.0,1469859872.0,321471178.0,322254790.0,,322254790.0,322254790.0,1791331050.0,4066812246.0,5858143296.0,5729520749.0,,,,81237.0,,-783612.0,,11481979.0,,,,,,,,-171947538.0,-2178074.0,,,,,,,,,,,,,,,,,
ACE,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-153949.0,,,,,,,,,47701559.0,-23949976.0,0.0,,,,,,,,,,,,,,,,,
ACG,2023-12-31,0.0,0.2,112762692.0,,,17302536.0,56703916.0,1544337476.0,112762692.0,56058776.0,-20637129.0,20637129.0,,17302536.0,17302536.0,1753240749.0,600000000.0,600000000.0,0.03,0.03,17302536.0,17302536.0,17302536.0,-54432.0,17356968.0,17356968.0,18064679.0,35421647.0,,,,,,,-20637129.0,20637129.0,,56058776.0,208903273.0,220118623.0,58361537.0,161757086.0,161757086.0,264962049.0,1544337476.0,1809299525.0,1769014132.0,56058776.0,,,,,-11215350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACG,2022-12-31,0.0,0.2,100056675.0,,,15805992.0,51331708.0,1534621986.0,100056675.0,48724967.0,-17725561.0,17725561.0,,15805992.0,15805992.0,1729186496.0,600000000.0,600000000.0,0.03,0.03,15805992.0,15805992.0,15805992.0,263859.0,15542133.0,15542133.0,15457273.0,30999406.0,,,,,,,-17725561.0,17725561.0,,48724967.0,194564510.0,210658514.0,57512820.0,153145694.0,153145694.0,243289477.0,1534621986.0,1777911463.0,1728513025.0,48724967.0,,,,,-16094004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACG,2021-12-31,0.0,0.279,97007582.0,,,27960051.0,40636509.0,1495415302.0,97007582.0,56371073.0,-17254743.0,17254743.0,,27960051.0,27960051.0,1656654790.0,600000000.0,600000000.0,0.05,0.05,27960051.0,27960051.0,27960051.0,-261524.0,28221575.0,28221575.0,10894755.0,39116330.0,,,,,,,-17254743.0,17254743.0,,56371073.0,161239488.0,176156767.0,53356079.0,122800688.0,122800688.0,217610561.0,1495415302.0,1713025863.0,1663534815.0,56371073.0,,,,,-14917279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACG,2020-12-31,0.0,0.221,113490982.0,,,34826278.0,42596991.0,1822156803.0,113490982.0,70893991.0,-25787261.0,25787261.0,,34826278.0,34826278.0,1987487595.0,600000000.0,600000000.0,0.06,0.06,34826278.0,34826278.0,34826278.0,-341770.0,35168048.0,35168048.0,9938682.0,45106730.0,,,,,,,-25787261.0,25787261.0,,70893991.0,165330792.0,182475323.0,56520825.0,125954498.0,125954498.0,236224783.0,1822156803.0,2058381586.0,1997465542.0,70893991.0,,,,,-17144531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACG,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18353265.0,18353265.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7962000.0,,,,,,,,,,,,,,,,,,,
