Stock,Date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Write Off,Impairment Of Capital Assets,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Total Operating Income As Reported,Otherunder Preferred Stock Dividend,Net Income From Tax Loss Carryforward,Gain On Sale Of Ppe,Earnings From Equity Interest,Other Operating Expenses,Other Taxes,Total Other Finance Cost,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Salaries And Wages,Gain On Sale Of Business,Provision For Doubtful Accounts,Net Income Discontinuous Operations,Rent Expense Supplemental,Other Special Charges,Restructuring And Mergern Acquisition,Other Non Interest Expense,Average Dilution Earnings,Amortization,Amortization Of Intangibles Income Statement,Rent And Landing Fees,Loss Adjustment Expense,Net Policyholder Benefits And Claims,Policyholder Benefits Gross,Policyholder Benefits Ceded,Depreciation Income Statement,Insurance And Claims,Occupancy And Equipment,Preferred Stock Dividends,Research And Development,Professional Expense And Contract Services Expense,Net Income Extraordinary,Earnings From Equity Interest Net Of Tax
EVER,2023-12-31,-116075.0,0.2,-1186380.0,-580375.0,-580375.0,-341784812.0,84507573.0,1311014473.0,-1766755.0,-86274328.0,-243221542.0,243437231.0,215689.0,-341320512.0,-341784812.0,1750958458.0,4854785110.0,4854785110.0,-0.0704,-0.0704,-341784812.0,-341784812.0,-341784812.0,-1557000.0,-340227812.0,-340227812.0,10516253.0,-329711559.0,6894898.0,7475273.0,-580375.0,580375.0,,,-243221542.0,243437231.0,215689.0,-93384915.0,439943985.0,439943985.0,137708998.0,302234987.0,302234987.0,346559070.0,1311014473.0,1657573543.0,1657573543.0,-85909642.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
EVER,2022-12-31,5673543.0,0.2,-186677012.0,28367715.0,28367715.0,-459198229.0,65320107.0,1640047877.0,-158309297.0,-223629404.0,-223686886.0,223761318.0,74432.0,-481892401.0,-459198229.0,2274366914.0,4791003724.0,4791003724.0,-0.0958,-0.0958,-459198229.0,-459198229.0,-459198229.0,-446729.0,-458751500.0,-458751500.0,11360778.0,-447390722.0,37796502.0,9428787.0,-724181.0,276611.0,,29091896.0,-223686886.0,223761318.0,74432.0,-261500338.0,634319037.0,634319037.0,148822587.0,485496450.0,310896450.0,372818699.0,1640047877.0,2012866576.0,2012866576.0,-77919121.0,,,,,,,,,,174600000.0,,,,,447570.0,,,,,,,,,,,,,,,,,,
EVER,2021-12-31,11107944.0,0.2,233371558.0,55539720.0,55539720.0,-137537921.0,60688445.0,2063577328.0,288911278.0,228222833.0,-321961374.0,322041856.0,80482.0,-181969697.0,-137537921.0,2522114252.0,3884784546.0,3884784546.0,-0.0354,-0.0354,-137537921.0,-137537921.0,-137537921.0,7760461.0,-145298382.0,-145298382.0,51479359.0,-93819023.0,73301960.0,17762240.0,55539720.0,-29880.0,,,-321961374.0,322041856.0,80482.0,154840391.0,458536924.0,458536924.0,176758174.0,281778750.0,281778750.0,613377315.0,2063577328.0,2676954643.0,2676954643.0,170025088.0,,,,,2577543.0,,,,,0.0,,,,23069742.0,-55509840.0,,,,,,,,,,,,,,,,,,
EVER,2020-12-31,-561142.2,0.2,548148962.0,-2805711.0,-2805711.0,138239731.0,58240276.0,2397003470.0,545343251.0,487102975.0,-257923130.0,258060963.0,137833.0,140484299.8,138239731.0,2887731491.0,3884784546.0,3884784546.0,0.0356,0.0356,138239731.0,138239731.0,138239731.0,11900425.0,126339306.0,126339306.0,102702706.0,229042012.0,133448157.0,136253868.0,-2805711.0,164612.0,0.0,,-257923130.0,258060963.0,137833.0,353516985.0,490728021.0,490728021.0,231799777.0,258928244.0,258928244.0,844245006.0,2397003470.0,3241248476.0,3241248476.0,487129754.0,,,,,2641099.0,,,,,,,,,19334313.0,2641099.0,,,,,,,,,,,,,,,,,,
EVER,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29113957.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29115654.0,,,,,,,,,,,,,,,,,,
FANCY,2023-12-31,0.0,0.0,24919130.42,,,-7076720.4,31602324.06,71085224.26,24919130.42,-6683193.64,-393526.76,393526.76,,-7076720.4,-7076720.4,125481321.87,615000000.0,615000000.0,-0.0115,-0.0115,-7076720.4,-7076720.4,-7076720.4,,-7076720.4,-7076720.4,0.0,-7076720.4,2457776.11,2457776.11,,,,,-393526.76,393526.76,,-9140969.75,54396097.61,54396097.61,6846443.23,47549654.38,47549654.38,45255127.86,71085224.26,116340352.12,116340352.12,,,,,,,,,,,,,,,16389026.42,,,,,,,,,,,,,,,,,,,
FANCY,2022-12-31,0.0,0.0,-24119705.09,,,-61954198.22,36478838.37,224579949.36,-24119705.09,-60598543.46,-1355654.76,1355654.76,,-61954198.22,-61954198.22,311240949.97,615000000.0,615000000.0,-0.1007,-0.1007,-61954198.22,-61954198.22,-61954198.22,,-61954198.22,-61954198.22,0.0,-61954198.22,8041046.77,8041046.77,,,,,-1355654.76,1355654.76,,-68639590.23,86661000.61,86661000.61,21912552.4,64748448.21,64748448.21,18021410.38,224579949.36,242601359.74,242601359.74,,,,,,-8041046.77,,,,,,,,,8794031.47,,,,,,,,,,,,,,,,,,,
FANCY,2021-12-31,0.0,0.0,-20007561.62,,,-61308955.69,39979675.58,192286616.66,-20007561.62,-59987237.2,-1321718.49,1321718.49,167000.0,-61308955.69,-61308955.69,269754951.47,615000000.0,615000000.0,-0.0997,-0.0997,-61308955.69,-61308955.69,-61308955.69,,-61308955.69,-61308955.69,0.0,-61308955.69,47130857.14,47130857.14,,,,,-1321718.49,1321718.49,167000.0,-107118094.34,77468334.81,87312231.76,19435441.07,67876790.69,67876790.69,-29649759.53,192286616.66,162636857.13,162636857.13,-59976000.0,,,,,-9843896.95,,,,,,,,,8945866.44,,,,,,,,,,,,,,,,,,,
FANCY,2020-12-31,0.0,0.0,-1018000.0,,,-47037000.0,44078000.0,229237000.0,-1018000.0,-45096000.0,-1755000.0,1941000.0,186000.0,-47037000.0,-47037000.0,300532000.0,615000000.0,615000000.0,-0.08,-0.08,-47037000.0,-47037000.0,-47037000.0,,-47037000.0,-47037000.0,0.0,-47037000.0,,,,,,,-1755000.0,1941000.0,186000.0,-45282000.0,71295000.0,83198000.0,19066000.0,64132000.0,64132000.0,26013000.0,229237000.0,255250000.0,255250000.0,-45096000.0,,,,,-11903000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FANCY,2019-12-31,,,,184082.0,184082.0,,,,,,,,214573.0,,,,,,,,,,,,,,,,184082.0,11032133.0,,,,184082.0,,,214573.0,,,,,,,,,,,-88173819.0,,,,,-11216215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE,2023-12-31,4108872.31224,0.146686,95744163.58,28011295.07,28011295.07,87551715.38,11893250.21,477944957.78,123755458.65,111862208.44,-283983.59,283983.59,,63649292.62224,87551715.38,626253418.49,7870000.0,7870000.0,11.12,11.12,87551715.38,87551715.38,87551715.38,-7659516.17,95211231.55,95211231.55,16366993.3,111578224.85,49484498.5,,,,,28011295.07,-283983.59,283983.59,,62377709.94,148308460.71,154061819.07,,154061819.07,154061819.07,210686170.65,477944957.78,688631128.43,688631128.43,90389005.01,,,,21473203.43,-5753358.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE,2022-12-31,-481993.305925,0.08056,57570657.54,-5983023.64,-5983023.64,32255132.89,12650793.1,335219394.65,51587633.9,38936840.8,-329379.73,329379.73,,37756163.224075,32255132.89,466472558.69,7870000.0,7870000.0,4.1,4.1,32255132.89,32255132.89,32255132.89,-3242105.17,35497238.06,35497238.06,3110223.01,38607461.07,9857240.76,,,,,-5983023.64,-329379.73,329379.73,,29079600.04,131253164.04,135741938.28,,135741938.28,135741938.28,160332764.08,335219394.65,495552158.73,495552158.73,23096576.4,,,,15840264.4,-4488774.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE,2021-12-31,2605718.532265,0.132661,65194891.31,19641916.75,19641916.75,58651623.35,14486931.6,227821705.16,84836808.06,70349876.46,-432328.59,432328.59,,41615425.132265,58651623.35,342185953.98,7870000.0,7870000.0,7.45,7.45,58651623.35,58651623.35,58651623.35,-1990584.82,60642208.17,60642208.17,9275339.7,69917547.87,36810796.73,,0.0,0.0,,19641916.75,-432328.59,432328.59,,33539079.73,114364248.82,123021597.41,,123021597.41,123021597.41,147903328.55,227821705.16,375725033.71,375725033.71,53180996.48,,,,17168879.98,-8657348.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE,2020-12-31,4289428.710702,0.185218,84911143.4,23158813.68,23158813.68,75993383.18,12491108.87,400081812.48,108069957.08,95578848.21,-110995.14,110995.14,1147878.27,57123998.210702,75993383.18,532474975.78,7870000.0,7870000.0,9.66,9.66,75993383.18,75993383.18,75993383.18,-1792106.9,77785490.08,77785490.08,17682362.99,95467853.07,39152343.35,,9919097.5,-9919097.5,,13239716.18,-110995.14,110995.14,1147878.27,56426504.86,132393163.3,141169343.83,,141169343.83,141169343.83,188819668.16,400081812.48,588901480.64,588901480.64,63928401.22,,,,15993529.67,-8776180.53,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
FE,2019-12-31,,,,,,,,,,,,,2386046.64,,,,,,,,,,,,,,,,,11207081.25,0.0,0.0,,,,,2386046.64,,,,,,,,,,,,,,,,,,,,,12125050.0,,108605.0,,,,,,,,,,,,,,,,,,,,,
FM,2023-12-31,1154408.8,0.2,439256646.0,5772044.0,5772044.0,253362316.0,148858627.0,5238261957.0,445028690.0,296170063.0,-43919515.0,43919515.0,,248744680.8,253362316.0,5474470515.0,987827850.0,987827850.0,0.256484,0.256484,253362316.0,253362316.0,253362316.0,-1327452.0,254689768.0,254689768.0,-2439220.0,252250548.0,5772044.0,,,,,5772044.0,-43919515.0,43919515.0,,290398019.0,236208558.0,240660358.0,134101570.0,106558788.0,106558788.0,526606577.0,5238261957.0,5764868534.0,5764868534.0,296170063.0,,,,,-4451800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
