,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-09-30,0.0,0.0607,512988286.0,,,159766178.0,342853904.0,4926639027.0,512988286.0,170134382.0,-39116.0,39116.0,159766178.0,159766178.0,5284950794.0,2898614.0,192207700.0,192207700.0,0.83,0.83,159766178.0,159766178.0,159766178.0,-101.0,159766279.0,159766279.0,10328987.0,170095266.0,37879344.0,37879344.0,,-39116.0,39116.0,132255038.0,358311767.0,358311767.0,100051940.0,258259827.0,258259827.0,490566805.0,4926639027.0,5417205832.0,5417205832.0
2022-09-30,1334706.514,0.1013,470088475.0,13175780.0,13175780.0,109940057.0,360887852.0,5442819540.0,483264255.0,122376403.0,-49709.0,49709.0,98098983.514,109940057.0,5808175628.0,2949252.0,192207700.0,192207700.0,0.57,0.57,109940057.0,109940057.0,109940057.0,-20.0,109940077.0,109940077.0,12386617.0,122326694.0,47384260.0,34208480.0,13175780.0,-49709.0,49709.0,74992143.0,365356088.0,365356088.0,97771056.0,267585032.0,267585032.0,440348231.0,5442819540.0,5883167771.0,5883167771.0
2021-09-30,4146316.6407,0.1923,760745955.0,21561709.0,21561709.0,340030324.0,361242444.0,4577495702.0,782307664.0,421065220.0,-60448.0,60448.0,322614931.6407,340030324.0,4930774861.0,1804532.0,192207700.0,192207700.0,1.77,1.77,340030324.0,340030324.0,340030324.0,-256.0,340030580.0,340030580.0,80974192.0,421004772.0,54459275.0,32897566.0,21561709.0,-60448.0,60448.0,366605945.0,353279159.0,353279159.0,93352733.0,259926426.0,259926426.0,719885104.0,4577495702.0,5297380806.0,5297380806.0
2020-09-30,3783876.6096,0.1712,593354256.0,22102083.0,22102083.0,219062878.0,351132180.0,3799049893.0,615456339.0,264324159.0,0.0,0.0,200744671.6096,219062878.0,4148754482.0,4808544.0,195686863.0,195686863.0,1.12,1.12,219062878.0,219062878.0,219062878.0,28.0,219062850.0,219062850.0,45261309.0,264324159.0,48970067.0,26867984.0,22102083.0,0.0,0.0,215354092.0,349704589.0,349704589.0,101339263.0,248365326.0,248365326.0,565058681.0,3799049893.0,4364108574.0,4364108574.0
