,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Other Special Charges,Write Off,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,482273.9406,0.1698,1107273661.0,2840247.0,2840247.0,621093442.0,354628335.0,4515635792.0,1110113908.0,755485573.0,-12674025.0,12674025.0,618735468.9406,598559995.0,7053318532.0,755193757.0,264827000.0,264827000.0,2.26,2.26,598559995.0,598559995.0,598559995.0,524533.0,598035462.0,-22533447.0,620568909.0,122242639.0,742811548.0,2840247.0,,291816.0,,,-291816.0,2548431.0,-12674025.0,12674025.0,752645326.0,2537682740.0,-57945475.0,2595628215.0,1603329138.0,992299077.0,992299077.0,3290328066.0,4515635792.0,7805963858.0,7805963858.0
2022-12-31,-19622.213,0.1807,934512370.0,-108590.0,-108590.0,500493398.0,334495272.0,4060419148.0,934403780.0,599908508.0,-8371598.0,8371598.0,500582365.787,435064480.0,6273505582.0,599946400.0,264827000.0,264827000.0,1.64,1.64,435064480.0,435064480.0,435064480.0,4083227.0,430981253.0,-65428918.0,496410171.0,95126739.0,591536910.0,-108590.0,,-37892.0,0.0,186496.0,37892.0,-70698.0,-8371598.0,8371598.0,600017098.0,2213086434.0,-42330954.0,2255417388.0,1420407319.0,835010069.0,835010069.0,2813103532.0,4060419148.0,6873522680.0,6873522680.0
2021-12-31,209626.0848,0.1518,968406036.0,1380936.0,1380936.0,535390872.0,328124248.0,3893319209.0,969786972.0,641662724.0,-12926745.0,12926745.0,534219562.0848,535390872.0,5876559566.0,641662724.0,401922000.0,401922000.0,1.33,1.33,535390872.0,535390872.0,535390872.0,2069001.0,533321871.0,,533321871.0,95414108.0,628735979.0,1380936.0,,1112560.0,0.0,-1112560.0,,268376.0,-12926745.0,12926745.0,641394348.0,1983240357.0,-26329824.0,2009570181.0,1277899135.0,731671046.0,731671046.0,2624634705.0,3893319209.0,6517953914.0,6517953914.0
2020-12-31,-22354.8728,0.1066,967279091.0,-209708.0,-209708.0,566335585.0,318066504.0,3741905498.0,967069383.0,649002879.0,-16670316.0,16670316.0,566522938.1272,566335585.0,5776206450.0,649002879.0,401922000.0,401922000.0,1.41,1.41,566335585.0,566335585.0,566335585.0,1394388.0,564941197.0,,564941197.0,67391366.0,632332563.0,-209708.0,,,,,,-209708.0,-16670316.0,16670316.0,649212587.0,2034300952.0,-18624843.0,2052925795.0,1271886189.0,781039606.0,781039606.0,2683513539.0,3741905498.0,6425419037.0,6425419037.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14787330.0,,,,,,,,,,,,,,,,,,
