,Tax Effect Of Unusual Items,Tax Rate For Calcs,Net Income From Continuing Operation Net Minority Interest,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Salaries And Wages,Total Revenue,Operating Revenue,Loss Adjustment Expense,Net Policyholder Benefits And Claims,Policyholder Benefits Gross,Policyholder Benefits Ceded
2023-12-31,0.0,0.232,195226313.0,254762301.0,-541002.0,541002.0,43646000.0,195226313.0,195226313.0,2563894210.0,10405063.0,10405063.0,18.760097,18.760097,195226313.0,195226313.0,195226313.0,195226313.0,195226313.0,58994986.0,254221299.0,5162226.0,-541002.0,541002.0,525868099.0,242322000.0,242322000.0,242322000.0,2818114744.0,2818114744.0,391792515.0,391792515.0,2814135802.0,2422343287.0
2022-12-31,0.0,0.015,704442608.0,715755760.0,-636959.0,636959.0,28997000.0,704442608.0,704442608.0,2387799187.0,10405063.0,10405063.0,67.659367,67.659367,704442608.0,704442608.0,704442608.0,704442608.0,704442608.0,10676193.0,715118801.0,2612012.0,-636959.0,636959.0,634884805.0,232459000.0,232459000.0,232459000.0,3102918382.0,3102918382.0,390881838.0,390881838.0,2710727623.0,2319845785.0
2021-12-31,0.0,0.2,14074447.0,9870085.0,-289359.0,289359.0,5418000.0,14074447.0,14074447.0,318170819.0,10405063.0,10405063.0,1.355109,1.355109,14074447.0,14074447.0,14074447.0,14074447.0,14074447.0,-4493721.0,9580726.0,1522753.0,-289359.0,289359.0,21808577.0,38319000.0,38319000.0,38319000.0,327751332.0,327751332.0,102388815.0,102388815.0,135820532.0,33431717.0
2020-12-31,0.0,0.2,-21805363.0,-20461866.0,-382468.0,382468.0,6628000.0,-21805363.0,-21805363.0,331592294.0,10405063.0,10405063.0,-2.095134,-2.095134,-21805363.0,-21805363.0,-21805363.0,-21805363.0,-21805363.0,961029.0,-20844334.0,6817822.0,-382468.0,382468.0,29996996.0,44531000.0,44531000.0,44531000.0,310747517.0,310747517.0,134593773.0,134593773.0,213997840.0,79404067.0
